Name,Description,Source Link,portalSourceName
Quick add time entries starts with previous entries end date,"Problemuser want to input all 3 entries for the dayone work  one break, one work entryuser has to adjust the preset start values of each entryeven though the previous entry is overlappingwe are forcing the user to change the start or see an error message with the current default start times on new entriesSolution:How nice would it be if the start times where taken from my schedule so I can just click to save a standard day? What I mean is the third entry of work I add should also start at the end of the break before by default I guess. So I just click “add work”, it opens as “end of previous entry to end of scheduled work”.
",https://portal.productboard.com/absenceio/3-release-notes/c/55-quick-add-time-entries-starts-with-previous-entries-end-date,absenceio
Today on top when focusing tab so users do not have to refresh,"ENWhen you go back to your absenec.io tab  we will now refresh the page automatically. This way you always view today on top in the timesheet & absences will also show up to date data at all times when you return to work. DEWenn Sie zurück zu Ihrem absenec.io Tab gehen, aktualisieren wir die Seite nun automatisch. Auf diese Weise können Sie immer den heutigen Tag oben in der Zeiterfassung sehen & die Abwesenheiten werden auch aktuell im Kalender angezeigt. 
",https://portal.productboard.com/absenceio/3-release-notes/c/78-today-on-top-when-focusing-tab-so-users-do-not-have-to-refresh,absenceio
"Admins can now use the improved user selection (with ""Select all users"" when adding to department  Time Tracking Access and Teams","EN Admins can now use the improved user selection (with ""Select all users"" when adding to department  Time Tracking Access and TeamsDEAdmins können jetzt die verbesserte Benutzerauswahl verwenden (mit ""Alle Benutzer auswählen"") beim Hinzufügen zu Abteilungen, Zeiterfassung und Teams.
",https://portal.productboard.com/absenceio/3-release-notes/c/51-admins-can-now-use-the-improved-user-selection-with-select-all-users-when-adding-to-department-time-tracking-access-and-teams,absenceio
Auftragsdatenvereinbarung / Data Processing Agreement Update,"With our new notification  all owners of all accounts will see any updates made to our DPA and can agree to the new DPA in the settings. We will remember, which user signed which version of the DPA.
",https://portal.productboard.com/absenceio/3-release-notes/c/65-auftragsdatenvereinbarung-data-processing-agreement-update,absenceio
Edit time is as easy as never before,"Adding a whole day as per schedule can only take 6 clicks!Be sure to ckeck out our drag & drop quick merge  delete features.
",https://portal.productboard.com/absenceio/3-release-notes/c/85-edit-time-is-as-easy-as-never-before,absenceio
Relaunch absence.io Website,"🇬🇧 ENWe are working on a relaunch of our website - more up-to-date  clearer and with more relevant information for all our existing and new customers.🇩🇪 DEWir arbeiten an einem Relaunch unserer Webseite - aktueller, übersichtlicher und mit mehr relevanten Informationen für alle unseren bestehenden und neuen Kunden.
",https://portal.productboard.com/absenceio/3-release-notes/c/127-relaunch-absence-io-website,absenceio
New date picker & modern user profile,"Our efforts to improve the general look and feel of absence.io continues.We have released a new dat picker for reports which makes selecting periods a lot easier.Also some general updates in the user profile and settings.
",https://portal.productboard.com/absenceio/3-release-notes/c/101-new-date-picker-modern-user-profile,absenceio
You can now request 15 minute absences on web and mobile,"Until now  the smallest possible absence users could add was 30 minutes. Now we allow to track absences of 15 minutes for hourly leave types.
",https://portal.productboard.com/absenceio/3-release-notes/c/73-you-can-now-request-15-minute-absences-on-web-and-mobile,absenceio
Time tracking terminal discount offer,"We have a special offer for all companies in need for time tracking.Our time tracking terminal is available for free to all new time tracking customers from now on.Simply activate your time tracking subscription now and save 2€ per user on your subscription.
",https://portal.productboard.com/absenceio/3-release-notes/c/137-time-tracking-terminal-discount-offer,absenceio
"Antragsfrist für Abwesenheiten: Sie können jetzt eine Warnung für kurzfristige Abwesenheitsanträge einrichten. Legen Sie für jeden Abwesenheitstypen fest  wie viele Tage im voraus die Abwesenheit beantragt werden soll, damit verspätete Antragsteller bei k","DEAntragsfrist für Abwesenheiten: Sie können jetzt eine Warnung für kurzfristige Abwesenheitsanträge einrichten. Legen Sie für jeden Abwesenheitstypen fest  wie viele Tage im voraus die Abwesenheit beantragt werden soll, damit verspätete Antragsteller bei kurzfristigen Anträgen eine Warnung sehen. ENLeave type days notice: You can now setup a warning on requesting absences on short notice. On each leave type select how many days in advance you want users to request the leave type to show late requesters a warning on short notice absences.
",https://portal.productboard.com/absenceio/3-release-notes/c/52-antragsfrist-fur-abwesenheiten-sie-konnen-jetzt-eine-warnung-fur-kurzfristige-abwesenheitsantrage-einrichten-legen-sie-fur-jeden-abwesenheitstypen-fest-wie-viele-tage-im-voraus-die-abwesenheit-beantragt-werden-soll-damit-verspatete-antragsteller-bei-k,absenceio
Compensations Dashboard & Tasks,"Goal:Admins can setup compensation settings & are reminded of outstanding compensations tasks. They can check their own compensations & find potential errors of the past. Users feel like their OT is taken care of while they can check their balance and with Admins to find new needed compensations.
",https://portal.productboard.com/absenceio/3-release-notes/c/9-compensations-dashboard-tasks,absenceio
QR code automatically created on user invite,"We now create time tracking QR codes for every user on invite. Ask our CR team to create QR codes for all your existing users.
",https://portal.productboard.com/absenceio/3-release-notes/c/102-qr-code-automatically-created-on-user-invite,absenceio
Allowance 2.0 - We removed the vacation year period for users. Admins can still view for which period the given days are valid.,"We remove showing the vacation year period for users. Admins can still view for which period the given days are valid.This information was confusing user roles but is relevant for admin roles.
",https://portal.productboard.com/absenceio/3-release-notes/c/77-allowance-2-0-we-removed-the-vacation-year-period-for-users-admins-can-still-view-for-which-period-the-given-days-are-valid,absenceio
MyCalendar & General UI Update,"We have greatly changed the look & feel of MyCalendar for all users.Our improvements include a colour scheme thats better on most screens  new shadows & corners for more contrast. Absences, holidays, mandatory leave can be regocnised better with a glance.Wir haben das Look & Feel von MyCalendar für alle Benutzer stark verbessert. Unsere Verbesserungen umfassen ein Farbschema, das auf den meisten Bildschirmen besser aussieht, neue Schatten und Ecken für mehr Kontrast. Abwesenheiten, Urlaube, Betriebsurlaube sind nun besser auf einen Blick zu erkennen.
",https://portal.productboard.com/absenceio/3-release-notes/c/95-mycalendar-general-ui-update,absenceio
ADV Vertrag / DPA Update,"Wir haben unsere gesamte Rechtliche Grundlage ordentlich überarbeitet. Im Produkt findest Du alle wichtigen Dokumente.Wichtige Dokumente für KundenKunden finden hier die wichtigsten Dokumente  die Sie zu Beginn der Zusammenarbeit mit absence.io beachten sollten:Datenschutz auf der WebsiteVereinbarung zur Auftragsverarbeitung, AV (English Data Processing Agreement, DPA)Die digital signierte Form mit Timestamp in den absence.io Einstellungen (siehe unten)Zum Download hierUnterauftragnehmerliste verlinkt in DPATechnische und organisatorische Maßnahmen in DPA verlinktENFor customers, the most relevant documents to consider when starting to work with absence.io can be found here:Data Privacy on the WebsiteData Processing Agreement (DPA)digital signature & timestamp in the absence.io settingsDownload hereSubcontractor list linked in DPATechnical and organisational measures linked in DPA
",https://portal.productboard.com/absenceio/3-release-notes/c/89-adv-vertrag-dpa-update,absenceio
Roles & Rights,"🇬🇧 ENAt absence.io we already offer some gradations of roles and rights in the system with the roles user  admin, HR and owner. At the beginning of our app, we mainly programmed for smaller and medium-sized companies - now more and more large and larger companies are finding their way to us. And they need more gradations, e.g. assigning rights per departments, setting specific rights for individual users, etc. This is where we get to work and clean up the mess.🇩🇪 DEBei absence.io bieten wir mit den Rollen Nutzer, Admin, Personal und Inhaber bereits einige Abstufungen an Rollen und Rechten im System an. Zu Beginn unserer App haben wir hauptsächlich für kleinere und mittelständische Unternehmen programmiert - nun finden auch immer mehr große und größere Unternehmen zu uns. Und die brauchen mehr Abstufungen, z.B. Rechte pro Abteilungen vergeben, bestimmte Rechte für einzelne Nutzer festlegen usw. Hier machen wir uns dran und räumen mal ordentlich um.
",https://portal.productboard.com/absenceio/3-release-notes/c/37-roles-rights,absenceio
"Capacity report shows team  department, location filters","The capacity report now allows detailed fitlering by departments  teams, locations and individual user selection.We hope this helps in resource plannig across bigger teams. 
",https://portal.productboard.com/absenceio/3-release-notes/c/98-capacity-report-shows-team-department-location-filters,absenceio
Mobile - New Company Calendar (with pagination),"Unser Abwesenheitskalenderauf iOS & Android ist jetzt viel schneller im Laden und einfacher zu navigieren.Zu den behobenen Problemen gehörenfehlerhaftes Scrollen des KalendersLadezeit des Kalenders auf dem HandyBerechnung von Nicht-Arbeitstagen für schnelleres renderingVerzögerung beim ScrollenENOur mobile app absences calendar is now a lot faster in loading and easier to navigate with pagination.Problems we resolved includedbuggy calendar scrollingcalendar load time in mobilecalculation of non work days so they can be rendereddelay in scroll
",https://portal.productboard.com/absenceio/3-release-notes/c/90-mobile-new-company-calendar-with-pagination,absenceio
Labels on time tracking & absences,"
",https://portal.productboard.com/absenceio/3-release-notes/c/16-labels-on-time-tracking-absences,absenceio
iOS & Android - Some fine tuning and fixes,"Expired accounts go away when tapped nowReworked OAuthGo to user profile from calendarReworked the time picker on iOS
",https://portal.productboard.com/absenceio/3-release-notes/c/75-ios-android-some-fine-tuning-and-fixes,absenceio
absence.io już po polsku,"absence.io is now available in polish for all users.
",https://portal.productboard.com/absenceio/3-release-notes/c/105-absence-io-juz-po-polsku,absenceio
Krankheit an Betriebsurlaub gibt Kontingent zurück / Sickness on mandatory leave returns allowance,"Ab jetzt kann Kontingent im Fall von Ausgefallenen Betriebsurlaub automatisch wieder Gutgeschrieben werden.Wenn ein Abwesenheitstyp diese Einstellung aktiviert ist  wird im Fall einer Abwesenheits dieses Types an einem Betriebsurlaub das Kotningent des Nutzers nicht reduziert.ENFrom now on, vacation allowance can be automatically credited in case of leave on a mandatory leave day. If this setting is active for an absence type, the user's quota will not be reduced in case of absence of this type on a company mandatory leave day.
",https://portal.productboard.com/absenceio/3-release-notes/c/92-krankheit-an-betriebsurlaub-gibt-kontingent-zuruck-sickness-on-mandatory-leave-returns-allowance,absenceio
"Report excel export should follow 'Hide Rows"" option","🇬🇧 ENNow when you select ""hide empty rows"" in reports  the rows will also not be exported to excel.🇩🇪DE Wenn Sie jetzt in Berichten die Option ""Leere Zeilen ausblenden"" wählen, werden die Zeilen auch nicht nach Excel exportiert. WYSIWYG! 😀
",https://portal.productboard.com/absenceio/3-release-notes/c/100-report-excel-export-should-follow-hide-rows-option,absenceio
Set OT component date picker to last compensation date when the user user is compensated,"Dou you compensate overtime regularly?Now when you do  the users overtime shown in the timesheet will be set to the last compensation that was done. So usere always know how much overtime they have accumulated since the last compensation.
",https://portal.productboard.com/absenceio/3-release-notes/c/108-set-ot-component-date-picker-to-last-compensation-date-when-the-user-user-is-compensated,absenceio
MyCalendar shows absences where I am the substitute,"🇬🇧 ENYou want to know in which times you are listed as a substitute? Easy: just go to your calendar  click on „View Options” in the upper right corner and tock the box “Show absences I am a substitute for” and the days on which you are a substitute will be displayed with a colored background - if you mouse-over, you will also see for whom. This makes vacation planning even easier! 🇩🇪 DE Du willst wissen, in welchen Zeiten du als Vertreter eingetragen bist? Nichts leichter als das: gehe auf deinen Kalender, oben rechts auf Optionen und aktiviere die Funktion „Abwesenheiten anzeigen, bei denen ich Vertreter bin” und schon werden die Tage farbig hinterlegt angezeigt, an denen du Vertretung bis - wenn du mit der Maus darüber fährst, erkennst du auch für wen. So wird die Urlaubsplanung noch einfacher!
",https://portal.productboard.com/absenceio/3-release-notes/c/133-mycalendar-shows-absences-where-i-am-the-substitute,absenceio
✉️  Notify users on more,"Send some mails to users on time entries going wild  questionnaires send, documents uploaded, user provisioned and more as we find them.
",https://portal.productboard.com/absenceio/3-release-notes/c/54-notify-users-on-more,absenceio
🎁 In Beta (Sign Up!) - Allowance2 improved accrued allowances,"drop us a quick line to support@absence.io to join!Today absence.io wants to introduce a new logic running behind our absence management solution calulating allowances.With the new logic all our existing and future customers will benefit from more flexible and individual possibilities when creating vacation policies.So far absence.io focused on vacation given on a yearly basis. Being native to Europe and Germany  this was a natural development of the environment we first started to develop our absence management solution in.Since then, our strategy has shifted towards a more international audience and offering more products - like time tracking, digital personnel file and time tracking terminals.Existing customers benefitNew possibilities when setting up allowance policies - Allowance can be given every month and not just once a year and residual transfers and expiry can also be setup in shorter monthly cycles. New concepts like starting accrual on employment start date and eligibility of allowances during probation periods also allows more vacation policy setups. This allows us to accept vacation policies from more regions around the world (USA, LATAM, EU).Managing an organisations allowance is easier - The new policy & subscription approach allows different allowance policies (""setups"") for every allowance type, introducing an improved hierarchical order to the way allowances apply to users. Now users subscribe to a policy in periods, making it easier to change a users' allowance setup. The new bulk change makes it easy to assign allowance policies to multiple users filtered by location, teams or other organisational criteria. For customers running multiple locations in different nations, accrual allows setting up location based policies for every allowance rather than one allowance type for each country. The new manual adjustments improves previously unrecorded and not intuitive adjustments of an employees allowances in the allowances table.More info for employees - Users can now get a better overview given allowance available to them through a visual timeline showing all actions taken with an allowance. This replaces our old allowances tables and changes how latest activities might be used by the user. The employees can look into his allowances from a 'in my employee lifetime at this company, how was my allowance created?"" point of view rather than looking at allowance tables grouped by company years.Future customers and new markets benefitAdmins and SQLs benefit from an improved initial setup of the absence management (how allowance is given to employees in new accounts). We also improved our conversion rates in the setup steps.
",https://portal.productboard.com/absenceio/3-release-notes/c/8-in-beta-sign-up-allowance2-improved-accrued-allowances,absenceio
Assistants can do compensations,"🇬🇧 ENOnly Owner  Admin and HR roles were allowed to make compensations, but some of you wanted to grant this right to their teams leads or other people in charge as well. That's why it is now possible! You can now grant this right to users with assistant rights.🇩🇪 DEZuvor konnten nur die Rollen Inhaber, Admin und Personal Stundenausgleiche durchführen. Da sich einige von euch aber gewünscht haben, dieses Recht auch Abteilungsleiter:innen etc. zu geben, haben wir das für euch möglich gemacht! Von nun an kann auch Nutzern mit der Assistentenrolle das Recht Stundenausgleiche durchzuführen für ihre Abteilung zugeschrieben werden. 
",https://portal.productboard.com/absenceio/3-release-notes/c/141-assistants-can-do-compensations,absenceio
Travel expense management,"🇬🇧 ENTravel expenses have to be handed in to finance within the month of the travelbecause travel expense has to go into that month as company expenseThis is time consuming for employees  finance and HR and could be handled easier within absence.io - - we are working on a solution for you!🇩🇪 DEReisekosten müssen innerhalb des Monats der Reise bei der Finanzabteilung eingereicht werden, da Reisekosten in diesem Monat als Unternehmensausgaben verbucht werden müssen. Dies ist zeitaufwändig, nicht nur für die Mitarbeiter:innen, sondern auch die Finanz- und Personalabteilungen. Deshalb arbeiten wir hier an einer einfacheren Lösung für euch!
",https://portal.productboard.com/absenceio/3-release-notes/c/134-travel-expense-management,absenceio
Search & select in dropdowns / Suchen und auswählen in Drop Down möglich,"You can now select all search results in any dropdown.Sie können jetzt alle Suchergebnisse in einem beliebigen Dropdown auswählen. Suchen sie danach einfach nochmal um mehr Optionen zur Auswahl hinzuzufügen.
",https://portal.productboard.com/absenceio/3-release-notes/c/80-search-select-in-dropdowns-suchen-und-auswahlen-in-drop-down-moglich,absenceio
Allow edit of labels field in absences/timespans by users without tt edit rights so admins do not have to apply labels,"Users can now edit time tracking labels even when they cannot edit the entry itslef.So employees can add labels to entries when they are created autamitacally and are only editable by admins.
",https://portal.productboard.com/absenceio/3-release-notes/c/104-allow-edit-of-labels-field-in-absences-timespans-by-users-without-tt-edit-rights-so-admins-do-not-have-to-apply-labels,absenceio
Nachricht über Auslaufen des IE-Support / Phase out IE support Banner,"Bitte beachten Sie  dass absence.io den Internet Explorer ab August 2021 nicht mehr unterstützt. Wir empfehlen Chrome oder Firefox als Browser. Bitte beachten Sie unsere Unterstützte Geräte & Browser.Please note absence.io sill stop supporting Internet Explorer as of August 2021. We recommend Chrome or Firefox Browsers. Please refer to our Supported Devices & Browsers.
",https://portal.productboard.com/absenceio/3-release-notes/c/93-nachricht-uber-auslaufen-des-ie-support-phase-out-ie-support-banner,absenceio
Slack Integration Update: Time Tracking for absence.io via Slack command,"🇬🇧 ENYou are using Slack within your company and you would like to start your time tracking for absence.io within Slack - no problem  this will be soon available! Stay tuned!🇩🇪 DEIhr nutzt Slack bei euch im Unternehmen und zusätzlich die Zeiterfassung bei absence.io? Dann aufgepasst! Bald wird es möglich sein, die Stoppuhr via Slack command zu starten. 
",https://portal.productboard.com/absenceio/3-release-notes/c/143-slack-integration-update-time-tracking-for-absence-io-via-slack-command,absenceio
Ordneransicht & Sortierung für Dokumente,"Sortieren hochgeladener Dokumente in Ordnern  damit Personalakte-Benutzer den Überblick über viele Dateien behalten. Einfachere automatische Sortierung von hochgeladenen Dateien in Ordnern wie Abwesenheiten, Personalakte, Sonstige. Bessere Sichtbarkeitseisntellungen der Dokumente für Admins.DESort uploaded documents in folders so DPF users have overview over lots of files. Easier automatic sorting of uploaded files in folders. Better visibility settings of document uploads for admins.
",https://portal.productboard.com/absenceio/3-release-notes/c/84-ordneransicht-sortierung-fur-dokumente,absenceio
Show labels on time sheet entries,"🇬🇧 ENUntil now  you could only see the assigned labels in the time tracking when you opened the entry. Now they appear directly in the line in the overview of the time tracking and you as an User or an Admin can see at a glance which labels have been assigned on this day and whether any are still missing. 🇩🇪 DEBisher konnte man die zugeordneten Label in der Zeiterfassung erst sehen, wenn man den Eintrag geöffnet hat . Nun erscheinen sie direkt in der Zeile in der Übersicht der Zeiterfassung und der Nutzer sowie auch der Admin kann mit einem Blick erkennen, welche Label an diesem Tag zugeordnet wurden und ob noch welche fehlen. 
",https://portal.productboard.com/absenceio/3-release-notes/c/130-show-labels-on-time-sheet-entries,absenceio
General report columns shown in all reports & new default selection of columns for every report so admins experience simple small tables when first looking in reports,"We improved the default set of columns shown in each report. Also all exports of reports now always show name and email columns. Simply add columns to the report and they will also be exported.Wir haben die Standardauswahl der in jedem Bericht angezeigten Spalten verbessert. Alle Exporte von Berichten zeigen jetzt immer die Spalten Name und E-Mail. Fügen Sie einfach Spalten zum Bericht hinzu und sie werden ebenfalls exportiert.
",https://portal.productboard.com/absenceio/3-release-notes/c/81-general-report-columns-shown-in-all-reports-new-default-selection-of-columns-for-every-report-so-admins-experience-simple-small-tables-when-first-looking-in-reports,absenceio
Show percentiles of taken allowance,"Genommene Tage werden nun wieder als Prozentualer anteil Angezeigt.Taken days are now displayed as a percentage of total available.
",https://portal.productboard.com/absenceio/3-release-notes/c/87-show-percentiles-of-taken-allowance,absenceio
Allowance Policies: Allow 60 months overflow,"By dutch law  users can get some days that are valid for the next 60 months. So we now enable this setting on allowance policies.
",https://portal.productboard.com/absenceio/3-release-notes/c/131-allowance-policies-allow-60-months-overflow,absenceio
45 month allowance expiry can be set on policies,"Allowance policies can now be set to 45 months. Crucial for some countries vacation allowance expiry settings.
",https://portal.productboard.com/absenceio/3-release-notes/c/103-45-month-allowance-expiry-can-be-set-on-policies,absenceio
More colours and icons,"We have a lot more colours and icons available for leave types. 
",https://portal.productboard.com/absenceio/3-release-notes/c/107-more-colours-and-icons,absenceio
React native update to our mobile apps (61->62),"Problemgood new performance updated to react native
",https://portal.productboard.com/absenceio/3-release-notes/c/15-react-native-update-to-our-mobile-apps-61-62,absenceio
Cap residual allowance carried over,"🇬🇧 ENNot in every case should and may the entire remaining residuals from the previous year also be carried over into the new year. Very often  maximum carryovers are specified in advance. For example, ""A maximum of 5 days of the residuals may be carried over into the new year and must be used by 31.3"". Until now this had to be adjusted manually, because absence.io only carried over the entire vacation or none at all - we are thinking about a solution for you!🇩🇪 DENicht in jeden Fall soll und darf der gesamte Resturlaub aus dem letzten Jahr auch ins neue Jahr übertragen werden. Sehr oft werden hier maximale Überträge im vorhinein festgelegt. Zum Beispiel ""Maximal 5 Tage Resturlaub dürfen ins neue Jahr übertragen werden und müssen bis zum 31.3. verbraucht werden"".Das musst bisher manuell angepasst werden, da bei absence.io nur der gesamte oder gar kein Urlaub übertragen wurde - wir überlegen uns eine Lösung für euch!
",https://portal.productboard.com/absenceio/3-release-notes/c/111-cap-residual-allowance-carried-over,absenceio
