Name,Description,Source Link,portalSourceName
Scan-to-Design: Road Components Extraction,"Extract components like handicap ramps  intersections, etc., from reality capture data
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/342-scan-to-design-road-components-extraction,aec-bid
Point features extraction,"Ability to extract point features (Assets) like signs  manholes, etc via Cloud viewer
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/326-point-features-extraction,aec-bid
Custom Stylization in Connector for ArcGIS [Civil 3D 2024],"Ability to stylize the data imported from ArcGIS Portal using Connector for ArcGIS
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/308-custom-stylization-in-connector-for-arcgis-civil-3d-2024,aec-bid
Advanced Parametric Content,"Ongoing additions to the InfraWorks bridge and tunnel component libraries with custom parametric Inventor models.
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/399-advanced-parametric-content,aec-bid
Swale Object for Stormwater Control,"First-class BIM stormwater control object:Managed in Stormwater Controls object node in ProspectorCreate with parametersObject settingsObject stylesObject labels
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/347-swale-object-for-stormwater-control,aec-bid
Increased Tunnel LOD,"The existing tunnel feature will be enhanced to allow for multiple segments within a tunnel. These segments can include extruded geometry from parametric 2D sections  or detailed 3D bored tunnel rings, or segmented 3D tunnel components or general 3D components (to model merging tunnels etc.)
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/370-increased-tunnel-lod,aec-bid
Gap Tolerance Between Regions for Corridor Transitions [Civil 3D 2024.1],"Because Civil 3D cannot place two separate assemblies at the same station location  small gaps must be placed between corridor regions when assembly changes occur. This breaks the corridor transition workflow, which requires regions to be adjacent to one another.Read about it in the Civil 3D 2024.1 Release Notes
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/373-gap-tolerance-between-regions-for-corridor-transitions-civil-3d-2024-1,aec-bid
Upgrade Civil 3D and its Extensions to .NET 6.0 or Higher,"We will be migrating Civil 3D and its extensions (such as Subassembly Composer  Grading Optimization, etc.) from .NET Framework 4.8 to .NET 6 or higher. .NET brings cutting edge performance, developer productivity, and world-class tools enabling developers to build cloud-native apps, web, desktop, mobile, and so much more. The exact version of .NET (6 or 8) will be determined at a later time. 
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/429-upgrade-civil-3d-and-its-extensions-to-net-6-0-or-higher,aec-bid
Civil 3D Interoperability with InfoDrainage,"Enhance the interoperability between Civil 3D and InfoDrainage. This will include more support for Civil 3D objects and metadata  providing more streamlined workflows.
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/259-civil-3d-interoperability-with-infodrainage,aec-bid
Create Corridor from Multiple Feature Line Baselines 💡,"Create a corridor by selecting a series of feature lines to use as baselines. Alternatively  expose APIs that would enable third-party developers to create tools that could add multiple feature lines as baselines to a corridor in a single operation. Related Civil 3D Idea:Parking Lot Workflow
",https://portal.productboard.com/aec-bid/3-civil-infrastructure-public-roadmap/c/217-create-corridor-from-multiple-feature-line-baselines,aec-bid
