Name,Description,Source Link,portalSourceName
Enforce Due Dates,"The ability for administrators to lock down learning after a due date passes to ensure that users are progressing as planned  and not beyond.User StoriesAs a Learning Admin, I want to specify if a Due Date is enforced.As a Learner, I should not be able to launch learning after a Due Date.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/100-enforce-due-dates,appinium
Required/Optional Duration,"Provide your learners with a clear view of how many hours of learning are required vs optional within a Learning Plan and its Learning Plan Sections.User StoriesAs an End User  I want to see the duration of Required items and the duration of Optional sections.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/101-required-optional-duration,appinium
Media Playlist Sorting,"The ability to specify the default sorting of a playlist  as well as the ability for users to change the sorting to watch the playlist in the order they prefer.User StoriesAs a Salesforce Admin, I want to specify the default sorting of a playlist: Catalog Order, Alphabetical, Newest, OldestAs a Salesforce Admin, I want to specify is users can re-sort the playlist.As a User, if allowed, I want to change the sorting of a playlist.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/118-media-playlist-sorting,appinium
Prerequisite Links,"When a user is notified about prerequisites that they need to complete  simplify their experience with a direct link to those learnings.User StoriesAs an End User, I want to be told what prerequisites are preventing me from taking learning, and to click on those prerequisites.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/102-prerequisite-links,appinium
Learning Object Ratings,"The ability to rate individual Learning Objects  as standalones or within a Learning Plan. Star ratings and/or thumbs up/down.User StoriesAs a Salesforce Admin, I want to specify the default ratings setting for Learning Objects.As a Salesforce Admin, I want to allow sorting the Learning List Lite by Highest Rated.As a Learning Admin, I want to turn on/off ratings for each Learning Object.As a Learner, I want to rate a Learning Object.As a Learner, I want to browse and sort by highest rated.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/113-learning-object-ratings,appinium
Calendar View Settings,"Make it easier for users to see the upcoming classes that are relevant to them by extending the ILT Calendar to display the list view of classes beyond the current month.User StoriesAs a Salesforce Admin  I want to specify that the Calendar list view should show a minimum number of upcoming Classes, regardless of which month they are in.As a Learner, I want to see upcoming classes, spanning across months.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/117-calendar-view-settings,appinium
Shared Playlists,"Public channels are an extremely powerful way for users to save and tag content either for their own use or to be shared with other people.User StoriesAs a Salesforce Admin  I want to create one or more pages with the playlist component.As a Salesforce Admin, I want to specify which page content should link to for sharing.As an End User, I want to create a playlist and share it via Email, Chatter, or URL.As an End User, I want to click on and view a playlist that was shared with me.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/37-shared-playlists,appinium
Learning Media Download,"Allow your users to download media content from within the learning experience. Note: assignment status or offline progress will not be updated.User StoriesAs an End User  I want to download media from Learning Objects or Learning Plans.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/105-learning-media-download,appinium
Advanced PDF Statistics,"Add a richer level of statistics for PDF files  including pages viewed, time spent, last page, etc.User StoriesAs an Executive or Media Admin, I want to view the advanced details of what users have done with a PDF Media record.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/39-advanced-pdf-statistics,appinium
ILT Roster: Inactive Users,"DescriptionEnsure that inactive users do not impact your classes  scheduling, or enrollments.User StoriesAs a Learning Admin, I do not want to see Inactive Users in my Class Rosters.As a Learning Admin, I do not want Inactive Users to take up a seat in a Roster.As a Learning Admin, when a user is deactivated that is enrolled in a full Class, I want a waitlisted user to automatically be enrolled in the ILT Class.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/83-ilt-roster-inactive-users,appinium
Assign Learning by CSV,"Simplify and extend the learning administrator experience with the ability to upload a CSV file to assign a Learning Plan or Learning Trac to a subset of users.User StoriesAs a Learning Admin  I want to download a sample template of what the CSV should look like. As a Learning Admin, I want to upload a CSV to assign learning to users.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/107-assign-learning-by-csv,appinium
Media Catalog Search,"Enhance how media catalogs can be browsed and searched  with the ability to search for content within a catalog, and within all of its child catalogs.User StoriesAs a User, I want to search on the All Media component (tile or carousel) and have it return results within child catalogs.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/108-media-catalog-search,appinium
Configurable Insights,"The ability for a media admin to configure which media will collect insights and which verbs will be collected. Note: Appinium Insights required.User StoriesAs a Media Admin  I want to turn on/off insight tracking on a Media record.As a Media Admin, I want to specify which verbs are tracked for a Media record.As a Salesforce Admin, I want to specify the default values for insight tracking and verbs.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/109-configurable-insights,appinium
vILT Attendance Duration,"Track how long a user attends a Zoom or Webex meeting  and apply completion criteria based on minimum attendance times.User StoriesAs a Salesforce Admin, I want to specify the default minimum attendance time for vILT Sessions.As a Learning Admin, I want to specify minimum attendance % for a vILT Session.As an End User, I want to be marked as attended for a vILT Session if I was in the meeting for at least the minimum attendance time.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/40-vilt-attendance-duration,appinium
Assign and Update Assignments by CSV,"An easy way for Learning Admins to create new assignments or update existing assignments leveraging CSV files.User StoriesAs a Learning Admin  I want to download the assignments for a specific learning as a CSV file.As a Learning Admin, I want to add new rows to the CSV then upload to create new assignments.As a Learning Admin, I want to modify existing rows of the CSV then upload to update existing assignments.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/29-assign-and-update-assignments-by-csv,appinium
Embedded Learning Catalogs,"DescriptionSimilar to Media Catalogs  the ability to create a hierarchy of Learning Catalogs.User StoriesAs a Learning Admin, I want to add a child catalog to a parent catalog.As an End User, when I click into a catalog, I want to see the children catalog as well as the learning content.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/92-embedded-learning-catalogs,appinium
Interactive Video: Thank You,"DescriptionExpand your use of interactive video with a configurable Thank You screen.User StoriesAs a Media Admin  I want to add a Thank You screen to the end of a video.As a Media Admin, I want to configure what the Thank You message says.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/88-interactive-video-thank-you,appinium
Learning Journeys,"Learning Journeys will expand how users learn. A flexible way to let users choose their own path within a Learning Trac  with complex completion criteria, milestone due dates, and more.User StoriesAs a Learning Admin, I want to add due dates within a Learning Trac.As a Learning Admin, I want to add Learning Objects and ILT directly into a Learning Trac.As a Learning Admin, I want to specify required/optional as well as minimum completion settings.As a Learning Admin, I want to brand my Learning Trac.As a Learning Admin or Manager, I want to assign a Learning Trac to one or more users.As an Executive, Learning Admin, or Manager, I want to track users' progress within a Learning Trac.As an End User, I want to register for a Learning Trac.As an End User, I want to choose which learning to take within a Learning Trac.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/28-learning-journeys,appinium
Learning Trac Navigation,"Improve your user's experience by creating consistent navigation within a Learning Trac  the ability to navigate from a Learning Plan back to its parent Learning Trac.User StoriesAs an End User, I want to 
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/99-learning-trac-navigation,appinium
Archive Learning Objects,"When learning is no longer relevant  admins should have an easy way to remove the learning from circulation.User StoriesAs a Learning Admin, I want to archive a Learning Object.As a Learning Admin, I should specify how archived content should be handled: removed vs disabled.As an End User, I should no longer see archived learning that I have not already registered for.As an End User, if the content was disabled, I should still have access to my history, but should no longer have access to launch archived content.As an End User, if the content was removed, I should no longer see archived content anywhere.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/35-archive-learning-objects,appinium
Learning Trac Assignments,"Improve how Learning Tracs are assigned and tracked  from both an administrative and an end user perspective. Contain Learning Plans within their parent Learning Trac.User StoriesAs an End User, I do not want to see Learning Plans on my Learning List if they were assigned as part of a Learning Trac.As a Learning Admin, I want to see how users are progressing through their Learning Tracs.As a Learning Admin, I want to delete or update Learning Trac Assignments.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/116-learning-trac-assignments,appinium
LP Learning Item Status,"A property within a Learning Plan to determine if the users can see their learning status or progress or both. Especially useful for SCORM 1.2 content.User StoriesAs a Learning Admin  I want to specify if the learner's status or progress should be displayed on the Learning Plan Items component.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/103-lp-learning-item-status,appinium
Zoom Marketplace App,"DescriptionImprove the methods for integration with Zoom API by publishing oAuth App in Zoom Marketplace.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/12-zoom-marketplace-app,appinium
LP Builder Improvements,"When Admins create a Learning Objects or add Learning Objects to a Learning Plan  improve how content is searched and discovered to be added.User StoriesAs a Learning Admin, I want to create a Learning Object from existing Media, and find it by custom fields including Salesforce ID.As a Learning Admin, I want to add Learning Objects to a Learning Plan, and find it by custom fields including Salesforce ID.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/106-lp-builder-improvements,appinium
Learning Carousels,"DescriptionThis is a new lite version of the Learning List component that shows Learning Tracs  Learning Plans, Learning Activities, and ILT Events that are assigned, registered, self-registered or available to a current user. It can be used to build Netflix-style pages, or add lightweight learning to supplement existing pages.User StoriesAs a Salesforce Admin, I want to add the Learning List Lite component to a page layout.As a Salesforce Admin, I want to filter results by:Assigned vs AvailableLearning TypeFeatured ContentCatalog IDAssignment StatusAs a Salesforce Admin, I want to specify the title of the component.As a Salesforce Admin, I want to brand the carousel.As an End User, I want to easily find content!
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/42-learning-carousels,appinium
Learning Leaderboard 2.0,"Expand how you gamify your learning with a configurable leaderboard. Includes: visibility settings (same role  same team, same user type) to ensure users only see the leaders related to them; custom points values for learning items; and updated UI.User StoriesAs a Salesforce Admin, I want to configure the properties on the component for which users should be seen on the leaderboard: same user type (internal, external), same role, same account.As a Learning Admin, I want to specify how many points a specific achievement is worth on the leaderboard.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/33-learning-leaderboard-2-0,appinium
My Team Hierarchies and Filtering,"DescriptionSupport for multiple hierarchies (example: manager view and mentor view) as well as filtering of results on the My Team page.User StoriesAs a Salesforce Admin  I want to set up multiple pages for My Team leveraging different hierarchies.As a Manager, I want to see the learning status of the users on my ""team"".As a Manager, I want to filter the results that are displayed on the My Team results.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/45-my-team-hierarchies-and-filtering,appinium
Learning List Lite: List View,"DescriptionThe ""List View"" of the Learning List Lite will allow additional flexibility on how content is made available  and the experience surrounding it.User StoriesAs a Salesforce Admin, I want to add the Learning List Lite component to a page layout and specify if it is carousel view or list view.As an End User, I want to see all relevant learning results.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/14-learning-list-lite-list-view,appinium
AND Conditions,"DescriptionThe ability to create complex AND conditions across the application to ensure the right people have access to the right content.User StoriesAs a Learning Admin  I want to create AND conditions for Learning Sharing Rules, for both Learning and Learning Catalogs.As a Learning Admin, I want to create Auto-Assignment Rules with AND conditions.As a Media Admin, I want to create AND conditions for Media Sharing Rules.As an End User, I only want to see content that I have sharing rules to see.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/52-and-conditions,appinium
Transcription Search and Seek,"Finding the right content is essential. Finding the right spot inside the content is even better. By searching transcriptions and seeking to the right spot within the content  you can enhance how the right person gets the right content at the right time.User StoriesAs a Learning Admin, I want to manage transcriptions within Salesforce.As an End User, I want to search for keywords and view results based on the content.As an End User, I want to be taken to the timestamp in the video or the page of the PDF where the keyword first appears.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/36-transcription-search-and-seek,appinium
Manage Media Updates,"An update to the Media Admin experience that makes it easier to navigate  find, and perform mass actions to the media content; including pagination and ""select all"".User StoriesAs a Media Admin, I want to select all media currently displayed to perform mass actions.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/110-manage-media-updates,appinium
Media Publisher Permission Set,"DescriptionIntroduce a new permission set that allows a Media Publisher to only manage a subset of Media and Media Catalogs.User StoriesAs a Media Publisher  I want to access the Manage Media component, but only see content that I should see.As a Media Publisher, I want to do everything a Media Admin can do, but only for that subset of content.As a Media Publisher, if I create Media, I want to share it with other Media Publishers.As a Media Admin, I want to share Media with Media Publishers.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/87-media-publisher-permission-set,appinium
Learning Plan: Launch to Register,"DescriptionWhen a user goes to a Learning Plan  they should not have to Register, then begin launching the content. Launching the content should dynamically register them for the Learning Plan.User StoriesAs a Salesforce Admin, I want to determine if Learning Plans must be registered for, or if registration happens upon launch.As an End User, I want to visit a Learning Plan and launch content without having to click Register.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/86-learning-plan-launch-to-register,appinium
Switch ILT Classes,"Things change. Sometimes a user or learning admin needs to reschedule. This feature will allow users to easily switch between ILT Classes within the same ILT Event.User StoriesAs a Learning Admin  I want to move a user from one ILT Class to another without withdrawing them.As an End User, I want to switch from one ILT Class to another without withdrawing.As an End User, I want to withdraw from an ILT Class completely, and have the ILT Event removed from my learning list as well.As an End User, I want to be notified of any schedule changes, including calendar invites.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/31-switch-ilt-classes,appinium
Download Assignments CSV,"DescriptionThe ability for a learning admin to extract/download assignments for a specific learning to CSV file format.User StoriesAs a Learning Admin  I want to download all assignments for a Learning Object, ILT Class, Learning Plan, or Learning Trac.As a Learning Admin, I want to filter the list of assignments, then download that subset.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/16-download-assignments-csv,appinium
E-commerce: preview available users,"When an external super user buys learning content for their team members  this feature will allow that super user to preview the available users before purchasing seats.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/50-e-commerce-preview-available-users,appinium
Microsoft Players (Word  PPT),"DescriptionThe ability to share  play, and track Word and PPT documents.User StoriesAs a Media Admin, I want to upload Word files and PPT files.As a Media Admin, I want to share or assign Word and PPT files.As a Media Admin, I want to track what users do with Word and PPT files.As an End User, I want to view Word and PPT files from within Appinium.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/24-microsoft-players-word-ppt,appinium
Off-Platform ILT Classes,"DescriptionA lot of companies leverage 3rd party trainers for ILT Classes  including the registration and attendance tracking. This feature will allow them to surface those classes in Appinium without any available actions to be taken.User StoriesAs a Learning Admin, I want to create an ILT Class and specify that it is Off-Platform.As a Learning Admin, I want to add rich text details to the ILT Class.As an End User, I want to find an Off-Platform ILT Class and see details on how to register, without actually being able to register through Appinium.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/93-off-platform-ilt-classes,appinium
All Media Carousel,"DescriptionAn updated view of the All Media component for carousel view and catalog-specific results.User StoriesAs a Salesforce Admin  I want to add the All Media component to a page layout, and either specify tile view or carousel view.As a Salesforce Admin, I want to limit the results by Catalog ID.As an End User, I want to easily find content!
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/47-all-media-carousel,appinium
Learning Trac: Learning Object Support,"The ability to add or create Learning Objects directly within a Learning Trac.User StoriesAs a Learning Admin  I want to add Learning Objects directly into a Learning Trac Level.As a Learning Admin, I want to create a Learning Object while creating/editing a Learning Trac.As an End User, I want to click into a Learning Trac and see all content, including Learning Objects.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/111-learning-trac-learning-object-support,appinium
Video Interaction Templates,"Create an interaction template that can easily be applied to new videos. Whether its for learning content or for content selling  make it simple and easy to add templated interactions to your video content.User StoriesAs a Media Admin, I want to build an interaction template.As a Media Admin, I want to add interactions to the template, either by time stamp, percent progress, or time from end.As a Media Admin, I want to apply an interaction template to a video.As a Media Admin, I want to manually edit and override interactions that were applied from the template.
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/38-video-interaction-templates,appinium
PDF Download Settings,"DescriptionA granular way for you to determine which PDF files can be downloaded by your end users.User StoriesAs a Media Admin  I want to specify if a PDF media record is available to be downloaded.As an End User, I want to download the PDF (if allowed).
",https://portal.productboard.com/appinium/1-appinium-roadmap/c/23-pdf-download-settings,appinium
