Name,Description,Source Link,portalSourceName
Enhanced Calendar View for Scheduling,"For many customers  the Resouce-focused calendar maps closely to the mental model when your work is planned based on the available resources - people and equipment. We want to make scheduling and assigning as intuitive and quick in the Calendar, as it is on a Whiteboard.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/140-enhanced-calendar-view-for-scheduling,assignar
Form Collaboration Within the Field,"We want to ensure that your workers in the field are more connected than ever before. We're building collaborative forms!Collaborative Forms will allow multiple fieldworkers to collect data into a single form result. Think about forms that require multiple fieldworkers to signoff - with collaborative forms they will be able to do this from their own device... and this is just the beginning.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/114-form-collaboration-within-the-field,assignar
RELEASED: Daily Log - Add Allocation Information,"We want to bring allocation data into the Daily Log  making it easy for users to not only submit multiple jobs in a single day, but to use a pre-filled Daily Log to submit their time for the day.This initiative will add the ability to track time from multiple scheduled work orders into one single Daily Log.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/152-released-daily-log-add-allocation-information,assignar
RELEASED: Find Workers & Equipment Faster in Timeline,"Find workers / equipment in the Scheduler Timeline View with a Quick Search. This helps you figure out more quickly where your people are and can help you find ""impacted jobs"" faster if a worker calls out sick or a piece of equipment breaks down.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/276-released-find-workers-equipment-faster-in-timeline,assignar
RELEASED: Daily Log - Ability to sign off on an entire day,"We want to make it easier for Fieldworkers to sign-off on their entire day.Currently  when a Fieldworker works on multiple orders/jobs in a single day, they have to sign each timesheet individually.With this feature, they will be able to add their time for each order/job and then sign-off once on their entire day.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/176-released-daily-log-ability-to-sign-off-on-an-entire-day,assignar
View/Edit my schedule grouped by order,"In the Timeline  you can expand all Orders, or expand a single Project, down to task level, with one clickIn the Timeline, tasks within an order are now sorted by start date
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/26-view-edit-my-schedule-grouped-by-order,assignar
RELEASED: Set date formats while importing,"This release will allow you to set the data formats while importing using the new assisted import workflow. 
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/242-released-set-date-formats-while-importing,assignar
Daily Site Diary is Extensible & Configurable,"Each customer has unique and specific additional details they need to capture from their Daily Site Diary. We're aiming to make it easy to extend and configure the standard Daily Site Diary with custom questions and fields.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/44-daily-site-diary-is-extensible-configurable,assignar
Enabling better search in the app,"Sometimes fieldworkers don't know the name of a form  document or client, and as a result they don't know how to search for something they need.We're removing the need to search for these items by introducing infinite scroll. Users will be able to scroll through the complete list of items they have access to, rather than having to search for items beyond the first few in the list.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/115-enabling-better-search-in-the-app,assignar
RELEASED: Group Orders by Client in the Scheduler,"We know Web app users need to understand dependencies and connections when assigning resources. Seeing related work can help them manage resources and focus efforts from our Scheduler's Timeline View. We'll address this issue by providing a dropdown menu so user's can select their view ""by client"". We're pushing hard to get more users into the scheduler because we know that's one of Assignar's true values. Please vote or leave a comment about this feature to help us prioritize our goals.
",https://portal.productboard.com/assignar/4-assignar-product-roadmap/c/206-released-group-orders-by-client-in-the-scheduler,assignar
