Name,Description,Source Link,portalSourceName
Show select comments under activity posts,"We are considering only showing a select number of comments under activity posts  with a ""View more comments"" button underneath for members to load all the comments.This will help optimize the user experience and performance of the the activity feeds by not loading all comments by default.This feature could be enabled in the WordPress admin, along the option to configure which comments are featured. For example, you could select to show the most recent comments, or those with the most likes and/or replies.Let us know if this feature is important to you. How would you like us to implement it? 
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/117-show-select-comments-under-activity-posts,buddyboss
Allow members to share posts in their activity feed,"We are considering a feature that would allow members to share posts created in the community  in their activity feed.This would add a Share button to posts (either WordPress or custom post type), which would open up a form to create a new activity post with the post embedded into it. This feature would include a setting to activate the Share button on WordPress posts, as well as any custom post types. Let us know if this feature would be valuable to you. 
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/108-allow-members-to-share-posts-in-their-activity-feed,buddyboss
"""Lazy load"" images in activity  forums, and photos","We implemented various optimizations to improve page load speed. We are ""lazy loading"" images in Activity  Forums, and Photos, only loading the images when you scroll down the page. Released in:BuddyBoss Platform - 1.1.6
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/71-lazy-load-images-in-activity-forums-and-photos,buddyboss
Post polls into activity posts,"We are want to add the ability to publish polls into activity feeds  for other members to vote on and then view the results.
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/21-post-polls-into-activity-posts,buddyboss
Reposition profile and group cover photos,"Your members can easily reposition their Profile and Group cover photos after uploading them  so they can make sure the images always look perfect.Released in:BuddyBoss Platform - Version 1.5.1
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/66-reposition-profile-and-group-cover-photos,buddyboss
New layouts for blog posts in the BuddyBoss App,"We are planning to build supported app blocks for WordPress posts  allowing you to display your WordPress posts natively in App Pages and when using the App Editor.Let us know which layouts and options you'd like to see in these blocks...
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/102-new-layouts-for-blog-posts-in-the-buddyboss-app,buddyboss
Create native app blocks using Wordpress,"We are exploring innovative ways to make supported app blocks easier to build  without the need for React Native experience.Our current idea is to create a series of block templates, with a selection of different layouts and styles. A WordPress developer could then register a new supported app block in their plugin or theme and connect it to one of these templates. The developer would be able to map their chosen data to specific parts of the templates.This would specific allow third-party developers and integrations to more easily build supported app blocks for the BuddyBoss App, without the need to provide React Native code.
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/128-create-native-app-blocks-using-wordpress,buddyboss
Dark mode for the BuddyBoss Theme,"We will considering building a dark mode for the BuddyBoss Theme. This will allow you to build a specific dark color scheme for your theme. Once configure  members could switch between light and dark modes, either manually or through their system or browser's automatic settings. Please note: The design showed is an early conceptual design and may change during development.
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/124-dark-mode-for-the-buddyboss-theme,buddyboss
Use #hashtags in activity posts and comments,"We are planning to add support for #hashtags in the activity feed  allowing people to create their own hashtags and use them in posts to create trending activity.
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/22-use-hashtags-in-activity-posts-and-comments,buddyboss
Dark mode for the BuddyBoss App,"We will planning to add support for Dark Mode throughout the BuddyBoss App  syncing with iOS and Android settings. This will allow all screens in the app to be displayed with dark colors for a relaxing experience at night.Notice: The design showed is an early conceptual design and may change during development.
",https://portal.productboard.com/buddyboss/1-buddyboss-roadmap/c/23-dark-mode-for-the-buddyboss-app,buddyboss
