Name,Description,Source Link,portalSourceName
User Provisioning Teams Service Connection,"Update Teams Service Deploy and Health Checker to support AP customers only. This will allow the customer to connect Callroute to Teams without deploying any Direct Routing configuration
",https://portal.productboard.com/callroute/1-callroute/c/65-user-provisioning-teams-service-connection,callroute
Number Tagging Improvements,"Improve the use of tags for numbers that will allow users to search and filter numbers based on assigned tag
",https://portal.productboard.com/callroute/1-callroute/c/49-number-tagging-improvements,callroute
New Partner Focussed Portal,"Update existing partner portal to a more feature rich self-service driven experience with detailed reporting and customer management
",https://portal.productboard.com/callroute/1-callroute/c/26-new-partner-focussed-portal,callroute
Implement SSO with Microsoft Accounts,"Implement single sign on with Microsoft identities
",https://portal.productboard.com/callroute/1-callroute/c/44-implement-sso-with-microsoft-accounts,callroute
Automate Secondary Destination Number,"Use the mobile number field in AzureAD to automatically populate the secindary inbound destination of an assigned DDI
",https://portal.productboard.com/callroute/1-callroute/c/38-automate-secondary-destination-number,callroute
Bulk Number Tagging,"Allow the ability for users to apply tags to numbers within a range in bulk
",https://portal.productboard.com/callroute/1-callroute/c/61-bulk-number-tagging,callroute
Update AzureAD User Number,"Update user's AzureAD Phone number to match Teams LineURI on assign or update action
",https://portal.productboard.com/callroute/1-callroute/c/54-update-azuread-user-number,callroute
Disable Unused Numbers,"Disable the activation of ported numbers that the customer has not paid to use but show in the portal in an unassignable state. 
",https://portal.productboard.com/callroute/1-callroute/c/23-disable-unused-numbers,callroute
New Report - Top numbers based on total minutes,"Acceptance CriteriaTop numbers by total minutes Ability to see share of overall minutes per number (pie chart).
",https://portal.productboard.com/callroute/1-callroute/c/35-new-report-top-numbers-based-on-total-minutes,callroute
Support Multiple Teams Tenants Per Customer,"Add the ability for Callroute customers to connect more than one Teams tenant to the same Callroute tenant. This feature will support customers looking to manage multiple Teams tenants and share BYOC / PSTN services between them
",https://portal.productboard.com/callroute/1-callroute/c/59-support-multiple-teams-tenants-per-customer,callroute
Dial Prefix,"Support dial prefixes to FROM header for BYOC carriers that require this for customer billing and identification purposes
",https://portal.productboard.com/callroute/1-callroute/c/14-dial-prefix,callroute
SIP Registration,"We now support SIP registration for carriers who require this method of authentication for BYOC trunks. 
",https://portal.productboard.com/callroute/1-callroute/c/9-sip-registration,callroute
Provisioning API,"API to allow customers to trigger Teams user provisioning tasks from external systems e.g ServiceNow  Power Automate etc. This will also allow customers to provision Teams users in bulk using their own scripts.
",https://portal.productboard.com/callroute/1-callroute/c/64-provisioning-api,callroute
Number Metadata & External Assignments,"Allow customers to add metadata to a number including address  department name, other contact details e.g. email address and opening hours that can be used as part of our numbers API to build external address books and web directories
",https://portal.productboard.com/callroute/1-callroute/c/68-number-metadata-external-assignments,callroute
Apply CLI on Inbound Assignment for Teams,"Automatically assign the Teams user LineURI when inbound number is configured
",https://portal.productboard.com/callroute/1-callroute/c/48-apply-cli-on-inbound-assignment-for-teams,callroute
Number Tagging Improvements,"Improve the usability of number tagging to allow customers to choose to exclude numbers tagged with X as well as include as is currently default. Add the ability to bulk assign numbers to a tag and allow customers to create tags independently of a number
",https://portal.productboard.com/callroute/1-callroute/c/67-number-tagging-improvements,callroute
New Report - Number of call minutes per day,"Acceptance CriteriaNumber of calling minutes per dayFilter by inbound/outbound/bothAbility to select time period (last 7 days) and by grouped by phone numberDisplayed as a bar chart
",https://portal.productboard.com/callroute/1-callroute/c/36-new-report-number-of-call-minutes-per-day,callroute
