Name,Description,Source Link,portalSourceName
Control moves with voice,"User story: Futuristically I would like the ability to control the moves with my voice
",https://portal.productboard.com/chessable/1-chessable/c/175-control-moves-with-voice,chessable
Vacation mode,"Background: Oftentimes users go on vacation and cannot study and keep up their streak  but still don't want to lose their streak and come back to many many reviews.User story: Users want ability to Add an option to freeze review clock for chapter/course/all courses (vacation mode)
",https://portal.productboard.com/chessable/1-chessable/c/157-vacation-mode,chessable
Customise chessboard/piece colour/theme,"Description To have a setting where you can change the chessboard and chess piece design.Why? Customize the design to your own preference.
",https://portal.productboard.com/chessable/1-chessable/c/42-customise-chessboard-piece-colour-theme,chessable
"""Followers"" functionality improved","Description: Currently  following others doesn't really give much value. The idea would be to send notifications when others you are following take different actions. This way you can keep track of what your friends are studying, follow others' progress etc.Why? Currently there isn't much use of the follow functionality, and people really have no incentive to follow each other
",https://portal.productboard.com/chessable/1-chessable/c/54-followers-functionality-improved,chessable
Review variations in the order they are presented in the course,"Background: Reviewing for a course with openings doesn't begin from the beginning making it hard to learn a repertoire effectively User story: Ability to review opening courses from the beginning
",https://portal.productboard.com/chessable/1-chessable/c/163-review-variations-in-the-order-they-are-presented-in-the-course,chessable
Offline Mode,"Offline Mode: DescriptionHave the ability to use Chessable offlineWe are currently working on our native Mobile app (initially for iOS and next Android). How important is offline mode to you? Do you travel a lot? Are you in areas with no service frequently and want to study while offline? Why?We have a feeling that users would like to use the app offline  and would like to back up this assumption with your votes and data
",https://portal.productboard.com/chessable/1-chessable/c/29-offline-mode,chessable
Ability to refer a friend to Chessable,"Ability to refer a friend to Chessable
",https://portal.productboard.com/chessable/1-chessable/c/262-ability-to-refer-a-friend-to-chessable,chessable
Use mouse to navigate moves within a variation,"DescriptionWhen you're within a variation and you scroll with the mouse  you will navigate through this variation. This instead of having to click each move or click on the next icon. Why?So you can more easily/intuitively/rapidly navigate through a variation on Chessable.
",https://portal.productboard.com/chessable/1-chessable/c/245-use-mouse-to-navigate-moves-within-a-variation,chessable
Important Moves completed with Data Science,"Important Moves completed with Data Science
",https://portal.productboard.com/chessable/1-chessable/c/259-important-moves-completed-with-data-science,chessable
Renew difficult moves overview page,"DescriptionTo redesign the 'difficult moves' page. First an overview of all courses appears with the total number of difficult moves in that course. Then you can navigate further.Why?So you can immediately see in which course you have the highest number of difficult moves and then explore further from there.
",https://portal.productboard.com/chessable/1-chessable/c/59-renew-difficult-moves-overview-page,chessable
Paths/roadmap/curriculum,"A world of warcraft (talent tree) style feature where we give people recommended paths on Chessable (also makes them want to complete things) - help them go down a good learning path depending on ELO/interests etc.
",https://portal.productboard.com/chessable/1-chessable/c/192-paths-roadmap-curriculum,chessable
Ability to search usernames with an improved search,"User Story: Ability to search similar to improvements in the courses search for friends to follow in Chessable.
",https://portal.productboard.com/chessable/1-chessable/c/279-ability-to-search-usernames-with-an-improved-search,chessable
Dark Mode #2 (for PRO),"DescriptionA bigger variety of colors to choose from.Why?To allow for a customized style and mood when using your favorite chess site.
",https://portal.productboard.com/chessable/1-chessable/c/12-dark-mode-2-for-pro,chessable
Train all difficult moves at once,"Background: The current way the difficult moves page is set up makes it difficult to action difficult moves that the users know they need to improve uponUser story: Users want the ability to train all difficult moves at once. Currently it is not possible. Inside a chapter  it is possible to train individual difficult moves, but there is no way to easily train all difficult moves in a chapter, book, or all moves across all courses. 
",https://portal.productboard.com/chessable/1-chessable/c/156-train-all-difficult-moves-at-once,chessable
Improve and redesign user profiles,"Background: Wants to see iCCF rating and titles as well in profile User wants to see: Time spent per day on problems. Number of variants  tactics and moves done per day. Accuracy percentages. - Time/moves spent reviewing. Total solving time. Leaderboard positions. Wants to see how much video he/she watched in profileUser story: Ability to view the above items in the profile
",https://portal.productboard.com/chessable/1-chessable/c/172-improve-and-redesign-user-profiles,chessable
Streak is annoying,"Background: When losing the streak  the popup in red is quite annoying for users, leading one user to ask to completely disable the streak feature altogether.User story: Make streak less annoying as a feature. Perhaps change the text color, copy, or allow users to disable the notification
",https://portal.productboard.com/chessable/1-chessable/c/179-streak-is-annoying,chessable
Chessable clubs or groups,"Background: Currently there is no easy way to create a space for a group such as a chess club or school to have some identity in ChessableUser story: Make clubs specific to schools or openings or other aspects
",https://portal.productboard.com/chessable/1-chessable/c/174-chessable-clubs-or-groups,chessable
Dashboard revamp,"This is where we collect your feedback for redesigning the dashboard.
",https://portal.productboard.com/chessable/1-chessable/c/277-dashboard-revamp,chessable
Improve the search/filter functionality to find courses,"DescriptionTo improve the course catalog search and filter functionality so that more relevant suitable courses show up. Why? So that users can find the most suitable course for them more quickly. 
",https://portal.productboard.com/chessable/1-chessable/c/26-improve-the-search-filter-functionality-to-find-courses,chessable
