Name,Description,Source Link,portalSourceName
Shopware Plugin,"Create Shopware plugin for using creaitor.ai directly in Shopware
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/23-shopware-plugin,creaitor
Export as PDF,"Integrate PDF export.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/33-export-as-pdf,creaitor
HR,"Add different templates for HR
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/35-hr,creaitor
Essay,"Provide a Template for Essay
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/46-essay,creaitor
Magento Plugin,"Create Magento plugin for using creaitor.ai directly in Magento
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/24-magento-plugin,creaitor
Command,"Creaitor Command will help to execute commands directly from Editor. This will obsolet the Open Form.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/47-command,creaitor
Integrate text analysis by NLP,"Integrate text analysis by NLP.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/41-integrate-text-analysis-by-nlp,creaitor
Landingpage wizard,"Provide a wizard which helps to create a blog
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/15-landingpage-wizard,creaitor
AI based image creation,"Integrate feature to create image based on text.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/37-ai-based-image-creation,creaitor
Two factor authentication,"Implement two factor authentication for better security.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/20-two-factor-authentication,creaitor
Video tutorial,"Create video tutorials
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/18-video-tutorial,creaitor
Word AddOn,"Create Word AddOn for using creaitor.ai directly in Word
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/25-word-addon,creaitor
Step guide (product tour),"Make a step by step walk trough guide.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/16-step-guide-product-tour,creaitor
Improve handling,"Improve handling of editor
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/30-improve-handling,creaitor
Parsing top 10 search results based on keywords and get blog out of it,"Parsing top 10 search results based on keywords and get blog out of it.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/43-parsing-top-10-search-results-based-on-keywords-and-get-blog-out-of-it,creaitor
Team collaboration,"Integrate team collaboration  so team members can work on same document / editor.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/31-team-collaboration,creaitor
Plagiarism checker,"Integrate a plagiarism checker
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/45-plagiarism-checker,creaitor
GUI languages,"Integrate more GUI languages.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/38-gui-languages,creaitor
Product comparison,"Add product comparison template.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/34-product-comparison,creaitor
Notification system,"Integrate notification system.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/44-notification-system,creaitor
OAuth authentication,"Implement OAuth for ability to faster register / login with facebook or similar login.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/19-oauth-authentication,creaitor
Text rating on keywords,"Integrate SEO feature to rate text output.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/40-text-rating-on-keywords,creaitor
Rewrite phrase,"This is the ""Rewrite phrase"" feature in editor.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/27-rewrite-phrase,creaitor
API access,"Allow API access to integrate with other systems.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/21-api-access,creaitor
Highlight inserted blocks,"Highlight inserted blocks  so they have a visible difference to the existing content.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/29-highlight-inserted-blocks,creaitor
Help page,"Create a help page with all important information.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/17-help-page,creaitor
WordPress Plugin,"Create WordPress plugin for using creaitor.ai directly in WordPress
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/22-wordpress-plugin,creaitor
Improve phrase,"This is the ""Improve phrase"" feature in editor.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/28-improve-phrase,creaitor
Write more,"This is the ""Write more"" feature in editor.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/12-write-more,creaitor
Blog wizard,"Provide a wizard which helps to create a blog
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/14-blog-wizard,creaitor
Parsing website and create blog out of it,"Parsing website and create blog out of it.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/42-parsing-website-and-create-blog-out-of-it,creaitor
CSV / Excel upload and bulk creation,"Integrated CSV / Excel upload and bulk content creation function.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/36-csv-excel-upload-and-bulk-creation,creaitor
Supported AI languages,"Integrate more AI supported languages.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/39-supported-ai-languages,creaitor
Export as Word,"Integrate Word export.
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/32-export-as-word,creaitor
Excel AddOn,"Create Excel AddOn for using creaitor.ai directly in Excel
",https://portal.productboard.com/creaitor/1-creaitor-ai-roadmap/c/26-excel-addon,creaitor
