Name,Description,Source Link,portalSourceName
InfraImport: Import your VMWare infrastructure,"We recently added VSphere Terraform provider support to Terracognita  the engine propulsing InfraImport feature. We added VSphere into InfraImport which allow you to import your VMWare infrastructure, select the attributes you want to use as variable, then generate a Stack to manage this infrastructure using the best practices !
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/29-infraimport-import-your-vmware-infrastructure,cycloid
AWS Marketplace integration,"As part of our ongoing efforts to expand the reach of our product and make it more accessible to users  we will be building an integration with the AWS Marketplace. This integration will allow users to easily discover and purchase our product through the AWS Marketplace, providing a seamless and convenient user experience.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/43-aws-marketplace-integration,cycloid
Terracognita: Azure improvements,"We upgraded Azure SDK on Terracognita and improved the support on many resources and features
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/24-terracognita-azure-improvements,cycloid
User Experience: Page header redesign,"As part of our ongoing efforts to improve the user experience  we will be implementing a consistent and predictable layout for our application. This will make it easier for users to locate page titles, contextual navigation and actions. Additionally, we will be creating opportunities to display supporting content and entity metadata. This enhancement is aimed at streamlining the user experience and providing users with easy access to important information.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/39-user-experience-page-header-redesign,cycloid
White Label / Customer designed portal,"We just released the White Label  a feature that will let organizations customize their own branding by modifying the theme of Cycloid.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/19-white-label-customer-designed-portal,cycloid
SSO: per-organization configuration,"Some OAuth Identity Providers like Okta require additional configuration in order to allow users to login on our SaaS platform using the mentioned Identity Provider.As Organizations may want to use a specific SAML provider  or a dedicated Oauth provider, we will provider a per-organization settings page to configure it. Organizations will have their own custom dedicated login page to authenticate.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/22-sso-per-organization-configuration,cycloid
Quota Management,"To limit the budget  or to create a capacity planning on physical servers, DevOps may want to have Quotas on the resources that can be deployed through Cycloid.Quotas allow you to control the resources teams can use by creating memory, storage and CPU limits. This is a way of controlling or restricting your server usage. Quotas are applied on teams, you can create and restrict as many teams as needed.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/9-quota-management,cycloid
Credentials: Hide sensitive information,"Each values of a credential will be hidden by default  displayed like password in your browser.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/27-credentials-hide-sensitive-information,cycloid
Terracost: Support Terraform modules,"Terracost is now even more powerful with the ability to incorporate external modules called in your Terraform code for even more accurate cost estimation.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/31-terracost-support-terraform-modules,cycloid
StackForms: Inventory Integration,"As part of our ongoing efforts to improve StackForms  our forms engine, we will be adding a new widget that connects to our inventory database. This enhancement offers several benefits. Unlike TFState outputs, the inventory does not require outputs to be exposed and all fields can be accessed directly. Additionally, connecting the widget to the inventory allows for a relationship between StackForms input and the inventory. This means that refreshing the pipeline will update with new data stored in the inventory, rather than just being a string. Furthermore, users can populate widget values dynamically using Ansible or third-party products by inserting userdata into the inventory.
",https://portal.productboard.com/cycloid/1-cycloid-roadmap/c/40-stackforms-inventory-integration,cycloid
