Name,Description,Source Link,portalSourceName
Metadata Schema support for content URLs,"https://groups.google.com/g/datacite-metadata/c/V0hR4s8K3lo/m/Uv9H3cEnAQAJThis suggestion is being forwarded to the DataCite Metadata Working Group for further consideration.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/70-metadata-schema-support-for-content-urls,datacite
Bibliometrics Dashboard,"We are building a Bibliometrics Dashboard with different impact indicators (e.g. citations  usage, tweets, etc.). The dashboard will show the following basic indicators, each as the total number and broken down by discipline. The expectation is that the Bibliometrics dashboard will drive the adoption of standardized practices and help different stakeholders to obtain aggregated data about important indicators.QuestionsHow would this help your work?Who would benefit from this solution?Fill our SURVEY if you want to provide further information.This work is partially supported by the Make Data Count project funded by the Alfred P. Sloan Foundation. https://makedatacount.org/
",https://portal.productboard.com/datacite/1-roadmap-2022/c/68-bibliometrics-dashboard,datacite
DOI metadata enrichment  (subject area classification) for Data analysis,"One of the deliverables for the Make Data Count (MDC) grant is “Building of and usage of a bibliometrics dashboard on data sharing. The dashboard will show the following basic indicators  each as the total number and broken down by discipline.” This work depends on having enough DOIs with discipline information in the metadata to analyze by the MDC partners. Our metadata gap analysis shows that we do not have adequate discipline information in the DOIs.As part of this, we are working on improving DOI subject metadata by infering information we have from repository subject areas. We will also run a campaign to encourage our members to improve their DOI subject metadata.This work is partially supported by the Make Data Count project funded by the Alfred P. Sloan Foundation. https://makedatacount.org/
",https://portal.productboard.com/datacite/1-roadmap-2022/c/46-doi-metadata-enrichment-subject-area-classification-for-data-analysis,datacite
ROR input for publisher field,"This suggestion is being forwarded to the DataCite Metadata Working Group for further consideration.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/67-ror-input-for-publisher-field,datacite
FAIR Visualisations for Organisations and DMPs,"Building a user interface that can help Organisations' directors demonstrate the impact of their organizations by bringing together all their FAIR scholarly outputs in the PID Graph.QuestionsWhat is the problem that this new functionality would solve?How do you or your organization currently do this?Fill our SURVEY if you want to provide further information.This feature is partially supported by:FAIR Island project is funded by the NSF-funded EAGER grant and managed through the National Science Foundation (Grant ID 1745675) https://fairisland.org
",https://portal.productboard.com/datacite/1-roadmap-2022/c/77-fair-visualisations-for-organisations-and-dmps,datacite
Fabrica Improvements,"We are excited to announce the latest release of Fabrica! We are thrilled to announce that this release includes 13 new improvements that have been heavily influenced by user feedback and user behavior.  You can read more about this in our blogpost at https://blog.datacite.org/new-release-of-fabrica-improvements-inspired-by-user-feedback/ 
",https://portal.productboard.com/datacite/1-roadmap-2022/c/74-fabrica-improvements,datacite
Consolidation of DataCite Search into DataCite Commons,"DataCite Commons provides a platform to query different Persistent Identifiers and view their connections. Therefore  we will be retiring DataCite Search from December 2021 and would encourage all our users to start using DataCite Commons.QuestionsHow would this help your work?Who would benefit from this solution?Fill our SURVEY if you want to provide further information.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/44-consolidation-of-datacite-search-into-datacite-commons,datacite
IGSN Catalogues,"IGSN DOI ID registration using DataCite Fabrica with a IGSN DOI ID repository.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/83-igsn-catalogues,datacite
PIDs for instruments,"This suggestion is being forwarded to the DataCite Metadata Working Group for further consideration.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/39-pids-for-instruments,datacite
Tombstone pages for DOIs from inactive repositories,"In rare occasions  members or consortium organisations choose to discontinue their use of DataCite DOI services, which results in inactive repositories and management of the DOIs. Following our commitment to supporting PIDs created via our services, we will continue to resolve the working DOIs and unresolving DOIs will be redirected to tombstone pages with last saved metadata. 
",https://portal.productboard.com/datacite/1-roadmap-2022/c/49-tombstone-pages-for-dois-from-inactive-repositories,datacite
Expanding the Scope of Physical Object Type,"The definition of the “PhysicalObject” resourceTypeGeneral value should be able to specify physical samples and features-of-interest that may be animate  including living biological samples. Currently, the definition of PhysicalObject excludes living samples.QuestionsDo you think this schema change suggestion should be added to the schema? and Why?Who would benefit from this schema change in your opinion?Fill our SURVEY if you want to provide further information.More info: https://pidforum.org/t/considerations-for-removing-the-word-inanimate-from-the-resourcetypegeneral-physicalobject-controlled-list-value-description/2159
",https://portal.productboard.com/datacite/1-roadmap-2022/c/79-expanding-the-scope-of-physical-object-type,datacite
Metadata completeness dashboard,"Dashboard showing metadata completeness for our members. Dashboards foradoption of optional metadata (e.g. description  rights information)adoption of linking to external resources (e.g. Citations, ORCID, ROR incl. funding)QuestionsWhat is the problem that this new functionality would solve?How do you or your organization currently do this?Fill our SURVEY if you want to provide further information.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/53-metadata-completeness-dashboard,datacite
Sunsetting of the EZ API,"We will be discontinuing the DataCite EZ API from 31st of December 2021. Those who are still using the DataCite EZ API  we recommend moving to our DataCite REST API. You can read more on our blog 'Sunsetting of the EZ API'.
",https://portal.productboard.com/datacite/1-roadmap-2022/c/50-sunsetting-of-the-ez-api,datacite
Improve Prefix Workflow,"Following the overall goal of pillar one of our strategic plan: “Provide easy  efficient, and responsive community services to support the needs of our community,” we simplified the prefix assignment workflow. The new process gives more autonomy to our members when setting up repositories in Fabrica.when a repository is created prefix is automatically assigned to the newly created repository prefixes are assigned directly to repositories without having to first assign it to memberscontinue to promote one prefix - one repository policy but allow members to request additional prefixes when needed following a set of criteria
",https://portal.productboard.com/datacite/1-roadmap-2022/c/66-improve-prefix-workflow,datacite
Harvester Service,"We would like to improve and extend our harvester services to improve discoverability of our members research outputs by enabling effective harvesting of our metadata  including extra convenience for consumers of a premium service. 
",https://portal.productboard.com/datacite/1-roadmap-2022/c/45-harvester-service,datacite
Usage Stats Processing as a Service,"We aim to provide a Tracking Code (similar to GoogleAnalytics)  that can be embedded in repository landing pages, that forwards for views and downloads counts to our Usage Stats Processing Service. QuestionsHow would this help your work?Who would benefit from this solution?Fill our SURVEY if you want to provide further information.This service is partially supported by the Make Data Count project funded by the Alfred P. Sloan Foundation. https://makedatacount.org/
",https://portal.productboard.com/datacite/1-roadmap-2022/c/62-usage-stats-processing-as-a-service,datacite
Support Pre-registrations resource Type,"This suggestion is being forwarded to the DataCite Metadata Working Group for further consideration.Enable the Datacite Metadata schema to address use cases such as:Registrations and pre-Registrations are a type of research output that is different than the current set and therefore need their own distinction and metadata.QuestionsDo you think this schema change suggestion should be added to the schema? and Why?Who would benefit from this schema change in your opinion?Fill our SURVEY if you want to provide further information.for more details:https://docs.google.com/document/d/15IGSrxGur5shY7w-pVtA6PPnv1ZAUbrUif6Iwt_FBbI/edit
",https://portal.productboard.com/datacite/1-roadmap-2022/c/72-support-pre-registrations-resource-type,datacite
