Name,Description,Source Link,portalSourceName
View metrics for built-in Demio notifications!,"You'll be able to view common metrics for the built-in Demio notifications (confirmation  reminders, replay follow-up). Metrics like open rates, click-through rates, etc.!
",https://portal.productboard.com/demio/1-demio-roadmap/c/56-view-metrics-for-built-in-demio-notifications,demio
board.com/demio/1-demio-roadmap/c/70-allow-event-specific-branding,demio
Hide sessions that are In Progress from the Registration page,"With this update  you'll be able to disable registration on sessions that are currently In Progress—preventing any potential Attendees from joining a sessions mid-way through the session. This will ensure that anyone who registers will have the opportunity to attend right from the start of the session.
",https://portal.productboard.com/demio/1-demio-roadmap/c/57-hide-sessions-that-are-in-progress-from-the-registration-page,demio
Dedicated Dashboard / Events,"With this update  we'll be introducing an all-new Dashboard and Events page. These additions should help you navigate through your various events, as well as view and manage the sessions for each event.The Dashboard will serve as an organized view of your past/upcoming sessions, as a schedule.The Events will allow you to view/manage all of your individual events.
",https://portal.productboard.com/demio/1-demio-roadmap/c/32-dedicated-dashboard-events,demio
Native Safari / Edge,"With this update  we'll be adding Safari and Edge support, as well as remove the need for Attendees to download an app on iOS.
",https://portal.productboard.com/demio/1-demio-roadmap/c/34-native-safari-edge,demio
Dynamic room sizes & additional Hosts on the Growth plan,"We've implemented changes to our subscription plans that'll allow you to easily add additional Hosts to your account—giving you much more flexibility within a single company account.New Plan ChangesOur new plans will factor in the number of Hosts (in addition to the room size)  starting at a minimum of one, and which you can increase/decrease as needed.Our Growth plans offer up to 5 Hosts, with Premium providing for users that need even more (the Starter plan will remain capped at 1 Host).We've also retired our Business plans in favor of offering additional room size options (500- and 1000-Attendee Room Sizes) at the Growth-level.
",https://portal.productboard.com/demio/1-demio-roadmap/c/92-dynamic-room-sizes-additional-hosts-on-the-growth-plan,demio
Allow users (and event admins) the ability to directly update their profile image,"Currently  Demio uses Gravatar to update a user's profile image: https://help.demio.com/en/articles/983570-change-your-profile-picture With this update, we'll allow users to update their profile image directly on Demio.
",https://portal.productboard.com/demio/1-demio-roadmap/c/87-allow-users-and-event-admins-the-ability-to-directly-update-their-profile-image,demio
Improve Connectivity Test Accuracy,"We'll be improving our connectiivty test to be more accurate to allow you to better understand how your audio/video may be affected by your connection. 
",https://portal.productboard.com/demio/1-demio-roadmap/c/58-improve-connectivity-test-accuracy,demio
2-factor authentication for login,"Add a layer of security to your Demio account by enabling 2FA authentication. When 2FA is enabled  you will need to retrieve a code via your authenticator app in order to complete your login.
",https://portal.productboard.com/demio/1-demio-roadmap/c/82-2-factor-authentication-for-login,demio
Prior Updates,"To view some of our major updates before 2019  as well as hear about new changes as they arrive, visit our update changelog: updates.demio.com
",https://portal.productboard.com/demio/1-demio-roadmap/c/30-prior-updates,demio
