Name,Description,Source Link,portalSourceName
Bereavement Policy,"Bereavement Policy Forms
",https://portal.productboard.com/eforms/1-product-portal/c/11-bereavement-policy,eforms
Multi User,"Add additional users to your eForms account
",https://portal.productboard.com/eforms/1-product-portal/c/20-multi-user,eforms
Digital Signature,"Send documents to multiple recipients for signature
",https://portal.productboard.com/eforms/1-product-portal/c/16-digital-signature,eforms
Change Order,"Change Order Forms 
",https://portal.productboard.com/eforms/1-product-portal/c/13-change-order,eforms
Reimbursement Form,"Reimbursement Form
",https://portal.productboard.com/eforms/1-product-portal/c/22-reimbursement-form,eforms
Financial Hardship Letter,"Financial Hardship Letter
",https://portal.productboard.com/eforms/1-product-portal/c/12-financial-hardship-letter,eforms
In-App Editing,"Edit the contents of a created document directly on our site
",https://portal.productboard.com/eforms/1-product-portal/c/19-in-app-editing,eforms
Cloud Storage,"Export and save documents to Google Drive  Dropbox or OneDrive
",https://portal.productboard.com/eforms/1-product-portal/c/17-cloud-storage,eforms
Online Notary,"Have documents notarized online directly from eForms
",https://portal.productboard.com/eforms/1-product-portal/c/18-online-notary,eforms
Affidavit of Residence,"Affidavit of Residence Form
",https://portal.productboard.com/eforms/1-product-portal/c/14-affidavit-of-residence,eforms
Personal Financial Statement,"Personal Financial Statement Forms
",https://portal.productboard.com/eforms/1-product-portal/c/10-personal-financial-statement,eforms
Name Change Forms,"Name Change Forms
",https://portal.productboard.com/eforms/1-product-portal/c/15-name-change-forms,eforms
Change Order,"Change Order
",https://portal.productboard.com/eforms/1-product-portal/c/21-change-order,eforms
