Name,Description,Source Link,portalSourceName
"Filter source strings with comments  issues, or screenshots","Navigate to the Strings tab in your Project Settings to try this out.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/154-filter-source-strings-with-comments-issues-or-screenshots,featurerequest
Set up GitHub integration using your personal access token,"Available exclusively on Crowdin Enterprise.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/168-set-up-github-integration-using-your-personal-access-token,featurerequest
Don't allow proofreaders accept/reject join requests,"Ability to remove the permission to accept/deny project join requests from the proodreader role.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/57-don-t-allow-proofreaders-accept-reject-join-requests,featurerequest
Language coordinator role,"Add a role that allows the user to manage join requests and other localization processes for one specific languageUsers with this role could be able to manage the language's glossary  accept and deny join requests for the language, proofread the language and perhaps even promote and demote translators/proofreaders.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/247-language-coordinator-role,featurerequest
Publish translated Zendesk articles right away,"Clear the Push as a draft checkbox in the integration settings.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/178-publish-translated-zendesk-articles-right-away,featurerequest
More Webhooks from now on,"Added new webhooks: translation addedtranslation updatedtranslation deleted translation approved translation unapproved exported translation updated.Now you can choose the type of HTTP requests: GET or POST. Also  for POST method you can additionally choose how to send the content (content type). More about Crowdin Webhooks.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/50-more-webhooks-from-now-on,featurerequest
Search strings or TM with regex,"Would like to be able to search for strings in Editor with regex and for TM records as well
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/246-search-strings-or-tm-with-regex,featurerequest
Add AND or NOT booleans to the search,"Add the support of AND or NOT booleans to the search field in the editor For example  Key NOT Context -That will look for strings that include the word ""Key"" and excludes the word ""Context "" Key AND Context -Will include strings with both words
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/292-add-and-or-not-booleans-to-the-search,featurerequest
"Filter option ""Hide my translations""","Add a checkbox or a filter option for ""not my translation"" or to see ""other's translations first"" in the voting process.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/13-filter-option-hide-my-translations,featurerequest
Auto-merge flag for GitHub integration's PRs,"It would be a nice addition if the pull-request that is created by the Github integration can have the ""automerge"" flag (not a label  but the real flag handled by Github). It would streamline changes to the translation without manual operation.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/310-auto-merge-flag-for-github-integration-s-prs,featurerequest
Notifications and messages visible from the Editor as well,"When making translations - you'll be able to see the new messages you receive as well as your account notifications.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/86-notifications-and-messages-visible-from-the-editor-as-well,featurerequest
Improve the UI and functionality of the Translation Editor,"Online Editor has now a brand new look and has become more user-friendly.easily indicate a current language that is being editedone-click copy and save of MT or MT suggestionability to select and copy a part on the suggestionother ux iprovements
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/8-improve-the-ui-and-functionality-of-the-translation-editor,featurerequest
Dark mode,"Create dark mode for the whole interface  like the one already used in the Editor.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/89-dark-mode,featurerequest
Webhooks for discussions,"Webhooks for opening / commenting on discussions.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/106-webhooks-for-discussions,featurerequest
Change Full name and nickname per project,"Different teams sometimes require specific naming for their internal purposes. And it's not okay to switch the name or accounts back and forth. Would be nice if we could change full name / nickname for each project  and have one default nickname, which leads to the main profile page.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/281-change-full-name-and-nickname-per-project,featurerequest
option for the translator to split/join strings,"It's a huge handicap in Crowdin that it's not possible to split/join strings. In all other CAT tools that I've worked with  it has been an option for the translator to split/join strings.The reasoning here is that one segment/sentence in the source language is not always equivalent to one segment/sentence in the target language – or – several segments/sentences in the source language could be equivalent to just one segment/sentence in the target language.It should be possible to split/join strings for specific language pairs. In this way, only the TM for that language pair would be affected, and the translator would also be given a higher level of flexibility in creating the best translation for their language.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/261-option-for-the-translator-to-split-join-strings,featurerequest
Updated Crowdin Plugin for Adobe XD,"Designers can preview translations for the dynamic content and customize multilingual versions directly in Adobe XD. 
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/210-updated-crowdin-plugin-for-adobe-xd,featurerequest
Decide whether to reset the task progress when you edit it,"The Reset task scope and progress option is enabled by default to recalculate progress if you added/removed files or if the files are the same  but their content was updated.
",https://portal.productboard.com/featurerequest/1-submit-feature-requests-ideas-for-crowdin/c/236-decide-whether-to-reset-the-task-progress-when-you-edit-it,featurerequest
