Name,Description,Source Link,portalSourceName
Email/Batch: Formatting / html,"Wants: want to have more creative pronounced email message.... unique brandingJTBD; ""'Target outcome:FonttypecolorSizeformatAlignmentIndentThere are services that give you a HTML email builder e.g. to build a Mailchimp style newsletterhttps://unlayer.com/https://www.mailjet.com/partners/programs/resellers/
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/240-email-batch-formatting-html,followupboss
Contact Relationship,"Contact Relationships OverviewUse Relationships to communicate with related contacts in one place. Think: spouses  business partners, father and son, etc. You can start conversations with more than one person and all communication with these related contacts will show on the same profile. Now it's easy to see the whole conversation and keep everyone in the loop.Note: If you are needing or wanting two people to be separate contacts in a third party system, keep them separate in Follow Up Boss. If you want to roll up people in a primary relationship instead, use Relationships.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/85-contact-relationship,followupboss
Email Templates: Add File Attachment,"Add the ability to include an file attachments in email templates to save time for those repeatable documents sent to clients.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/204-email-templates-add-file-attachment,followupboss
Lead Profile Add Custom Field Folders,"ProblemCustomers need to maximize the efficiency of prospecting from their leads in FUB. After focusing on new leads and responding to inbound who they you focus on? Often there are positive signals (desire to move right away  qualified for financing, re-locating for work, etc...) in the communication touch points that reveal buyers/sellers most likely to transact. It is typical to have thousands of leads who are dormant and hundreds who are actively looking for homes so it is critical to be able to filter these to a manageable list.SolutionUpdate the custom fields admin to handle folders. This should look and behave like the Email Templates admin.Custom fields can be in multiple folders.Search input to quickly find a custom field.Default folder at the top: ""All Custom Fields""Folders can be re-ordered.Option to track progress per folder.Similar to Email Templates Admin the page will default to a folder list. Existing customers will just see an All Custom Fields folder to start. Clicking the Add Folder button will open a modal where a name can be entered and a toggle for Showing Progress. 
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/188-lead-profile-add-custom-field-folders,followupboss
Calling/Texting For International Inbound/Outbound,"FULLY SUPPORT INTERNATIONAL CALLING/TEXTINGA lead with an international phone number can call or text your Follow Up Boss number  but you can't call/text their international number from Follow Up Boss and we can't call/text your international cell phone number (for call forwarding and lead alert texts, for example).Quick note: In this context, ""International"" means a number other than American or Canadian. Both American and Canadian numbers use the +1 country code on phone numbers and are not considered ""international"". All other country codes (+52 in Mexico, +971 in UAE, etc.) are ""international"" for the purposes of this feature.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/181-calling-texting-for-international-inbound-outbound,followupboss
Import/Export Deals,"The ability to import your deals into Follow Up Boss or Export your deals from Follow Up Boss
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/163-import-export-deals,followupboss
Trigger Automations Based on Appointments,"Would you like to create an automation based on an appointment being set or an appointment outcome? When would you use it?
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/154-trigger-automations-based-on-appointments,followupboss
Pond Notifications Settings,"Problem Teams often setup numerous ponds to denote lead value/urgency and focus areas. Currently  only the Pond Lead Agent gets notified of lead activity in the pond. This creates overhead as the Pond Agent needs to then notify the team that something has happened. There is also various workflows team deploy with geo ponds, ISA fallback, ISA warm capture, high urgency, etc. that have very specific notification scenarios. Solution To handle these specific Pond scenarios we will allow for teams to set notifications at the Pond Level via our newly released setting screen. We will simply list out the ponds and allow them to specify. ~ Scope: New notifications for Lead ClaimedWe will add a claimed lead notification to address the need to see who is clamining leads for team leads to monitor activity. This will work just like Lead Released to Pond. When enabled they be notified via bell, email, and desktop, & mobile push using the same format as lead released. We will also add browser push to released to pond.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/130-pond-notifications-settings,followupboss
Automations: Calendar Date Trigger Event,"ProblemAlthough we are collecting important dates for contacts  there isn't a way to automatically action these dates. For example:FUB cannot automatically send an email to a contact or assign a task to an agent to call a lead for an important date like a birthday or an anniversaryFUB cannot automatically start a post-closing action plan when a deal is closedCustom dates and deal close dates are both used as filters in the calendar and individually can be found in smart lists, deals and reporting. However, users need to manually monitor calendar, smart lists, deals and reporting to action these dates.  As a manual process, agents are missing key touchpoints when one of these dates falls on a weekend and brokers have a hard time prescribing a workflow. Additionally, users aren't incentivized to enter these dates to begin with which prevents them from getting the full value from other parts of the app. Providing value for these dates via automation will encourage users to enter these dates, it will allow brokers to set up important workflows and no important dates will slip through the cracks. 
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/173-automations-calendar-date-trigger-event,followupboss
Access to multiple accounts,"ProblemCurrently  customers can access only one Follow Up Boss account with their email / password so they have to create multiple distinct logins to access their multiple FUB accounts. Customers usually need separate FUB accounts to split their business geographically or to limit user access within each company division. It also makes it hard for real estate coaches to access FUB accounts of their clients. They need to have a unique login / password to access FUB account of each individual client. SolutionAllow users to access multiple FUB accounts using one login / password. This is accomplished by decoupling a user account (belongs to one natural person) from FUB account (one tenant). It means the same person can login into multiple FUB accounts using the same email address / password or Google/Microsoft sign-in.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/212-access-to-multiple-accounts,followupboss
Action Plan: Add Step - Notes With @mention Support,"Problem Customers desire workflow Automations that inform their teams to action and as more and more of our customers retarget contacts & setup ISA teams or Require their Agents to action these prime events they need a way to notify the team when those prime events have occurred in one of their workflows. Customer Feedback:Existing Lead: New Property Inquiry  Y-Priority Tag, Property Saved Event: When there is a key event such as a new inquiry for an existing lead, we can notify more than the assigned agent such as the ISA Team in charge of looking for these events. Robert Slack is using this approach heavily today.Pond (Existing Lead: New Property Inquiry) only the Pond Lead Agent gets notified of the activity in Ponds currently. This creates overhead as the Pond Agent(Team Lead) needs to then notify the team if they need someone to action the lead. We do plan to address this here -> Pond Notifications: New Inquiry & Released To Pond - Product Pitches
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/170-action-plan-add-step-notes-with-mention-support,followupboss
Contact Relationship - Custom Fields (Birthday Support),"Right now the concept of Custom fields is specific to the contact. With the introduction of relationships and having multiple people represented within a contact record.Take recurring dates  such as Birthday for example to set up Automations to create tasks to send out some brownies or send an email automatically with a Birthday geared Action Plan. There are similar ones such as AnniversariesFor all the downstream birthday things (smart lists, calendar views, etc) it would be really great if there was one single Birthday field that could be used everywhere, even if there were multiple relations with birthdays on the same Person page.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/119-contact-relationship-custom-fields-birthday-support,followupboss
Notification Bell,"Problem Our customers never want to miss an important notification and today  it is nearly impossible for them to quickly check from one place to see did I miss anything important.Solution Introduce a ""Quick Bell"" to solve for giving our teams one central place to see & filter all their alert notifications.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/89-notification-bell,followupboss
Allow Duplicates,"Problem:When an agent on a team purchases a lead  it is possible that the lead is already in Follow Up Boss assigned to a different agent. When this happens, the existing lead profile is updated with the most recent activity and the agent assigned to the existing profile is notified of new activity. This gives them an advantage over the agent that actually purchased the lead. Solution: Add an ""Allow Duplicates"" option for specific Lead Flows and Imports. If a particular Lead Flow is marked to allow duplicates, we could check for duplicates at the assigned agent level instead of at the account level. This would create a new lead for the agent assigned via lead flow even if the lead was assigned to a different agent. If the lead was assigned to a different agent, we would not update that profile.If an Import was marked to allow duplicates, we could check check for duplicates within the import and check for duplicates at the assigned agent level, but we would bypass the duplicate check at the account level. This would allow agent's to import their sphere without updating a lead profile assigned to a different agent. 
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/47-allow-duplicates,followupboss
Deals Checklist (Todo),"a checklist of things that happen from a deal. maybe in the form of an action planAdd Custom Dates and Checklist to Deal Tracking. Trello's style would be amazing. It would make deal tracking way better.It would be great to be able to add deal specific tasks or checklists we are able to mark off AND to be able to see them in calendar. At the contact level it would help to see these tasks/checklist in each deal card/section. This would be useful for contingencies per deal. I know we can add this at the contact level but sometimes the same contact buy more than 1 property.https://feedback.followupboss.com/app/#/case/58941https://feedback.followupboss.com/app/#/case/83525https://feedback.followupboss.com/app/#/case/60503
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/53-deals-checklist-todo,followupboss
Group Chat/Ping for internal team communication,"Problem:Teams today have no way in Follow Up Boss to directly communicate with each other directly or as a group to ask for help or clarify an answer to a question they have.SolutionProvide a way for teams to directly message each other right in Follow Up Boss without being tied directly to a lead profile that would show within your inbox to make sure you don't lose track.
",https://portal.productboard.com/followupboss/11-follow-up-boss-web/c/75-group-chat-ping-for-internal-team-communication,followupboss
