Name,Description,Source Link,portalSourceName
Reassign & Stop Admin Action on Workflows,"We understand that workflows sometimes need to adapt when assignments change. Currently  the only option is to forward the assignment email, but this makes it difficult to track the completion of the workflow. That's why we're considering a new feature that would allow admins to re-assign workflow steps to someone else within their organization right from the admin dashboard.This would come in handy in situations like when an assignee is on vacation or out sick, and another person needs to take over.We'd love to know if you're interested in having the ability to re-assign or stop a running Copilot workflow through the admin dashboard.Disclaimer: The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/71-reassign-stop-admin-action-on-workflows,formstack
Fillable Table Field,"We understand that users often need to collect information in a tabular format  such as inventory lists, work week schedules, or rating options. To support this, we are considering a fillable table field which would enable users to enter data more efficiently, thereby eliminating the need for multiple labels and creating multiple fields for similar values. Let us know what you think of this feature idea.Disclaimer: The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/85-fillable-table-field,formstack
Address Data Validation,"With this feature  you'll have the ability to offer an address autofill option, making it a breeze for your end users to enter their information. Let us know what you think of this feature idea.Let us know what you think of this feature idea by adding a comment below.Disclaimer: The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/84-address-data-validation,formstack
SCIM API,"SCIM API is an automation solution for IT admins to streamline user provisioning and de-provisioning across their organization's applications. By utilizing Identity Provider Groups  admins can ensure the right people have access and save time by syncing actions between the Identity Provider and 3rd party services. No more removing users from multiple places! We're considering building this to allow Platform admins to manage user provisioning across all our applications. Let us know what you think of this feature idea.The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/83-scim-api,formstack
Embedded Workflows,"In Copilot Workflows you can seamlessly share the workflow via or email links. However  currently, you cannot embed the workflow on third-party webpages. Our team wants to know if this is something you're interested in - share about your use case and needs!The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/67-embedded-workflows,formstack
OAuth for Microsoft 365,"With our new Microsoft365 OAuth SMTP option  you can now easily change settings on a per mailbox basis, saving you time and giving you full control of emails being sent from Formstack. This is a must-have for teams who want to ensure custom email sends and build trust with end users.
",https://portal.productboard.com/formstack/1-formstack-portal/c/56-oauth-for-microsoft-365,formstack
Reduce manual set up with Dependent Fields,"Dependent Fields drastically reduces manual setup through our conditional rules.We’ve launched the ability to build forms with more objects and relationships  which gives you more time back into your day! This functionality makes it easier to build forms within popular Salesforce data models like Health Cloud, Financial Services Cloud, and Education Data Architecture, as well as in data supplements like Admissions Connect.
",https://portal.productboard.com/formstack/1-formstack-portal/c/45-reduce-manual-set-up-with-dependent-fields,formstack
Track your Formstack Documents usage,"Over the last few months  we’ve received feedback from customers that there was a need for an in-app dashboard that allowed users to track their usage at a glance throughout the month. We took that feedback on and have added a new dashboard feature to the Formstack Documents homepage.Now, you can quickly see how many live merges, test merges, users, and active templates are available in your account and plan your usage accordingly or take steps to update your plan.Learn how we put customer feedback into action with the new Documents dashboard. Click for Article
",https://portal.productboard.com/formstack/1-formstack-portal/c/39-track-your-formstack-documents-usage,formstack
In-Session Signing,"Simplify how your end users experience form completion and document signing.In today's world  countless requests flood our email inboxes. If your organization needs to collect or generate documents that require signatures, our latest feature, In-Session Signing, can help your teams reduce friction and inbox noise for your customers, clients, patients, and students.With In-Session Signing, anyone can complete a form and sign a document in one place, without having to navigate to different browser tabs or wait for an email to start the process.This feature streamlines the signing process and reduces the time required to get new contracts or important signed documents completed, allowing for greater productivity throughout the workday.Want to learn more about In-Session Signing? Schedule a demo to get a firsthand look.
",https://portal.productboard.com/formstack/1-formstack-portal/c/34-in-session-signing,formstack
Set Sign Reminders in Formstack Documents,"We have improved the connection between Formstack Documents and Formstack Sign by making it easier to set Sign Reminders. Now  with the click of a button, you can set automated reminders to alert your end users that they need to sign your document. Now, you won’t have to worry about logging into Formstack Sign to set your reminders. Simply check the “Send signature reminders” checkbox and choose to send reminders daily or weekly depending on your need. Learn more about the Formstack Document Builder in THIS video tutorial.
",https://portal.productboard.com/formstack/1-formstack-portal/c/40-set-sign-reminders-in-formstack-documents,formstack
Document Collaboration,"We are interested in enhancing the way you build by allowing you to co-create and refine merged documents alongside your colleagues by enabling them to comment on or highlight areas before final document creation  ensuring every detail is meticulously addressed!We are eager to delve into how you would weave this innovation into your workflows! Whether you have unique use cases or current solutions, we’re here to listen and learn from your experiences.The posts available here, including in the “Under Consideration” and “Planned” tabs, are the best reflection of what the teams are currently working on in each product. Unless located in the “Launched” tab, this is not a commitment to a specific feature or release date, but it should help you understand the priorities of each of our product teams.
",https://portal.productboard.com/formstack/1-formstack-portal/c/91-document-collaboration,formstack
Keep progressing with Workflow Forms Save and Resume,"Save and Resume in Workflow Forms keeps contributors moving forward without losing their progress.It happens to us all. You are working through a digital form and you have to step away for a minute. Minutes turn into hours  sometimes even days. When you finally get back to your form, to your despair, all the sections you filled out are gone. If only you had a feature that saves your progress. Enter Save and Resume for Workflow Forms.   When working through a Workflow Form, contributors responsible for different sections can now save their progress so that when they come back to finish the form, all of their work is still populated in the form.  This helps ensure sections they have already completed are not lost or missed and keeps work moving forward.Take a look at Workflow Forms and see how they can streamline your Form process and keep work moving forward.
",https://portal.productboard.com/formstack/1-formstack-portal/c/49-keep-progressing-with-workflow-forms-save-and-resume,formstack
Manage your accounts faster with Formstack Subaccounts,"Keep track of all of your accounts in a single location.Subaccounts are an account structure that allows a parent account to create  purchase, and manage child accounts, which the parent account is able to then access from the admin panel. Formstack’s updated subaccount model comes with three key ingredients: Create and remove subaccounts on the fly Access all accounts in a single location Manage, troubleshoot, and pre-load content and workflows using user impersonation For Formstack partners, Salesforce consultants, and multi-department organizations, the new subaccount model will make managing multiple accounts faster and easier! Ready to add subaccounts to your account? Visit this article to learn more
",https://portal.productboard.com/formstack/1-formstack-portal/c/43-manage-your-accounts-faster-with-formstack-subaccounts,formstack
Submissions Search Improvements,"We’ve made submission management even easier!Gathering tons of form data? Want a better way to review your submissions? We’ve heard your feedback and have implemented improvements to the Forms submission search experience to allow users to sort and filter their submissions faster and with more stability.This feature has been highly requested by customers! Want to learn more? Start a trial of Formstack Forms today.
",https://portal.productboard.com/formstack/1-formstack-portal/c/35-submissions-search-improvements,formstack
