Name,Description,Source Link,portalSourceName
Enable one user to be assigned to multiple organizations,"Using the same email address  one organizer can have access to multiple different organizations. Great for representatives from agencies who work with multiple clients using Goldcast. 
",https://portal.productboard.com/goldcast/1-product-portal/c/173-enable-one-user-to-be-assigned-to-multiple-organizations,goldcast
Invited Status,"An organizer can send a custom invite email to a group of users uploaded in Goldcast before an event starts and have them marked with an ""Invited"" status.
",https://portal.productboard.com/goldcast/1-product-portal/c/215-invited-status,goldcast
Edit Registrant information,"Allow organizers to edit any user registration data post user registration
",https://portal.productboard.com/goldcast/1-product-portal/c/198-edit-registrant-information,goldcast
Event duplication,"Organizers can choose what elements of an event they want to copy over when duplicating an event
",https://portal.productboard.com/goldcast/1-product-portal/c/204-event-duplication,goldcast
Session transcripts,"Retrieve downloadable transcripts of your sessions after your event has completed.
",https://portal.productboard.com/goldcast/1-product-portal/c/206-session-transcripts,goldcast
Booth Tiers,"Separate your sponsor booths into different tiers -- like Platinum  Gold, and Silver. The higher tiers will have larger booth images and be listed first on the Booths tab. 
",https://portal.productboard.com/goldcast/1-product-portal/c/220-booth-tiers,goldcast
Add time to current broadcast,"In the event that your session runs over its planned time  whether your audience was very engaged and had many questions, or your speakers had a lot to say, extend the current live broadcast's time by up to 5 minutes. 
",https://portal.productboard.com/goldcast/1-product-portal/c/111-add-time-to-current-broadcast,goldcast
Gamification within Event App,"Award points to attendees for various actions  like submitting a question, visiting a booth, participating in a room discussion and more. Track attendee points on a leaderboard live throughout your event. Incentivize high levels of engagement from attendees, and track strong prospects as a result!
",https://portal.productboard.com/goldcast/1-product-portal/c/113-gamification-within-event-app,goldcast
Event & session exit survey,"Collect feedback from attendees at the end of each session and/or at the end of your event. Create in-app popup surveys that enable attendees to give quick  scale-based responses, or include short form answer questions. 
",https://portal.productboard.com/goldcast/1-product-portal/c/212-event-session-exit-survey,goldcast
Automate speaker invitations including magic links,"When you add a speaker to an event  they will receive an automated email including their speaker magic link - the same way a registrant receives a confirmation email when they register.
",https://portal.productboard.com/goldcast/1-product-portal/c/131-automate-speaker-invitations-including-magic-links,goldcast
