Name,Description,Source Link,portalSourceName
Retailer: Employee Management Module,"Now available in Headset Retailer!Use this module help determine if there are times or days of the week you are over staffing or understaffing. Determine if there employees that are using discounting (name or buckets) a bit too much. Be able to print out a leadership board that can be filtered down to a certain product. Learn if there are staff members that aren't selling the usual amount of a category  which can be an indicator or lack of knowledge.Dashboards include:Staffing Store - Where floor managers, or whoever makes the staffing schedule, can easily get data on how much they are usually staffing people based on day of week and hour of day.Team performance- Review team, or several employees in particular across categories, brands, vendors or package size or product name. In addition this is also where you can analyze if employees are filling out information about the customer (gender, age, referral source, customer key)Leaderboard- filter down to a certain product and see what employees sold the most (in revenue or transactions). In the dashboard version you can also see more detailed information about the leaderboard like a dive into discounting, sales through time and a graph that shows revenue vs basket count.Discount Utilization- dive deep into discount names or discount buckets and how everyone on the team is utilizing discounts or filters for just one budtender.Click here to view the module and request a demo!
",https://portal.productboard.com/headset/1-feedback/c/27-retailer-employee-management-module,headset
Category Filtering,"WhatImplementation of a category filter in the activity feed (later on in other areas of the app).WhyCurrently  there is no way to separate the activity cards by category. This makes it difficult for users who only care about a few categories to get the information needed. For example, brands could carry multiple categories, and with the current filtering system, you would get all the activities for these brands including irrelevant category activities. By adding category filtering, users would be able to select exactly what they need to see, and avoid the noise of other categories. QuestionsWhen you are searching by category, do you want to go narrower into brands? How many categories does your brand produce? How important is sub-categories to you (eg. package size, different kinds of edibles)?
",https://portal.productboard.com/headset/1-feedback/c/38-category-filtering,headset
Retailer: customer location demographics,"We are currently researching what location demographics (e.g. zip code) we can pull from the POS. How would you use location demographics to inform decision making for your store?
",https://portal.productboard.com/headset/1-feedback/c/26-retailer-customer-location-demographics,headset
Budtender Information,"Budtender education is one of the best tools that a brand has to increase sales in a store.A dashboard that gave information on budtenders could be incredibly helpful in Bridge. Things it could show:What % of budtenders sold your products?What % of your sales came from each budtender? (budtenders would be anonymized  so this would really just be a measure of if there are some unnamed champions of your products at this store)What else would you like to know about your sales and budtenders?
",https://portal.productboard.com/headset/1-feedback/c/5-budtender-information,headset
Insights: Brand Watchlist,"Headset is considering an update to Insights that would allow users to create a custom list of brands that can be used in filtering. There are many reasons that someone mights want to specifically watch a few key brands:For monitoring all of their own brandsFor comparing key competitorsFor monitoring an investment portfolioThe user would be responsible for building and maintaining their list. They could have as many brands as they want on it. The list would be used to filter dashboards quickly to only show brands on the ""watchlist""
",https://portal.productboard.com/headset/1-feedback/c/29-insights-brand-watchlist,headset
Retailer: Assortment Module,"Now available in Headset Retailer!Many retailers don't have an accurate (or any) data/framework in place to understand how SKUs in their store are performing and often resort to rough estimations when deciding which products to optimize. This set of dashboards  which utilizes the ABC-XYZ inventory analysis framework, will empower retailers to more effectively manage their store's current inventory on the SKU level with a high degree of confidence.Dashboards included:Inventory Performance Overview: This high-level dashboard can be utilized by executives, store owners, or store managers. This dashboard is designed to gives you a simple overview of a store's/group of stores' inventory performance in a trailing 60 day view. Metrics include SKU/brand counts, sales, understocked/overstocked products, and Pareto principle visualization of SKU grades.Inventory Comparison: This dashboard can be utilized by highly engaged store managers and/or inventory managers on a weekly basis. This dashboard is designed to help your understand how brands/vendors stocked in a given category are performing compared to others or within their own catalog. This provides you with the data they need to cut out poor performing brands/vendors/SKUs.Inventory Product Details: This dashboard will be utilized by highly engaged store managers and/or inventory managers on a weekly basis. This dashboard is designed to provide you with SKU level details to monitor how individual SKUs are performing as well as your current inventory levels. Metrics include: quantity in stock, in stock days, in stock average units per day, estimated days remaining, and total sales in period.
",https://portal.productboard.com/headset/1-feedback/c/28-retailer-assortment-module,headset
Activity Feed Location Filtering,"WhatWe would like to add city filters to help users narrow down specific areas to track in the activity feed. These filters would affect the Retailers filter - as it would only show stores within the cities and postal codes you've selected. It would also filter Brands filter that have activity in that area. WhyIn the activity feed right now  you can only filter by state/province, however, sales reps and retail owners may only want to see activity in their region of concern (competitive stores near your retail store, or sales rep's territory). QuestionsBrands:How is your team assigning regions to your sales reps? Do you ever need to assign regions by cities AND postal/zip code?Do you know the names of the retail stores you want to keep an eye out for? Do you know the general location of the retail stores you want to keep an eye out for?Retailers:How do you determine who your competitors are? How do you define your competitive region? How do you find out about new stores opening or stores closing down? Does it matter to you?Do you know your competitor stores names?
",https://portal.productboard.com/headset/1-feedback/c/30-activity-feed-location-filtering,headset
Summary Emails,"WHATSummary emails will send a concise version of your saved filter activity feeds directly to your inbox so you never miss any new activities. See the distribution of activities in your saved filters (eg. 30 new products added  10 product removed). Summary emails will show only the content that you saved in your saved filters so you don't have to look at anything you don't care about. WHYThese daily emails will summarize all the activities in each of your saved filters so you know exactly what you missed and what to check first to start your day. Questions:What are the most critical information you need to start your day? What types of decisions do you need to make in a typical day? 
",https://portal.productboard.com/headset/1-feedback/c/40-summary-emails,headset
Survey Data,"Headset is interested in what use cases would emerge from survey data. We are considering recruiting for and sending out surveys for a statistically significant population in order to make inferences about cannabis use and attitudes. Specifically  we are considering collecting the following:occasions for use of cannnabisfrequency of use cannabisbehaviors and attitudes towards cannabispsychographic dataIs this data you would like to see in Insights? Do you have specific questions to answer or actions to drive using this data?
",https://portal.productboard.com/headset/1-feedback/c/18-survey-data,headset
Add the ability to normalize products coming from the POS,"Every retailer enters data in different ways and it can be difficult to get a comprehensive view of how a vendor's data is performing when it is in the system via the retailers own naming conventions. Add the ability to upload and add to a canonical product catalog and then link these products to the retailers data to be able to see a normalized view of our products sales  inventory and price point.
",https://portal.productboard.com/headset/1-feedback/c/16-add-the-ability-to-normalize-products-coming-from-the-pos,headset
Retailer Overview,"WHATA way to browse through all the stores available in the data and get some general info about what they are carryingWHYRetailers:Understand competition in nearby stores (what SKUs they are stocking)Understand the overlap of the products I carry vs my nearby stores (and how they are selling) Compare nearby store stock distribution with my own stores (find if there’s anything unique that I can carry to stand out from the competition)Understand current promotions in my areaBrands/Manufacturers:Territory Sales Managers are able to quickly identify which stores are/are not carrying their products -Territory Sales Managers able to quickly identify which stores had recent stock outs. (ideally come prepared with products ready? But will need to know which products are stocked out and not just by brand)Sales Managers determine which stores carry their competitorsSales Managers determine which stores recently stocked out of their competitorsSales Managers plan region assignments to sales reps.Brand Manager to understand which stores I should partner with to do Vendor Days withBrand Manager to understand which stores I need to do more budtender education/product knowledge sessions with
",https://portal.productboard.com/headset/1-feedback/c/35-retailer-overview,headset
