Name,Description,Source Link,portalSourceName
OWL,"A new way of using measurement-based care that goes beyond measuring outcomes. Capture rich  actionable data to increase access to care and improve clinical outcomes. All while using existing clinical resources.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/106-owl,kipuhealth
Healthie,"Healthie is a technology company that offers telehealth  business management, and coaching tools for digital health startups, retail stores, health and wellness clinics and other organizations. 
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/99-healthie,kipuhealth
CAIR,"The California Immunization Registry (CAIR2) is a secure  confidential, statewide computerized immunization information system for California residents.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/95-cair,kipuhealth
Finpay,"Automating patient engagement to deliver the cost transparency  education and affordable payment options patients need to understand and afford their financial responsibility.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/101-finpay,kipuhealth
OQ Measures,"OQ Measures helps mental and behavioral health professionals increase overall treatment effectiveness. OQ Measures partners with National Organizations  Solo & Group Practice, Government, Universities, Multi-site Agencies, Non-Profits, Hospitals Military/Veterans, School-based Programs and Wilderness & Adventure.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/111-oq-measures,kipuhealth
CareFor,"The CaredFor helps addiction and primary mental health programs efficiently engage to improve outcomes  increase conversion and reduce attrition in a secure online platform.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/104-carefor,kipuhealth
Mend,"Enterprise-Grade Patient Engagement for the Healthcare Industry. Easy patient intake & communications  custom in-office and telemedicine workflows, and automated patient payments - optimized with AI.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/108-mend,kipuhealth
ObserveSmart,"ObservSMART is a proven solution for validating crucial patient observations  helping organizations to proactively mitigate risks and costs associated with sentinel and non-sentinel events. ObserveSMART uses patented, proximity-based Bluetooth technology to ensure patients are being checked on at the appropriate time and distance.ObservSMART is an easy-to-use tool that significantly improves facility compliance and helps staff efficiently manage their required around-the-clock tasks related to patient care and safety. 
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/136-observesmart,kipuhealth
Chess Health,"CHESS Health offers evidence-based programs that foster meaningful connections on the lifelong journey of recovery. Chess Health collaborates with health plans  state and local governments, other public sector organizations, and individual providers to connect care across the continuum. Their offering helps to automate SBIRT (Screening, Brief Intervention, Referral to Treatment), achieve higher abstinence rates, reduce the risk of relapse, and lower the cost of care.
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/105-chess-health,kipuhealth
Shiller Server (EKG),"SCHILLER server is a communication gateway which allows SCHILLER products and systems to exchange information with Hospital Information Systems (HIS) via Health Level 7 (HL7) messages or PACS system communication via DICOM standard.Patient demographic query (PDQ) speeds up access to information  reduces manual data entry and minimises errorsImports patient demographics via Admit/Discharge/Transfer (ADT) messages into the patient database of the productExports findings, validations and diagnostic data and waveforms (in PDF format) via Observation Result/Unsolicited (ORU/MDM/DFT) messagesSupports the import of work items from a HIS or PACS system by HL7 ORM messages or DICOM Modality WorklistBi-directional DICOM support (waveforms, PDFs and worklist)Fully configurable to integrate with all HIS which implement v.2 of the HL7 standard via file transfer, socket transfer or web servicesSupports seamless HIS integration of most SCHILLER diagnostic productsAllows SEMA clients connection to LDAP (Lightweight Directory Access Protocol) user management systems (like Microsoft Active Directory) 
",https://portal.productboard.com/kipuhealth/2-integrations-portal/c/138-shiller-server-ekg,kipuhealth
