Name,Description,Source Link,portalSourceName
Refreshed UI,"New icons libraryIntroudce icons for pages and tabsToolbar for pages
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/77-refreshed-ui,liquit
Uninstall support for Setup Store connector,"Uninstall action will be included in the managed packages.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/555-uninstall-support-for-setup-store-connector,liquit
Acme v2 client,"The Automated Certificate Management Environment (ACME) client is a brand-new addition to Liquit Workspace. ACME allows for certificates to be automatically renewed. This ensures that certificates will not expire by either forgetting to renew or replace certificate(s) manually within the Liquit platform.We support “Let’s Encrypt” whose certificates are valid for 90 days and are free of charge. After 60 days  a new certificate will be requested automatically. When the certificate renewal does not complete successfully for any reason, IT will be automatically notified by email.This new feature is extremely relevant for organizations that manage many zones in Liquit. 
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/200-acme-v2-client,liquit
Windows App support,"Liquit Workspace supports managing and starting Windows Apps. Windows Apps can be deployed by using .appx or .msix files.Additional actions have been added to support Windows Apps: Install Windows AppRegister Windows AppUninstall Windows AppInstall uploaded Windows AppStart Windows App Additional filters have been added to support Windows Apps: Windows App installedWindows App installed versionWindows App stagedWindows App staged version 
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/54-windows-app-support,liquit
Liquit PowerShell Module as nuget,"Use the PowerShell NuGet distribution framework to download and install the latest Liquit PowerShell module.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/517-liquit-powershell-module-as-nuget,liquit
SharePoint WebDAV mapping support,"Microsoft SharePoint WebDAV mapping support to Connect Drive Mapping Action
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/27-sharepoint-webdav-mapping-support,liquit
Link to additional information for Liquit Setup Store Applications,"Extra information fields will be available for Liquit Setup Store applications: ·      Display Knowledge Base article and info links if available for a setup·      Added more columns to the Setup Store list.·      Optional filters on install action set to detect if a setup is already installed.·      Performance improvements for update check.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/20-link-to-additional-information-for-liquit-setup-store-applications,liquit
Browser exists filter,"A filter to verify if a browser is present on the system
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/486-browser-exists-filter,liquit
Jaspersoft Business Intelligence Suite,"Lots of organizations need business intelligence  but not all organizations need the same capabilities, feature sets, or level of performance. That's why Jaspersoft offers Commercial Editions as well as Community Projects to help tailor the right solution to the right problem.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/173-jaspersoft-business-intelligence-suite,liquit
RDS Connector: Support remote desktops,"Full Desktop package support has been added to the Microsoft RDS Connector  you can optional import packages that connect to the RDS farm with a full desktop RDP session.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/505-rds-connector-support-remote-desktops,liquit
License key in license management,"We have added an extra field where you can enter the license key that is associated with a particular license. You can use these license keys in a dynamic variable that uses the license object's license key field as a value. This can be useful to use a license key that has been defined on a license and use the key within actions of a package  for example to either install or register the license key with the software using (dynamic) variables.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/203-license-key-in-license-management,liquit
Modify existing managed package with configuration wizard,"View and modify the configuration of managed packages from the Liquit Setup Store. 
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/512-modify-existing-managed-package-with-configuration-wizard,liquit
Media content support to Setup Store connector,"Screenshots  movies and banners support for Setup Store titles, enhances the catalog with additional content, for a better user experience, and allows organizations to easily give users better insight in the applications that are available to them.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/253-media-content-support-to-setup-store-connector,liquit
SolarWinds Subnet Calculator,"Advanced Subnet Calculator Help ensure that your IP addresses don’t conflict with one another  and save time managing DHCP, DNS, and IP addresses: https://www.solarwinds.com/free-tools/advanced-subnet-calculator?
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/171-solarwinds-subnet-calculator,liquit
Certficate support in Liquit Workspace,"Certificates allow you to easily import and create certificates  you can either import a .pfx file or create you own self-signed certificate for use within the Liquit Workspace. You can replace or update a certificate with a single click. Import CER/DER or PFX certificatesGenerate self signed certificatesExport certificates in CER/DER/PFX format
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/39-certficate-support-in-liquit-workspace,liquit
Uninstall MSI via Product Code,"A new action that allows applications via GUID.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/554-uninstall-msi-via-product-code,liquit
Front,"Front is a customer communication hub that keeps teams focused on what technology can’t replace: ensuring every conversation strengthens the customer relationship.
",https://portal.productboard.com/liquit/1-liquit-feedback-portal/c/521-front,liquit
