Name,Description,Source Link,portalSourceName
Drop a pin to designate a task location,"Instead of requiring a location or crop plan for creating a task  allow users to just drop a pin on the farm map.
",https://portal.productboard.com/litefarm/1-product-portal/c/38-drop-a-pin-to-designate-a-task-location,litefarm
Custom expense types,"Create and manage custom expense types
",https://portal.productboard.com/litefarm/1-product-portal/c/67-custom-expense-types,litefarm
Tasks V2.0,"In the current version of the app  Logs are a way to document activities that have taken place on your farm already. We'll be expanding this idea to activities that will take place in the future as well. With the new update to tasks, farmers will be able to assign tasks to specific individuals on the farm and be notified when the task is complete. Once complete, the task will serve as a document of the activity for certification (similar to how logs work today). You can read more about tasks here: https://lite-farm.atlassian.net/wiki/spaces/LITEFARM/pages/224788481/Task+Management+System+incorporating+Tasks+Finished+Tasks+and+Notification
",https://portal.productboard.com/litefarm/1-product-portal/c/27-tasks-v2-0,litefarm
Support for non-contiguous farms,"Allow farmers to draw multiple non-contigious portions of their farm
",https://portal.productboard.com/litefarm/1-product-portal/c/15-support-for-non-contiguous-farms,litefarm
Smarter crop catalogue,"Our new crop catalogue will be ""smarter"" and more closely aligned with how farmers actually think about and work with their crops. It will also support all the necessary information to certify a crop organic.Perhaps most importantly  much of the data you need to enter into the system manually today, such as:Annual vs. perennialEstimated yieldPlanting methodDays to germination, transplant, harvest, etc.Furthermore, once you've created a crop plan, LiteFarm will also automatically create all the tasks you'll need to make sure your season goes right!
",https://portal.productboard.com/litefarm/1-product-portal/c/24-smarter-crop-catalogue,litefarm
LiteFarm en français!,"L'application LiteFarm sera désormais disponible en français.
",https://portal.productboard.com/litefarm/1-product-portal/c/43-litefarm-en-francais,litefarm
Modify harvest task to enter harvest uses later,"We should have the option to enter the use of a harvest task at harvest time or later on. Oftentimes  the use of a harvest is determined based on what isn't sold. For example, when harvesting 100 kg of beans, I don't know how many kg I will sell, how much I'll eat, and how much we'll exchange. Only at the time of selling will I know how much has been sold and/or used for other channels.
",https://portal.productboard.com/litefarm/1-product-portal/c/60-modify-harvest-task-to-enter-harvest-uses-later,litefarm
Updated My Profile,"Updated my profile section allowing users to:Modify information about their profileSwitch to another languageUpdate their preferred language
",https://portal.productboard.com/litefarm/1-product-portal/c/16-updated-my-profile,litefarm
Be able to copy tasks to multiple crop plans,"Some tasks need to be carried out for several crop plans. There should be an easy way to create a task and copy it to every plan or location where it should be done.
",https://portal.productboard.com/litefarm/1-product-portal/c/58-be-able-to-copy-tasks-to-multiple-crop-plans,litefarm
"Designate production areas as organic  non-organic, or transitional","For any of your production areas  you'll be able to indicate whether they are organic, non-organic, or transitional
",https://portal.productboard.com/litefarm/1-product-portal/c/23-designate-production-areas-as-organic-non-organic-or-transitional,litefarm
Copy a crop plan,"The ability to copy over completed and abandoned crop plans. This would be useful for planting a crop in multiple locations in a season  succession planting, and for copying a plan from one season to another. The copying could happen individually or in bulk (add your comments about which is more important when you vote).
",https://portal.productboard.com/litefarm/1-product-portal/c/30-copy-a-crop-plan,litefarm
Assignable shifts,"Shifts have been updated with a few oft-requested features.Shifts durations are now bottom-up  meaning rather than entering a shift start and end time and then selecting tasks to fill that timeframe, users will now just enter their activities and the system will summarize them to create the total shift durationShifts can now be created for oneself or for others at your farm (if you are a farm owner, manager, or extension officer)Individuals and extension officers can now report on happiness with specific shifts
",https://portal.productboard.com/litefarm/1-product-portal/c/17-assignable-shifts,litefarm
