Name,Description,Source Link,portalSourceName
Support for Outlook / Office 365 Calendar,"Allow connecting your Outlook / Office 365 / Exchange Online calendar and see your events directly in Lunatask's calendar.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/80-support-for-outlook-office-365-calendar,lunatask
Full-text Search,"Currently  the search searches only names of entities like tasks, notes, and journal entries.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/111-full-text-search,lunatask
Password Protected Notes,"All notes in Lunatask are already end-to-end encrypted. However  one might want to protect certain notes with an additional password every time the note is accessed in app. Would you like to see this on note level or notebook level?
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/52-password-protected-notes,lunatask
Relationship Tracking,"Add a contact list or personal CRM for tracking relationships (when was the last time you met with a person  happy memories you share together, etc). Tell us what you would like to get from such functionality.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/99-relationship-tracking,lunatask
Energy Level Tracker,"Add energy level tracker to the mood tracker
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/61-energy-level-tracker,lunatask
Localize Dates,"Localize dates across the app to the user's system language/region. As many of us are not native English speakers  it might take us more time to visually parse the English date format.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/88-localize-dates,lunatask
Other Integrations,"Is there any other service you would like to see integrated with Lunatask?
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/64-other-integrations,lunatask
Distribute Linux version as Flatpak,"Snaps are cool  but Flatpak might be preferred by some users.Update: As of v1.4, the app is distributed as AppImage as well (though we still recommend using snaps if you can) 
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/69-distribute-linux-version-as-flatpak,lunatask
ARM build for Linux,"Currently  both snap and AppImage versions of Lunatask for Linux are built for x64 architectures only.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/109-arm-build-for-linux,lunatask
Formatting Toolbar,"Currently  you can utilize Markdown to add rich formatting to your text. Adding the formatting toolbar to notes, journal entries, and task descriptions would be more user-friendly as some operations are quite hard to do at the moment.
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/41-formatting-toolbar,lunatask
Linux Support,"Allow to run Lunatask on your Linux device. When voting for this feature  please, specify which app format would you prefer (appimage, snap, etc.).
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/23-linux-support,lunatask
Localization / Translations,"Currently  our apps are available only in English. Let us know into which language you'd like to see our apps translated. 
",https://portal.productboard.com/lunatask/1-lunatask-roadmap-idea-portal/c/113-localization-translations,lunatask
