Name,Description,Source Link,portalSourceName
Improve Search performance,"We are addressing reported challenges related to Search Performance when searching big data sets. We will release these fixes and enhancements regularly  at a 6-8 weeks cadence, throughout the next few months. You can keep track of our releases by signing up for our “Magnolia Announcements” mailing list.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/62-improve-search-performance,magnolia
Boost your search results with user-based ranking,"Boosting the current ranking capabilities by introducing a user-based ranking will help authors to find relevant content fast when searching in the Find Bar. How? We will enhance the Find bar’s search results with the user’s most recent and most frequently clicked items. If you are new to Magnolia  results will be displayed according to recommendations from users in your user group.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/63-boost-your-search-results-with-user-based-ranking,magnolia
Easily select the right product with advanced chooser,"When you have an extensive catalog of products  selecting the right product might be a tedious task because you need to navigate to the correct product location without options for search filtering. With this functionality, you can quickly narrow down the right products by using product filters.Read about our new intuitive product chooser on our documentation.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/29-easily-select-the-right-product-with-advanced-chooser,magnolia
Share content across multiple web sites with Live Copy,"Magnolia’s Live Copy is a powerful tool aimed at authors and marketers who want to easily and quickly manage and share content across multiple websites.With Live Copy  you manage complex multisite installations by quickly creating live copies of master sites and disabling and enabling updates from master. Live Copy lets you manage content at both page and component level with a locking/unlocking mechanism and clear visual indicators of the relationship between pages.A wide range of sectors can benefit from this integration, from retail to automotive, media and travel, insurance and finance. Live Copy helps you enhance your global presence and boosts your editors’ experience by allowing efficient content management across multiple websites. 
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/37-share-content-across-multiple-web-sites-with-live-copy,magnolia
Connector Pack: Analytics,"Measuring and improving the performance of your website is a universal requirement. The Analytics Connector Pack allows you to connect third-party web analytics tools such as Adobe Analytics  Google Analytics and Matomo (Piwik) to Magnolia.The typical scenario for using the Analytics Connector Pack is:Track metrics such as visitors and sessions on your Magnolia site using the third-party tool of your choice.The third-party tool tracks events on the site and generates analytics data.Use the Analytics Connector Pack to fetch the analytics reporting data collected by the third-party tool. Display the data in user-friendly charts directly in the Magnolia UI.With the Analytics Connector Pack, marketers and authors can make data-driven decisions about their content without switching tools.You can also configure your own custom connector to another third-party tool if needed.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/36-connector-pack-analytics,magnolia
Collaborate with a team,"Typically editors are assigned to a specific section of the website  brand or sub-brand, or language. However, their work is connected and dependent on their colleagues for activities such as revisioning, versioning, approval, and publishing workflow. The collaboration features within the publishing workflow aim to enhance task assignments to colleagues for review and approval, as well as provide meaningful notification messages. This will streamline and expedite the approval and publication processes within authoring teams
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/78-collaborate-with-a-team,magnolia
Regional Clusters in APAC and US,"Our Central Cluster is the brain of Magnolia PaaS providing the Cockpit  the Monitoring stack and the Authentication layer. As of today we are only operating one Central Cluster in Europ. we will add two new Regional Clusters, one in the US and one in APAC, to deliver top notch performance in each region.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/81-regional-clusters-in-apac-and-us,magnolia
Reuse creative fragments anywhere,"Today  you can manage visual page experience in the Page Editor. However, suppose several of your pages or other channels use the same visual elements that you need to update at some point. In that case, you need to go over all these pages and modify them one by one to keep things consistent which might be a tedious task.With this functionality, you can create and share creative fragments, visual pieces of content that are typically smaller than a page (e.g. banner), across multiple locations like web site pages and other channels and manage them from a single location. 
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/18-reuse-creative-fragments-anywhere,magnolia
(PaaS) Fastly Next-Gen WAF,"As part of the end of life communication around the Fastly legacy WAF  we have now completed the migration from the Fastly legacy WAF to the Fastly Next-Gen WAF powered by Signal Science. This will be the new WAF standard for all future subscriptions on Magnolia PaaS when deciding to go with our default CDN.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/88-paas-fastly-next-gen-waf,magnolia
(PaaS) Block IP Self-Service,"If you spot a malicious IP or need to block IPs for whatever reason  you can block them directly from the Cockpit. You can add one or multiple IP’s by uploading a CSV file in the Cockpit.You can check all necessary details in the Magnolia PaaS documentation: https://docs.magnolia-cms.com/paas/cockpit/sections/content-delivery/security.html#_block_ips
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/87-paas-block-ip-self-service,magnolia
(PaaS) Automated Disaster & Recovery,"Magnolia PaaS can now offer an automated disaster & recovery solution with 99.9% uptime/availability with an additional PROD cluster in an additional region or availability zone. The additional PROD cluster serves as the secondary cluster which is in a passive state  which means no active traffic is routed to the secondary cluster. If, for any reason, the primary cluster goes down, traffic will be automatically routed to the secondary cluster until the primary cluster has recovered and is fully operational again. If you are interested in this automated disaster & recovery option, please contact your Customer Success Manager.
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/85-paas-automated-disaster-recovery,magnolia
Customize Analytics Dashboard,"With the latest version of the Analytics Pack  after the initial configuration of the connector, you will be able to manage your dashboards and widgets independently in the new UI.With the new UI dashboard, you won't need any longer to talk to your developers to customize your analytics dashboard or widget; as you can work independently. Watch our Walkthrough video here
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/13-customize-analytics-dashboard,magnolia
Connector Pack: E-Commerce,"The CMS functionality of a specialized e-commerce platform is often limited and costly to extend. With the Commerce Connector Pack  you connect your e-commerce solution to Magnolia CMS to fulfill your needs with powerful templating while retaining the strong cataloging features offered by your e-commerce solution. Magnolia also communicates shopping cart and order information with your e-commerce solution over a REST API. Magnolia provides out-of-the-box connectors to the following third-party solutions:Magento Commercecommercetools Commerce Platform Salesforce Commerce CloudSAP Commerce Cloud (formerly Hybris)
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/34-connector-pack-e-commerce,magnolia
Usability improvements and bulk actions for assets,"We understand that managing bulk actions for Assets can be a bit cumbersome at times  due to the number of clicks required.To enhance user experience and make things more efficient, we will start introducing usability improvements for Assets! Our goal is to expedite the process of creating and managing assets for authors, especially when dealing with multiple assets simultaneously.Remember my last used location in DAMProvide more bulk actions when working with multiple assetsCreate a carousel with ease
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/76-usability-improvements-and-bulk-actions-for-assets,magnolia
Personalize content in any headless scenario,"Currently  you cannot create personalized content for pure headless projects based on content apps alone. With this feature, you will be able to personalize content for your audience within any content app. 
",https://portal.productboard.com/magnolia/1-magnolia-roadmap/c/22-personalize-content-in-any-headless-scenario,magnolia
