Name,Description,Source Link,portalSourceName
Promotional Messaging In Consumer Apps 📲🛍️,"BackgroundIn-app messaging is an effective way to communicate with app users and an important marketing channel for our customers. In-app messages are a great way for brands to inform  engage, and sell to users on a regular basis. Options being consideredPop up/modalBannersPromotional push notifications
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/328-promotional-messaging-in-consumer-apps,marianatek
Fraud Prevention - Denial Service Integration 😶‍🌫️🚫,"Integrate Fraud Denial Service into MT so we are able to prevent and remove fraudulent accounts more effectively. replace current IP blocking with Denial ServiceIntegrate with Denial Service for account creation
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/246-fraud-prevention-denial-service-integration,marianatek
POS Card Updates,"The product cards in the POS now include the full product name and the price! If the POS card represents multiple variants  it will display the range of prices. This should make it much easier to quickly find the products that you are looking for in the POS
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/41-pos-card-updates,marianatek
View Customer Profile Overview in Biz,"If you have the ability to view customer profiles in Admin  you'll be able to view customer profiles in the Biz App.What's most exciting about this feature is the home screen for the customer profile, providing you with a quick view of the customer's most important information.
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/76-view-customer-profile-overview-in-biz,marianatek
Identifying Intro Offer Products & Consumers 🔎 💁🏾‍♀️,"Overview:Currently there is no way for customer to indicate that a membership or credit package is an intro offer. This leads to problems with reporting and intro offer purchase limits (eg a customer can only buy this once).With this initial pass  we will enable you to indicate on a membership contract that it is an intro offer and provide these purchase limit settings. Intro offer identifiers will appear in reports so you can more easily track these payment options. In the future, we will eventually support the ability to see who is on an intro offer in the Roster and share upcoming expiring intro offers with you so you can engage those customers appropriately.What value this will deliver:By giving you more insight into your Intro Offer consumers, customers will be able to engage consumers at critical moments in the early stages of their consumer journey with a brand, driving retention.
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/244-identifying-intro-offer-products-consumers,marianatek
Year in Review 2022,"To end the year  we hope to bring excitement into our consumer apps as a win for our customers and Mariana Tek. This will allow us to help drive awareness to brands, Xplor, and introduce a recurring campaign each year that consumers look forward to.
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/160-year-in-review-2022,marianatek
Ability to Duplicate Membership Contracts and Credit Packages,"From the list view  quickly duplicate membership contracts and credit packages.
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/141-ability-to-duplicate-membership-contracts-and-credit-packages,marianatek
Biz: Total Sales and Sales Transactions,"Sales data on MT Biz app
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/170-biz-total-sales-and-sales-transactions,marianatek
Display Feedback Survey In-App 🗣️📝,"Display feedback survey (built-in Marketing Automation) in iOS and Android apps
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/221-display-feedback-survey-in-app,marianatek
Charge-Only Penalty Fees for Limited Memberships,"Overview:We want brands to have more flexibility in the way they manage their late cancellations and no shows. One of our favorite differentiators is how we enable automated penalty fees and we want to take it one step further by allowing penalty fees to be charged on limited memberships  allowing membership holders to keep their usages.What value this will deliver:By enabling customers to charge penalty fees instead of losing a usage, we believe we will increase consumer attendance and retain those opportunities for brands to engage with their base.
",https://portal.productboard.com/marianatek/21-mariana-tek-product-releases/c/322-charge-only-penalty-fees-for-limited-memberships,marianatek
