Name,Description,Source Link,portalSourceName
Dump management,"Allow users to retrieve dumps and then create a project from a dump. If you're interested in this feature  please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/125-dump-management,meilisearch
Analytics - Show searches by geographic area,"Visualize the searches by geographic areaIf you're interested in this feature  please leave us a comment below by answering these questions:Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/189-analytics-show-searches-by-geographic-area,meilisearch
React Native,"Create a UI search kit for React Native
",https://portal.productboard.com/meilisearch/1-meilisearch/c/59-react-native,meilisearch
Deploy a project on AWS,"Deploy your MeiliSearch instances on AWS.Do not hesitate to let us know the regions you would like to see happen as soon as possible. If you're interested in this feature  please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/124-deploy-a-project-on-aws,meilisearch
Natural Query Language support,"Meilisearch would support natural language filtering and sorting  allowing users to filter and sort search results using everyday language. This feature would enhance the search experience by enabling users to filter and sort results in a more intuitive way, without having to learn complex filtering and sorting syntax. How it WorksMeilisearch's natural language filtering and sorting would use machine learning algorithms to interpret user queries and generate relevant search results. The system would analyze the context and intent behind the query to understand what the user is looking for and generate results accordingly. This feature would also support synonyms, misspellings, and other variations of search terms to provide more accurate and comprehensive results. Use Cases• E-commerce websites: users could filter and sort products using natural language queries, such as ""black dresses under $100 sorted by price""• Job boards: users could filter and sort job listings using natural language queries, such as ""remote software engineer jobs in San Francisco sorted by date posted""If you're interested in this feature, please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/165-natural-query-language-support,meilisearch
Analytics - Show conversion rate (CVR),"Visualize the conversation rate of tracked searches. It shows the conversion rate of searches that generated a conversion event.If you're interested in this feature  please leave us a comment below by answering these questions:Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/185-analytics-show-conversion-rate-cvr,meilisearch
Analytics - Show most used facets combinations,"Display the most frequently used facet combinationsIf you're interested in this feature  please leave us a comment below by answering these questions:Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/191-analytics-show-most-used-facets-combinations,meilisearch
Prometheus Metrics,"Support data ingestion to Prometheus with a custom exporter.
",https://portal.productboard.com/meilisearch/1-meilisearch/c/102-prometheus-metrics,meilisearch
Monitoring Metrics,"We would love to add a feature to our product in the future that would allow users to visualize the performance of their searches and indexation over time. This feature would create a graph showing the number of searches  documents, updates, and response times, among other metrics. This would give users a better understanding of how their searches are performing and help them make informed decisions about how to improve their search results.If you're interested in this feature, please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/172-monitoring-metrics,meilisearch
Facilitate the implementation of a facet search experience with a disjunctive count,"We plan to add an API endpoint allowing to send multiple search queries in a single HTTP request.This will make it easier for: Multi-index search (results list per searched indexes)The computation of facet values in a disjunctive wayWe have planned guides and tutorials to facilitate all this.
",https://portal.productboard.com/meilisearch/1-meilisearch/c/73-facilitate-the-implementation-of-a-facet-search-experience-with-a-disjunctive-count,meilisearch
Search with GraphQL,"This feature adds a GraphQL endpoint to Meilisearch  allowing users to search their indexes using GraphQL queries. The endpoint provides a flexible and powerful way to perform search operations, enabling users to easily retrieve and filter search results. By using GraphQL, Meilisearch can optimize queries to reduce the number of requests and improve response times. Additionally, the endpoint can be extended to add custom functionality or integrate with other services.If you're interested in this feature, please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/152-search-with-graphql,meilisearch
Analytics - Show Total Users (Searchers) by geographic area,"Visualize the number of unique searchers per geographic areaIf you're interested in this feature  please leave us a comment below by answering these questions:Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/190-analytics-show-total-users-searchers-by-geographic-area,meilisearch
Specify log path,"MeiliSearch logs are by default presented to the user in stdout. Using system capabilities  it is possible to access those logs in several other ways, but it would be interesting to have the possibility to provide a path to a file where the user wants MeiliSearch to store logs permanently.An example would be a --log-file=./meilisearch --log-file=""/tmp/meili_logs.log""
",https://portal.productboard.com/meilisearch/1-meilisearch/c/81-specify-log-path,meilisearch
SOC2 Compliance,"Being SOC2 Compliance. If you're interested in this feature  please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/150-soc2-compliance,meilisearch
Collector plugins,"Create a list of plugins that will allow you to collect data to add to your project. There can be several types of plugins  crawlers that can index a website, connections to databases (Firebase, Postgres, MongoDB), or to data management tools (CMS, CRM, E-commerce). Depending on the technical possibilities the plugin could be called automatically, periodically, or called by hand with an API call. If you are interested in this principle of plugins, we invite you to share with us the plugins that could be useful to you. 
",https://portal.productboard.com/meilisearch/1-meilisearch/c/127-collector-plugins,meilisearch
Download dumps,"Add a route that allows the download of a dump stored in the server.
",https://portal.productboard.com/meilisearch/1-meilisearch/c/66-download-dumps,meilisearch
Browse UI,"With Meilisearch  you would be able to quickly and easily try out your searches from the cloud dashboard. You would be able to add filters and sorts and instantly see what your search would look like in your application.If you're interested in this feature, please leave us a comment below by answering these questions: Who are you? What is your business, your industry, and your use case? Are you already a Meilisearch user? Are you interested in Meilisearch Self-Hosted or Meilisearch Cloud? Why do you need this feature and how can it enable you to move to Meilisearch? How are you handling the situation today without this feature present?
",https://portal.productboard.com/meilisearch/1-meilisearch/c/170-browse-ui,meilisearch
