Name,Description,Source Link,portalSourceName
Adjust text size of the message list,"Have the ability to adjust the text size of the message list. Most likely  we'll keep this simple and have it follow the single ""Text Size"" preference that also affects the conversation view.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/63-adjust-text-size-of-the-message-list,mimestream
Automatically select best From address,"Mimestream will now automatically select the best From address when composing a message  based on the current recipients and your past sent message history. If a From address is updated, an [Updated] label will appear besides the From address popup, to indicate that the address was automatically updated. This feature is enabled if the ""Compose From"" preference is set to ""Automatically select best address"".
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/106-automatically-select-best-from-address,mimestream
Favorites section in sidebar,"Drag your favorite labels into the favorites section in the sidebar for easier access.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/40-favorites-section-in-sidebar,mimestream
Apple Silicon support,"Mimestream is now a universal binary  ready to run natively on Apple Silicon!
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/79-apple-silicon-support,mimestream
Share files via Mimestream (Share extension),"Share files from other apps and the Finder by using the system Share menu. Just be sure to first enable Mimestream as a sharing destination (by using the ""More"" option inside the Share menu).
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/49-share-files-via-mimestream-share-extension,mimestream
Send Again / Resend,"Easily open a compose window  pre-populated with the contents of a message you previously sent. Great for sending status reports and other regular emails.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/72-send-again-resend,mimestream
Support macOS Focus Filters,"Available in macOS 13  Focus Filters allow you to configure how apps deliver you notifications for each Focus state.In Mimestream, we plan to support Focus Filters by allowing you to configure which Profile is active during each focus. That way, you can have only the ""Personal"" profile active during the ""Personal"" focus, or only the ""Work"" profile during the ""Work"" focus, etc. You won't receive notifications for accounts in other profiles while in these Focus states.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/125-support-macos-focus-filters,mimestream
Ability to hide the preview pane,"Add the ability to hide (and re-show) the right-hand viewing pane (conversation view) of the main window.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/82-ability-to-hide-the-preview-pane,mimestream
Add addresses to Apple Contacts,"From an address token's context menu  an address can be directly added to Apple Contacts.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/118-add-addresses-to-apple-contacts,mimestream
Google Contacts support,"Full support for managing and viewing Google Contacts within Mimestream.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/148-google-contacts-support,mimestream
Plain text editing,"Ability to compose email in plain text only.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/151-plain-text-editing,mimestream
At Mentions for Recipients,"When replying to a thread  sometimes you need to quickly add another person. With the new @/+ mention syntax, you do this with a natural keyboard-based workflow. Just type “@First” (or “+First”) into the editor to get an autocompletion menu, and use the arrow keys to select a recipient. This will add them to the To field, and also insert a clickable link for their name.The inserted link behaves as a token. If you press delete with your cursor in front of it, the entire token is deleted. The To field automatically reacts to this change, and the address is deleted there too.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/112-at-mentions-for-recipients,mimestream
Find support,"Easily find text within a conversation using the platform-native inline find UI.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/43-find-support,mimestream
Phishing detection and sender verification,"Show a banner for suspicious phishing emails or emails with unverified senders. This warning can help users think twice before falling prey to scams.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/150-phishing-detection-and-sender-verification,mimestream
Sorting messages in the list,"Provide a way to sort messages in the list  by e.g. reversed date (newest at bottom) or sender.Note: This might sound simple, but is actually a difficult feature for Mimestream to add, so we don't expect to be adding this in the short term. Gmail's Web UI has no way to sort messages, and the specifics of the Gmail API make it difficult for us to implement this without a new, hybrid Gmail API + IMAP sync strategy.Tip: If you want to sort by sender primarily to see other messages from the same sender, a helpful tip is to click the sender's address token and then choose ""Search for 'sender@example.com'"". 
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/166-sorting-messages-in-the-list,mimestream
Calendar banner invitee status,"When displaying the calendar invitation banner  Mimestream now show the current response status of all invitees.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/116-calendar-banner-invitee-status,mimestream
Preference to automatically BCC an address,"Add a preference to automatically BCC an address when composing or replying. When voting for this  please let us know what your use-case is, and what options you'd like to see!
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/155-preference-to-automatically-bcc-an-address,mimestream
Label or star drafts in the compose window,"Sometimes it's helpful to keep sent messages organized by client  project, or other attribute like a ""needs follow-up"" label. Or sometimes, it's helpful to star a sent message so you know to come back to it. Although labels and stars can already be added to a draft from the main window, with direct support in the compose window, it'll be a lot easier to keep things tidy!
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/122-label-or-star-drafts-in-the-compose-window,mimestream
Disable conversations,"View messages one at a time  instead of grouped by conversation.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/10-disable-conversations,mimestream
Reply-only signatures,"Gmail has the ability to specify a different (often shorter) signature for use when replying to messages. Unfortunately  the Gmail API does not support this, but Mimestream can offer a client-side setting that allows a Reply-only signature to be specified.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/103-reply-only-signatures,mimestream
Single-line message list with columns,"Configure the message list to have a compact  single-line layout with columns – like the default list in Gmail.In addition, this configuration would offer a horizontal split view with the ability to display the preview pane below the list of messages.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/145-single-line-message-list-with-columns,mimestream
Profiles to group accounts together,"Easily separate work and personal data with profiles to group accounts together. Access each profile via a separate tab  or switch using an inline switcher.
",https://portal.productboard.com/mimestream/1-mimestream-roadmap/c/30-profiles-to-group-accounts-together,mimestream
