Name,Description,Source Link,portalSourceName
Jira: Improve collaboration with your team,"""We want to share  define, and work better as a team."" Want to collaborate and communicate better with your product teams? Say no more. Here’s what we’re considering adding to your Jira integration:Show, don’t tell: Easily share visuals with your team (photos, attachments, and more.)Connect your way: Chat asynchronously using your respective tools (e.g. Connect Pb <> Jira comments.)Define work scope: Set criteria in collaboration with other stakeholders (e.g. Definition of Done, Definition of Ready, or Acceptance Criteria.)Interested in any of the above? Just let us know which of these appeals to you and why.
",https://portal.productboard.com/pb/1-productboard-portal/c/550-jira-improve-collaboration-with-your-team,pb
Jira: Collect prioritization input and share priorities,"""I need to better gather input and communicate priorities to my team."" Find it hard to collect the engineering input needed to effectively plan and scope work? Or do you need help explaining prioritization decisions? Which of these Jira integration improvements would help you the most?Engineering inputs at your fingertips: seamlessly collect all the inputs you need for prioritization  scoping, and planning decisions (e.g. surface estimates, story points, etc. in Productboard.)Easily establish and share priorities: explain they ‘why’ behind prioritization decisions to your teams and stakeholders in an easily accessible way (surface Productboard objectives, customers, drivers, user impact score, etc. in Jira)Interested in any of the above? Just let us know which of these appeal to you and why.
",https://portal.productboard.com/pb/1-productboard-portal/c/552-jira-collect-prioritization-input-and-share-priorities,pb
Sentiment Analysis — Empower your team by sharing customer love,"Often the feedback and requests product teams centralize in Productboard focus on the negative  like customer painpoints and shortcomings of today’s product. It means too often we miss out on hearing what customers love about our product!Capturing customer love and sharing it with the team is a great way to celebrate successes and boost morale, identify your product’s value propositions in customers’ own words, and identify fans of your product who might provide a testimonial, take part in beta programs, or join your customer advisory board.With Productboard’s new sentiment analysis, it’s easier than ever to surface and share this customer love with your team!Productboard can now intelligently detect the sentiment in each feedback noteFilter by sentiment (positive, negative, neutral) to zero in on customer love (or else your customer’s greatest painpoints)Combine your sentiment filter with other filters (such as product area, customer segment, or topic) and save it as a view. Then share with colleagues.More infoSentiment analysis is available on the Enterprise plan.
",https://portal.productboard.com/pb/1-productboard-portal/c/646-sentiment-analysis-empower-your-team-by-sharing-customer-love,pb
Azure DevOps: Improve collaboration with your team,"Want to collaborate and communicate better with your product teams? Here’s what we’re considering adding to your Azure DevOps integration: Show  don’t tell: Easily share visuals with your team (photos, attachments, and more.) Connect your way: Chat asynchronously using your respective tools (e.g. Connect Pb <> Azure DevOps comments.) Define work scope: Set criteria in collaboration with other stakeholders (e.g. Definition of Done, Definition of Ready, or Acceptance Criteria.) Move fluidly between systems: Seamlessly organize and map work between Azure DevOps and Productboard (e.g. using labels.)Interested in any of the above? Just let us know which of these appeal to you and why – and we’ll get busy. Learn more: Productboard's Azure DevOps integration
",https://portal.productboard.com/pb/1-productboard-portal/c/563-azure-devops-improve-collaboration-with-your-team,pb
Multiple release groups,"Use multiple release groups to manage different teams’ release schedules out of the same productboard project.Or create a release group just for the broad time horizons you'll display on your company-wide Roadmap  keeping these separate from your product team's more granular release plans.Learn moreAvailable on the Scale plan and above
",https://portal.productboard.com/pb/1-productboard-portal/c/248-multiple-release-groups,pb
Custom Value Swimlane,"We’ve released Custom Value Swimlanes on all roadmaps**.** This allows makers to create swimlanes and name them whatever they want. For example  makers who have created a roadmap can easily add any number of swimlanes and customise the names. Makers can use swimlanes for themes, product areas, teams and much more This is available on all plans. We know you desire to tailor your roadmap views by pivoting on your existing data fields. That's why we are also working on Product Swimlanes and Custom Field Swimlanes. For more details on how to use swimlanes click here. Let us know what other swimlane capabilities you want to see on Productboard. 
",https://portal.productboard.com/pb/1-productboard-portal/c/387-custom-value-swimlane,pb
Productboard AI: Write anything with AI,"This new functionality builds upon the initial set of commands that support the automatic generation of feature descriptions based on linked insights. This is big productivity improvement that enables Makers to Ask AI about anything they need as they draft their feature specs and go deeper into their associated feedback or combine it with their own product knowledge.
",https://portal.productboard.com/pb/1-productboard-portal/c/716-productboard-ai-write-anything-with-ai,pb
Productboard AI - Roadmap Assistant,"Our main goal is to ensure that teams stay aligned at all times  by making product roadmaps easy to understand and consume. Productboard's AI Roadmap Assistant is designed to help both makers and contributors navigate and consume complex roadmaps with minimal effort. Our AI assistant analyzes roadmap relevant data, identifies the most important pieces, and outlines them in a digestible way. Additionally, we understand how important it is to stay up-to-date with roadmap changes as they occur. That's why our Roadmap Assistant provides detailed summaries of recent changes, enabling users to be informed of new developments that might directly affect their work and require attention.
",https://portal.productboard.com/pb/1-productboard-portal/c/711-productboard-ai-roadmap-assistant,pb
Customer board: Track progress toward delivering on any customer's needs,"Productboard's new Customer board provides a centralized view into the needs of each customer.Prepare for customer conversations with full background on a customer’s priorities and requestsClose feedback loops with customers and customer-facing teams on requested featuresMake better decisions by understanding core customers’ needsEmpower customer-facing teams to provide user feedback by sharing how their input influenced the roadmapFind customers who would be a good fit for user research  product betas, or a customer advisory board Learn more Get startedThe Customer board is available on the Scale and Enterprise Plans.
",https://portal.productboard.com/pb/1-productboard-portal/c/385-customer-board-track-progress-toward-delivering-on-any-customer-s-needs,pb
Dependencies API,"Would you like to sync dependencies data through Productboard's public API? We'd love to hear how this would help your team.
",https://portal.productboard.com/pb/1-productboard-portal/c/530-dependencies-api,pb
