Name,Description,Source Link,portalSourceName
Requisition experience pack 2.4 - Enhancements,"DescriptionThe upcoming release of the Requisitions Experience Pack will include some new features and some other enhancements: Value PropositionAdding new feature about Delivery adresses  users can now increase the options retrieving addresses based on the attribute values in the headers of the purchase request. Enhance the data control functionality on the Purchasing window Possibility to handling Contracts on Purchase requestPerformance improvements
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/530-requisition-experience-pack-2-4-enhancements,peopleexperiencesuite
Norwegian tax reporting (2022) - VAT filing,"DescriptionWith this second release of the Norwegian VAT reporting solution it will be possible to generate the actual VAT return file (XML) which can be used at the Altinn portal for submission of the VAT return to the Norwegian Tax Authorities.Value propositionMaking sure that Norwegian operating customers are able to stay compliant to the new upcoming tax legislation which will be enforced by 1st of January 2022. 
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/628-norwegian-tax-reporting-2022-vat-filing,peopleexperiencesuite
FINANCIALS - incoming invoice registration enhancements,"Description:Providing the possibility on web to switch the legal entity of an incoming invoice at registration.Value proposition:Saving time during the process of incoming invoice registration and providing a better User Experience.
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/607-financials-incoming-invoice-registration-enhancements,peopleexperiencesuite
Subscriptions 7.9,"DescriptionSubscriptions 100% availability on web.Value PropositionEnhancing the user experience. Better accessibility and usabiity for administration of Subscriptions.
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/318-subscriptions-7-9,peopleexperiencesuite
Requisitions  Experience Pack 2.3,"DescriptionSeveral enhancements in the procurement process including:Shopping basket will show allocation per Product Marking with Subtotals in the Requisitions experience pack shopping cart.Adding product markings visibility to more screens in Find product in the Requisitions experience pack.Including Dynamic zoom on the Product field in the Purchase request.Value PropositionEnhancing the user experience. Easier to follow the purchasing policy of your company.Improvement of the procurement process.
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/314-requisitions-experience-pack-2-3,peopleexperiencesuite
"""Run now"" button in all triggers","DescriptionHaving a ""run now"" button in the flows to run the flow manually without the need of waiting an incoming event or scheduled time.Value propositionEase the test during development 
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/1452-run-now-button-in-all-triggers,peopleexperiencesuite
FINANCIALS accounts receivable - consolidated payment plans,"DescriptionNow it is possible to define consolidated payment plans for multiple customer open items on the web.Value propositionA better user experience Run end-2-end business processes within the web environmentEliminate the need for Citrix (costs)
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/1267-financials-accounts-receivable-consolidated-payment-plans,peopleexperiencesuite
Nested loops,"DescriptionSupporting nested loops in Extension Kit with a maximum depth of 5 levels.Value propositionProcess arrays of arrays 
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/1122-nested-loops,peopleexperiencesuite
[IDEATION] FINANCIALS - General ledger - document archive on bank master file in web,"DescriptionNow it's possible to use the document archive functionality on the bank master file in web.Value propositionEnabling financial users to hold electronic copies of documents such as the account establishment documentation  signatory details as issued by the bank or specific account management rules agreed with a funder where all funds in the account are held on behalf of a specific funder.Note:This feature is driven by the Ideation process, see: https://community.unit4.com/t5/ERP-Product-Ideas/Enable-document-archive-for-bank-account-attribute-in-web/idi-p/72955
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/1265-ideation-financials-general-ledger-document-archive-on-bank-master-file-in-web,peopleexperiencesuite
Purchase orders window full on web 7.10,"Description:User experience improvements so users can save time by using windows on web .Value proposition:Purchase order ( additional tools and functionality)Ability to transfer a purchase order to the invoice base in Projects. Allow to make visible a set of columsn on details e.g. Amount use  Print on document, Tax Percent, Tax curr. amount, Total curr. amount, Exchange rate, Tax amount, Total amount, Non-recoverable VAT, Purchase order lead time, Lead time, Related order, Period, Discount percent, Discount, Distribution key.Verify it's possible to select a template for the GL analysis. Set look up reports for the following objects: Prices, Requisition, Invoice.Include missing information in delivery tab: Lead time section and Delivery to section Add missing command tools: Copy printout, Goods received and Contract Master File.Verify it's possible to check if a price has been changed and update it accordingly for an existing order line.Verify it's possible to copy an existing purchase order.Add notes tab.Verify it's possible to assign a manual order number when creating a purchase order.
",https://portal.productboard.com/peopleexperiencesuite/2-erp7/c/604-purchase-orders-window-full-on-web-7-10,peopleexperiencesuite
