Name,Description,Source Link,portalSourceName
Add optional call to action button on slides,"This would allow merchants to add call to action buttons on slides instead of having the whole slide be clickable.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/55-add-optional-call-to-action-button-on-slides,pxuthemes
mes
on-themes/c/4-add-max-width-option-for-logo-list,pxuthemes
Add options to make sidebar more customizable,"Allow merchants to put different sections in the sidebar.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/83-add-options-to-make-sidebar-more-customizable,pxuthemes
Badges for new items,"Add theme settings and styles to support badges to denote new items to a store
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/90-badges-for-new-items,pxuthemes
Add link display options on minimal layout,"Currently there is no alignment options for the minimal header layout. This would allow merchants to choose if their links are left  center or right aligned.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/14-add-link-display-options-on-minimal-layout,pxuthemes
Add option to hide out of stock products from results,"If enabled  this would allow merchants to hide out of stock products from the search results page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/92-add-option-to-hide-out-of-stock-products-from-results,pxuthemes
Expanded Social Platform Support,"Expanded social platform support for merchants to easily link their social profiles to their Shopify e-commerce channel  and toggle icon appearance on their Shopify store.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/195-expanded-social-platform-support,pxuthemes
Add more then one email to contact bar,"This would allow merchants to show more than one email address in the contact bar incase they have multiple address for shoppers to reach them at for different reasons.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/42-add-more-then-one-email-to-contact-bar,pxuthemes
Add option to show out of stock variants on product page,"This would allow merchants to show out of stock variants on product pages as well as give them the option to let shoppers select them out of stock variants for use with apps.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/45-add-option-to-show-out-of-stock-variants-on-product-page,pxuthemes
Add Alternate template for preorders,"Add a template or set of features that allow merchants to set up pre-order pages.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/74-add-alternate-template-for-preorders,pxuthemes
Allow multiple feature posts,"Currently only one post can be featured  but in some cases it would makes sense for merchants to be able to select multiple featured posts. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/31-allow-multiple-feature-posts,pxuthemes
Add option to display number of variants,"This would allow merchants to show some indicatory of how many variants exist for a product.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/56-add-option-to-display-number-of-variants,pxuthemes
Show inventory levels,"Add options to the theme editor to allow inventory to be displayed throughout the theme  including the option to show inventory differently when stock is getting low.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/1-show-inventory-levels,pxuthemes
Option to hide certain categories from search results,"This would allow merchants to exclude certain products from search results. Could be helpful if there are particular collections that are only available to certain shoppers. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/28-option-to-hide-certain-categories-from-search-results,pxuthemes
Adding 'show vendor title' and 'align height of product images' to customizer,"In the Product Page customizer tab  it would be great to have 'Align height of product images' and ""Show vendor"" as options in the theme customizer.A customer sent me these screenshots of the options in another theme:""Align height"" option turned off: http://files.pxu.co/0h123c1J2b3q""Align height"" option turned on: http://files.pxu.co/2D0Z0A2j061SLooks like the 'align height' zooms in on the product image in order to align the product titles and info. Would be great to have this in our themes!
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/51-adding-show-vendor-title-and-align-height-of-product-images-to-customizer,pxuthemes
Unit Pricing,"Merchants selling in France and Germany are required to show unit prices for certain types of products to be compliant with the law. Ex: €9.99 / 100g. Unit prices make it easy for buyers to compare prices.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/110-unit-pricing,pxuthemes
Add option for featured blog post,"Allow merchants to select one or more blog posts as a featured blog post on the blog index page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/82-add-option-for-featured-blog-post,pxuthemes
Add option to make add-to-cart confirmation smaller,"This would allow merchants to choose a size for the add to cart confirmation.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/24-add-option-to-make-add-to-cart-confirmation-smaller,pxuthemes
