Name,Description,Source Link,portalSourceName
Galaxies in Peril (Forged in the Dark),"Character sheet support for Galaxies in Peril
",https://portal.productboard.com/roll20/1-roll20-portal/c/219-galaxies-in-peril-forged-in-the-dark,roll20
Style and User Interface,"Changes to the user interfaces that make up Roll20. This includes fonts  colors, and other elements that you can interact with.Roll20 is made up of many views and components. When contributing feedback, please include details on which part of Roll20 the feedback is referring to, under what circumstances you would see your suggestion, and which kinds of users would see this (GM, Player, etc).
",https://portal.productboard.com/roll20/1-roll20-portal/c/222-style-and-user-interface,roll20
13th Age: Chaos / Lunars Support,"Support for Chaos stealing the Escalation Die and Lunars sharing the Escalation Die
",https://portal.productboard.com/roll20/1-roll20-portal/c/203-13th-age-chaos-lunars-support,roll20
Power Rangers: Movement Speed,"Add a location for character movement speed to the base sheet
",https://portal.productboard.com/roll20/1-roll20-portal/c/173-power-rangers-movement-speed,roll20
Invictus Theme,"Add an additional theme to the character sheet for the Invictus setting
",https://portal.productboard.com/roll20/1-roll20-portal/c/180-invictus-theme,roll20
"Send Gear  Armor, etc. to Chat","Send gear  armor, etc. to chat for easy reference.
",https://portal.productboard.com/roll20/1-roll20-portal/c/210-send-gear-armor-etc-to-chat,roll20
Dice Roller,"Add a button to the sheet to allow users to make an ""arbitrary"" dice roll from the character sheet.
",https://portal.productboard.com/roll20/1-roll20-portal/c/190-dice-roller,roll20
Power Rangers: Critical Success Bug,"Bug: currently a 2 on a d2 is showing incorrectly as a Critical Success.
",https://portal.productboard.com/roll20/1-roll20-portal/c/218-power-rangers-critical-success-bug,roll20
One-Way Barriers,"Dynamic Lighting barriers that block light and vision from one side of the line  but lets it pass through the other side.The screenshot above is a working version.
",https://portal.productboard.com/roll20/1-roll20-portal/c/158-one-way-barriers,roll20
Display Player-Chosen Avatar,"Link to backend data to display the correct photo that the player chooses.
",https://portal.productboard.com/roll20/1-roll20-portal/c/14-display-player-chosen-avatar,roll20
Support for Excellent & Poor Quality Weapons,"Excellent or Poor quality will either add or subtract from attack  which is not done automatically on the sheet today.
",https://portal.productboard.com/roll20/1-roll20-portal/c/212-support-for-excellent-poor-quality-weapons,roll20
Dice Roller Improvements,"Add support for Custom Roll Parsing  streamlining the roll process and reducing the 3d dice clutter
",https://portal.productboard.com/roll20/1-roll20-portal/c/178-dice-roller-improvements,roll20
Support Circle Tool in Dynamic Lighting,"The VTT's circle drawing tool now works as intended with dynamic lighting.
",https://portal.productboard.com/roll20/1-roll20-portal/c/85-support-circle-tool-in-dynamic-lighting,roll20
Ranger Specific Mechanic Implementations,"Add specific implementations for various specific ranger mechanics  such as the White Ranger's Relic Die
",https://portal.productboard.com/roll20/1-roll20-portal/c/176-ranger-specific-mechanic-implementations,roll20
Cyberpunk RED - Dark Mode support,"Change the colors of the sheet based on your VTT 
",https://portal.productboard.com/roll20/1-roll20-portal/c/161-cyberpunk-red-dark-mode-support,roll20
Dice rolling from Home Screen (Sent to Game),"Rolling dice from your home screen either anonymously or sending it to a selected game. 
",https://portal.productboard.com/roll20/1-roll20-portal/c/152-dice-rolling-from-home-screen-sent-to-game,roll20
Bug Fix: Critical Success/Failures apply to Initiative,"Rolling a nat 1 or nat 10 should apply to initiative rolls.
",https://portal.productboard.com/roll20/1-roll20-portal/c/224-bug-fix-critical-success-failures-apply-to-initiative,roll20
Increased Skill Count & Skill Selection Toggles,"Increase the base number of skills present on the sheet  and then provide controls allowing a user to hide skills and skill groups that are not relevant to their character
",https://portal.productboard.com/roll20/1-roll20-portal/c/179-increased-skill-count-skill-selection-toggles,roll20
Adjustable Daylight Mode,"early access update on the Dev Server to let you try out the latest update we've been working on. Read more...A popular suggestion  now possible with Dynamic Lighting.
",https://portal.productboard.com/roll20/1-roll20-portal/c/98-adjustable-daylight-mode,roll20
Languages,"Add an input for a character's languages to the base character sheet.
",https://portal.productboard.com/roll20/1-roll20-portal/c/174-languages,roll20
Pathfinder 1e: Advanced NPC Sheet,"Support for unique  levelable NPC characters that could have buffs & conditions.
",https://portal.productboard.com/roll20/1-roll20-portal/c/197-pathfinder-1e-advanced-npc-sheet,roll20
