Name,Description,Source Link,portalSourceName
Multi-types unit discount,"We want to extend the ability to define unit type discounts. The customers see a need of having a list of unit types instead of one. Why? Because they foresee use cases in which coupons give basket many different item types.Assumptions:On UI  we enable an option to add many unit types - one row, one typeWhen we save unit types, and they are linked to products, we should save source_id in a data model (verify if product source_id is editable - shouldn't)Possible new model:{ ""type"": ""UNIT"", ""units"": [ { ""unit_off"": 1,""unit_type"": ""prod_09001fc6ad"", ""source_id"": ""1fc(ife exists)"", ""effect"": ""ADD_NEW_ITEMS""}, { ""unit_off"": 6,""unit_type"": ""prod_0a26dd"", ""source_id"": ""prod_0a26dd(ife exists)"" , ""effect"": ""ADD_NEW_ITEMS""} ]}
",https://portal.productboard.com/rspective/1-product-portal/c/83-multi-types-unit-discount,rspective
Do not recalculate tiers after tier qualification rules change,"Problem statement:Currently  the user can make tier structure changes at any time, and after each change, tiers are recalculated for all customers. This may cause issues as some customers may get worse tier propositions while they have been qualified with the old rules. Solution:Two settings can be changed:Qualification rules (e.g., points balance, points collected in a period, etc.)Tiers structure (e.g., adding new tier, deleting tier, changing points thresholds, etc.) For changing qualification rules, there will be added option to recalculate tiers according to the new rules. By default, tiers will not be recalculated, meaning customers will not be immediately affected after the campaign save. However, all new tiers will be calculated with the new rules. The user can also force tiers recalculation once qualification rules are changed upon saving the campaign. With this option, tiers will be recalculated with the following rules:Customers can be upgraded to a higher tier if they meet the tier condition (if the tier expiration date should be calculated, then it will be calculated from the current date),Customers with some tiers will not be downgraded to a lower tier if they have an expiration date. In this case, the tier expiration date can be extended or shortened according to the new rules (if the tier expiration date should be calculated, then it will be calculated from the current date). Changing tier structure will always trigger tiers recalculation to the new structure with the following rules:Adding a new tier or changing the points thresholds: Customers' tiers will be upgraded or downgraded but not downgraded if they already have a tier with an expiration dateDeleting a tier: All customers who have that tier will lose it
",https://portal.productboard.com/rspective/1-product-portal/c/136-do-not-recalculate-tiers-after-tier-qualification-rules-change,rspective
Save Arrays as Value Type for Metadata Attributes,"Problem StatementCurrently  users cannot save properties that contain arrays in our metadata dictionaries.  SolutionWe will propose an array type in the metadata schema builder. It could enable us to save arrays of a given property kind as value to the metadata field. Before launching the solution, we have to recognize potential use cases to understand better how to use this feature.
",https://portal.productboard.com/rspective/1-product-portal/c/29-save-arrays-as-value-type-for-metadata-attributes,rspective
Store information that redemption is rolled back,"Problem statementIt is hard for customers to verify straight from the redemptions list which one was rolled back.SolutionWe want to introduce additional attributes which specify if redemption was rolled back and a list of IDs of rolling back transactions.In the get redemption details and list redemptions API methods  we should display the following data:{... rolled_back: true, rollbacks: { ""object"": ""list"", ""data_ref"": ""data"", ""data"": [ {""id"": ""rr_idtest"", ""reason"": ""order refunded""} ], ""total"": 1 }}Acceptance Criteria:New fields should be returned to get redemption details and listing redemptions methodIt should be possible to filter out redemptions by parameter rolled_backIn the redemption details view in Dashboard, we should present directly information that the transaction was rolled back (maybe with a badge at the top panel next to the creation date)We should remove the list of old events from the Redemption details view
",https://portal.productboard.com/rspective/1-product-portal/c/142-store-information-that-redemption-is-rolled-back,rspective
Total discount cap per promotion,"We need the ability to set up campaigns that apply a percentage-based discount (e.g.  50%) to all selected product types (items) while also respecting a maximum discount limit at the order level (for instance, no more than €100 in total discounts).We're currently facing a problem when a customer selects multiple products from different categories (where each category represents an item) in a single order. In this scenario, the discount limit we set is being applied to each item separately, rather than the entire order. For example, if we have a 50% discount with a €50 limit and a customer chooses 10 t-shirts totaling €100 and 10 hoodies also totaling €100, the total discount will come out to €100. This is because the discount limit applies to each item (t-shirts and hoodies) separately, rather than the total order.
",https://portal.productboard.com/rspective/1-product-portal/c/152-total-discount-cap-per-promotion,rspective
Condition for date and date-time metadata fields comparing if values are between two given params,"We will extend the rules builder by the option to check if provided date/date-time metadata value is between given parameters. The option will be similar to the within-time-frame condition but doesn't have the option to set up intervals:Acceptance Criteria:The operator will be available only in the new Rules BuilderThe name of the new operator will be: ""is between""
",https://portal.productboard.com/rspective/1-product-portal/c/148-condition-for-date-and-date-time-metadata-fields-comparing-if-values-are-between-two-given-params,rspective
Advanced approval workflows,"Enhance the approval workflow by : - creating multi level approval workflow and the option to decide the number of approval levels to be defined in the workflow rule based on business conditions (e.g. if campaign budget >$20K need 2 level approvals before ""Publish"" of campaign) - the ability to use different workflows depending on campaign type  including auto approval if a campaign does not have any workflow linked - the option to save workflow rules as templates and reuse - the option to add custom checklist in the approval process - reporting: count of promotions which went through the approval workflow
",https://portal.productboard.com/rspective/1-product-portal/c/160-advanced-approval-workflows,rspective
Enable comparing the date and date-time values in the IF operator,"Possibility to use date/date-time metadata in the dynamic discount builder to build IF conditions based on date/date-time metadata (e.g.  IF(ORDER_METADATA(""departure_date"") < ""2022-12-01"";20;10)). Acceptance Criteria:We extend only IF operator to be possible to set up conditions based on both time types: date and date-timeAs a field to compare user can select either the metadata of the proper type or built-in fields (voucher expiration date)
",https://portal.productboard.com/rspective/1-product-portal/c/150-enable-comparing-the-date-and-date-time-values-in-the-if-operator,rspective
Additional data for points operations,"Problem statement:Currently  it is not possible to add any additional information for such operations on points as:Adding points, Removing points,Transferring points.Solution:Add additional fields for adding/removing points manually (via API and Dashboard) and points transfers (via API):reason - allow adding a comment with a reason why such an operation was performed (String, Optional),source_id - allow adding a reference id (String, Optional). Additionally, add validation on the source_id field and reject the operation if there is already an action with a given source_id,Return stored 'reason' and 'source_id' within the 'balance' object in the list-customer-activities APIs + show 'reason' ('source_id' as a Nice-To-Have) on the customer activity list in the Dashboard application.The same control of credits will be possible for Gift Cards.
",https://portal.productboard.com/rspective/1-product-portal/c/114-additional-data-for-points-operations,rspective
Multi-tiered discount values for coupons,"Problem statement:Clients request advanced discounts where one discount code (one-off  personalized or public, fixed codes (e.g., SAVEMORE), allows customers to get multiple deal values depending on discount criteria. Voucherify already supports multi-level discounts in cart-level promotion campaigns. Solution:We want to extend multi-level discounts with an option to define combined deals available for code owners. This feature will offer:1| Level deals – Customers with distinct behaviors or characteristics will get different discount values with one code. For example:*a* If customers pay in USD, they will get a 20% discount, and if customers pay in CAD, they will get a 30$ off.*b* Order value break tiers: 100.00 or more – 10% off,250.00 or more – 15% off, 500.00 or more – 20% off, 1000.00 or more – 25% off.*c* Quantity break tiers:Buy 5 or more products X, get 10% off. Buy 10 or more products X, get 15% off. Buy 20 or more of products X, get 20% off.*d* Product base tiers – 5% discount on Hoodies products, 10% discount on products in Accessories categories. *e* And more.2| Multiple discounts – Several discounts can be applied to one cart, e.g., 15% for books, 10$ for the first purchase, free sample, and free shipping.3| Mixed deals – Customers with distinct behaviors or characteristics will get several discounts.For example: Buy 5 or more products X, get 10% off. Buy 10 or more products X, get 15% off.Buy 15 or more products X, get 20% off.Buy 20 or more products X, get 25% off.Free shipping.Product Y free sample.Free shipping will be available for carts with a total order value greater than 200$, and free samples will be available for customers who are eligible for a 25% off deal.Voucherify will enable an option to create multi-level discounts attached to a single code by adding an option to cart-level discounts. Those codes will have the same capabilities as discount coupons. Therefore cart-level discounts will allow Voucherify clients to create:Automatically applied tiered discounts based on cart structure and customer attributes (without codes).Personalized discount codes for personal use or public vouchers with tiered discount values.The rules for evaluating the applicable discounts will be configurable in the Validation Rules Builder.We will leave the stacking capability as optional for tiered coupons, which can be useful for multiple discounts and mixed deals.
",https://portal.productboard.com/rspective/1-product-portal/c/33-multi-tiered-discount-values-for-coupons,rspective
