Name,Description,Source Link,portalSourceName
Sauce Connect v5.0 [HTTP/2],"Sauce Labs is releasing a major upgrade to the Sauce Connect proxy client  introducing HTTP/2 as our new, non-proprietary SSH tunneling protocol.This release will increase tunnel performance up to 2x-5x, uses ~50x less memory resources, grants tunneling insights, supports SOCKS5 and has package managed installation options.Sign up for the beta by fill out this form!
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/46-sauce-connect-v5-0-http-2,sauceprod
Audio - iOS/Android for test results(Live/Automated),"Provide audio playback during iOS and Android RDC test sessions (live& automated)
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/18-audio-ios-android-for-test-results-live-automated,sauceprod
Improve Virtual USB (vUSB) Solution,"* Performance & Reliability* Make it easier to adopt and get started with* Make test assets available* Improved Architecture* Make it easy for us to track user engagementCustomers cannot see any record of virtual USB sessions through Sauce Labs' test history. Virtual USB is becoming more commonly used in automation scenarios  which leads to a problem where test failures are hard to debug, due to the lack of data available (device logs, screen recordings, etc) after the test session has ended.
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/34-improve-virtual-usb-vusb-solution,sauceprod
XCUITest support for Simulators,"XCUITest support on Simulators enables you to expedite the release of high quality mobile apps while optimizing cost-efficiency  with improved testing scale, efficiency, and collaboration. (Note: XCUITest is already supported on real devices.)Accelerate scalability by concurrently running tests on multiple simulatorsShift testing left to identify and fix bugs earlyMaximize coverage across various device configurationsExplore our technical documentation  and experience it in open beta today!
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/63-xcuitest-support-for-simulators,sauceprod
Appium in Failure Analysis,"Failure Analysis can be applied against test results from an Appium run.
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/35-appium-in-failure-analysis,sauceprod
Support Appium 2.0 Plugins,"As we continue our efforts to provide you coverage for the latest testing frameworks  like Appium 2 and all of its drivers, we are looking into supporting Appium 2.0 plugins. We would like to get input to understand all possible use cases, and would love to hear from you if you have an interest in this functionality. 
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/43-support-appium-2-0-plugins,sauceprod
Redesigned Debug View,"Backtrace is undergoing a redesign for the debug experience to facilitate ease of use across the different platforms. 
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/58-redesigned-debug-view,sauceprod
User in multiple teams,"Creating teams is useful for organizations having multiple teams working on different products  belonging to different business units or might be geographically dispersed. Rather than belonging to just one team, users often work on multiple projects and collaborate with different teams. Unfortunately that scenario is not supported by the current team management. Today users can be assigned to one team only. When a user has to navigate between teams in order to contribute to different projects Org admin gas to manually move that user from one team to another. When we take into consideration the high repeatability of such actions we come to the conclusion that this is a very time-consuming and inefficient solution that causes our customers a headache. Additionally, private mobile devices can only be allocated to one team at a time. Therefore, if a person needs to use two different pools of devices, they need two accounts or they have to be moved by the org admin, which again is time-consuming and inefficient.
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/54-user-in-multiple-teams,sauceprod
Sauce Visual,"A picture is worth 100 assertions! Sauce Labs Visual is here to provide visual regression testing for web and mobile applications  all within the Enterprise grade Sauce Labs experience.Sign up for the beta now before time runs out! Click here to sign up.
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/59-sauce-visual,sauceprod
Support appium-espresso-driver for Real Devices,"As we continue our efforts to provide you coverage for the latest testing frameworks  like Appium 2 and all of its drivers, we are looking into supporting the appium-espresso-driver for real devices (you can already use it with our Android Emulator offering). We would like to get input to understand all possible use cases and would love to hear from you if you have an interest in this functionality. 
",https://portal.productboard.com/sauceprod/2-sauce-labs-portal/c/37-support-appium-espresso-driver-for-real-devices,sauceprod
