Name,Description,Source Link,portalSourceName
Pick and Place SOP,"[Released] This node allows you to interactively pick and place objects in a scene. The first input of the tool has the incoming collision geometry (your scene)  and the second input has the objects you would like to place. 
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/79-pick-and-place-sop,sidefx
Building Generator Utility SOP 2.0,"[Released] This node creates base modules to use with the building generators  as well as override base module behaviour.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/75-building-generator-utility-sop-2-0,sidefx
Network Walk UTL,"[Released] This Network View tab Labs menu utility tool lets you traverse a node network using four hotkeys.The key mappings: PageUp = Move Up PageDown = Move Down Insert = Move Left Home = Move RightCoupled with Houdini's default U and I keys  the tool lets you inspect the node chains quickly and intuitively. It displays visual feedback to indicate the current location and direction of the traversal. You can also launch the tool from the SideFX Labs shelf.This tool is a community contribution by Richard C Thomas.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/50-network-walk-utl,sidefx
Tree Branch Generator SOP,"[Released] This generates tree branches on a trunk created with the Tree Trunk Generator or on other branches created with the Tree Branch Generator or Tree Branch Placer.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/93-tree-branch-generator-sop,sidefx
Smooth Partitions SOP,"[Planned] This node smoothly separates the mesh into multiple parts based on an input cluster attribute. Partitioning purely based on clusters can often result in jagged boundaries between parts. This node finds the shortest paths between partition boundary intersection points in order to reconstruct smoother boundaries. The input clusters are only used to identify boundary intersection points  so the final partitions do not strictly conform to the input cluster assignments. The partition boundaries only consists of existing edges on the mesh.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/57-smooth-partitions-sop,sidefx
Edge Group from Reference SOP,"[Suggested] Groups edges based on a reference geometry so that you can apply edge tracing algorithms on a modified geometry and transfer the results back to the original geometry.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/32-edge-group-from-reference-sop,sidefx
Fast Remesh SOP,"[Released] This node performs Houdini’s native remeshing operation on partitioned geometry  processing each piece in parallel which greatly reduces the calculation time of traditional remeshing.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/74-fast-remesh-sop,sidefx
Building from Patterns SOP,"[Released] This node defines building patterns using Floor Descriptions generated by Labs Building Generator Utility nodes. These patterns can be repeated or occur at set intervals along each floor  defining the building style from the ground up.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/22-building-from-patterns-sop,sidefx
Cable Generator SOP 2.0,"[Released] This node generates connecting cables and sub-cables from an input curve or between input attachable surfaces. It includes options for simulating gravity  interacting with colliders, cable detangling, and auto UV generation.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/24-cable-generator-sop-2-0,sidefx
Instance Attributes SOP,"[Released] This node makes it easy to export instances to game engines by helping users set up attributes as the engines expect.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/36-instance-attributes-sop,sidefx
Filter Pieces SOP,"[Planned] This replaces Labs Find Largest Piece SOP and Labs Delete Small Pieces SOP.
",https://portal.productboard.com/sidefx/1-sidefx-labs-public-roadmap/c/30-filter-pieces-sop,sidefx
