Name,Description,Source Link,portalSourceName
New map interface to view and export order history,"Release date: 19 February 2015Keeping track of your climData order history just became easier. You can now easily view and download list of sites for which you have purchased time series or TMY data.  For customers who have contract-based access to time series and TMY data  you can now also view order history of your colleagues to keep track of total number of data orders made by your company.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/99-new-map-interface-to-view-and-export-order-history,solargis
API for TMY data,"Currently Solargis API services allow to request monthly average data and time series data. It is proposed to develop a new API service that will allow user to request TMY data via API.The API will work in asynchronous mode  where response time will be approx. 1-2 minutes.The API will provide TMY data in hourly or 15 minute time steps, and in formats compatible with popular PV simulation software.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/109-api-for-tmy-data,solargis
Support for seasonal tilt,"Possibility to provide 12 monthly values of desired tilt angles.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/117-support-for-seasonal-tilt,solargis
Additional options for satellite map layer,"Currently we use Bing maps service for satellite map layer. In some regions the imagery with Bing maps is not updated or not having high resolution. It may be useful to allow selection of alternate satellite map layers for regions where Bing maps is not provided up to date or high resolution imagery.Some alternate satellite maps options include:Google mapsHERE mapsSentinel-2 ( more info here: https://solargis.com/blog/best-practices/sentinel-2-satellite-maps-because-we-value-up-to-date-information) )If you have any suggestions or preferences of satellite imagery providers that we should consider to use in our apps  please share your feedback.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/129-additional-options-for-satellite-map-layer,solargis
Support for multiple currencies in Economic calculator,"Currently only USD is supported in currency calculator. With multi-currency support  user would have option to select currency of their choice. Exchange rate could be defined by user or be based on 3rd party exchange rate API.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/114-support-for-multiple-currencies-in-economic-calculator,solargis
New parameters included: TMOD and PREC,"Release date: 10 August 2018Solar radiation calculation scheme has been improved for Americas  Middle East, Asia and Pacific by implementing better management of raw satellite data. The values of GHI, DNI, DIF, GTI and PVOUT parameters are affected by new version of the Solargis model only in rare cases related to a specific segment geometry. New parameters have been introduced (available via API and FTP): PV Module Temperature (TMOD) and Precipitation Rate (PREC). TMOD is useful for evaluation of daytime temperature of PV modules, and for calculation of temperature-corrected performance ratio. PREC can be used for improved understanding of soiling and cleaning of PV modules. Nowcasting service was extended to Australia, Morocco and Canary Islands Geographical coverage of forecasting service based on postprocessing of the IFS outputs (the model operated by ECMWF) was extended to Northeast China, Turkey, Jordan, New Caledonia, Kenya, Morocco and Canary Islands.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/59-new-parameters-included-tmod-and-prec,solargis
Reports in multiple languages,"Release date: 20 January 2020PDF and XLSX reports in Prospect app can now be generated also in the following languages:Simplified ChineseJapaneseKoreanPortugueseRussianFrenchTurkish
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/105-reports-in-multiple-languages,solargis
Minimum design temperature,"As a PV engineer  in order to correctly size the array (determine number of modules that can be connected in series in a string) it is required to know the lowest expected operational temperature. The lowest operational temperature is mostly likely to be achieved during dawn, when temperature is lowest and first rays of sun start to shine on the modules. Current PV tools simply use a default value i.e. -20deg C or rely on data based on sparsely distributed meteo stations. Thus it would be useful for the industry to have a reliable data source for minimum design temperature. To solve this problem, we have created a new data layer providing minimum design temperature for array sizing. As per the IEC 62738, this has been calculated as the mean of annual extreme low temperatures. We are currently working on making this data accessible via the Prospect app.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/24-minimum-design-temperature,solargis
"Snow depth  precipitation, and wind gust data as default parameters","Currently Snow Depth Water Equivalent  Precipitation, and Wind Gust data are only accessible via API. It has been considered to include these parameters as default parameters for time series/TMY - professional orders placed on climData online app.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/113-snow-depth-precipitation-and-wind-gust-data-as-default-parameters,solargis
Uncertainty values in TMY CSV file header,"Release date: 16 december 2018CSV file header for TMY Pxx (75 90,95,99) data has been extended to include uncertainty values. The values include GHI/DNI model uncertainty, uncertainty because of inter-annual variability, and combined uncertainty. All uncertainty values are reported at P90 confidence (1.282 * SD). It is planned to include the uncertainty values also in PDF report issued along with the CSV files.
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/55-uncertainty-values-in-tmy-csv-file-header,solargis
New apps dashboard,"Release date: 10 August 2020Key features:New dashboard with landing pageExport of projects to a fileGDPR compliant cookies banner that informs about the data which are being collectedImproved unit settings of XLS reports. All units in XLS reports are now consistent with frontend an PDF reportsImproved webpage responsivity  toolbars and other user interface improvementsCAPTCHA for verification of new usersOther improvements and bug fixes:Browser cachingUser creation fixed consistencyEdit Company settings fixedForgot password fixedPDF report layoutTranslation of unit settingsRecent project list in new dashboard
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/127-new-apps-dashboard,solargis
Bifacial simulation,"Implement bifacial simulation to Solargis online apps and API/FTP data services
",https://portal.productboard.com/solargis/1-solargis-roadmap/c/11-bifacial-simulation,solargis
