Name,Description,Source Link,portalSourceName
Tokens permission is narrowed to the analysis scope,"Tokens for analyzing a project only have the permissions required to perform analysis for added security.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/321-tokens-permission-is-narrowed-to-the-analysis-scope,sonarsource
Support deploying an external Elasticsearch in Kubernetes installations,"When running SonarQube on Kubernetes  you'll have the capability to externalize the deployment of the Elasticsearch cluster. This may enable you to offload the responsibility of all stateful components to an external managed service. 
",https://portal.productboard.com/sonarsource/3-sonarqube/c/505-support-deploying-an-external-elasticsearch-in-kubernetes-installations,sonarsource
Security analysis is available in GitLab,"SonarQube reports security vulnerabilities directly into your preferred DevOps platform by integrating with GitLab Security.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/332-security-analysis-is-available-in-gitlab,sonarsource
Use optimal multithreading default for C and C++ analysis,"Default multithreaded analysis significantly increases the speed of your C and C++ code analysis.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/319-use-optimal-multithreading-default-for-c-and-c-analysis,sonarsource
"Load ""Psalm"" reports","Provide an analysis parameter so that Psalm issues can be included in analysis.Psalm is a type-checking static analysis tool for PHP that finds bugs. It is widely used by the PHP community with 4.2K stars on GitHub.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/112-load-psalm-reports,sonarsource
DotNet: Faster Analysis of PR,"Analyze only the changed files of your pull request - instead of all - and receive the results of the PR analysis in your DevOps Platform faster.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/399-dotnet-faster-analysis-of-pr,sonarsource
FastAPI support in security analysis,"Detect more vulnerabilities in your Python code when using the FastAPI framework.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/371-fastapi-support-in-security-analysis,sonarsource
Analyze CloudFormation files,"With this feature you will be able to scan your CloudFormation files to detect mainly security issues.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/177-analyze-cloudformation-files,sonarsource
TensorFlow library support in Python analysis,"Detect issues in your Python code when using the Pandas TensorFlow library
",https://portal.productboard.com/sonarsource/3-sonarqube/c/488-tensorflow-library-support-in-python-analysis,sonarsource
Support Python 3.12,"Python 3.12.0 is the next major release of the Python programming language. We want to make sure to parse Python 3.12 syntax  raise no FPs with existing rules and new rules supporting new features.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/485-support-python-3-12,sonarsource
More rules to check for commonly found security misconfiguration in Dockerfiles,"Ensure your Dockerfiles don't contain the most common security misconfigurations with a dozen new additional rules.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/418-more-rules-to-check-for-commonly-found-security-misconfiguration-in-dockerfiles,sonarsource
Support Python 3.10,"Python 3.10.0 is the newest major release of the Python programming language.We want to make sure to parse Python 3.10 and raise no FPs with existing rules.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/225-support-python-3-10,sonarsource
Scikit-Learn library support in Python analysis,"Detect issues in your Python code when using the Scikit-Learn library
",https://portal.productboard.com/sonarsource/3-sonarqube/c/489-scikit-learn-library-support-in-python-analysis,sonarsource
Going further with Spring Boot 2 support,"Get help when configuring Spring Boot 2 and using the new annotations
",https://portal.productboard.com/sonarsource/3-sonarqube/c/271-going-further-with-spring-boot-2-support,sonarsource
Detect security problems related to Android Data Storage,"We want to help developers making sure their Android Mobile Apps are compliant with the Mobile AppSec Verification Standard (MASVS) > Data Storage and Privacy Requirements. As a developer  I can validate I'm compliant with the ""MASVS > Data Storage and Privacy Requirements"" thanks to the features provided that follow the Mobile Security Testing Guide > Data Storage checklist.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/142-detect-security-problems-related-to-android-data-storage,sonarsource
Help JavaScript developers writing efficient  error-free and safe regular expressions,"The goal of this feature is to provide a layer of defense for our JavaScript users  through a set of meaningful rules targeting regex.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/144-help-javascript-developers-writing-efficient-error-free-and-safe-regular-expressions,sonarsource
"Support ""CWE Top 25 2021""","The Security Reports feature of SonarQube EE should support the latest version of the CWE Top 25 to allow managers to assess if they are at risk against lastest trending vulnerabilities. The 2021 version was released on July 2021.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/178-support-cwe-top-25-2021,sonarsource
Support Kotlin 1.7,"Kotlin 1.7 was released on the 9th of June 2022.
",https://portal.productboard.com/sonarsource/3-sonarqube/c/330-support-kotlin-1-7,sonarsource
Raise Vulnerabilities in inline JavaScript code inside HTML files,"
",https://portal.productboard.com/sonarsource/3-sonarqube/c/457-raise-vulnerabilities-in-inline-javascript-code-inside-html-files,sonarsource
Support for Jupyter Notebooks in SonarQube,"We help data scientists to detect issues in Jupyter Notebooks in SonarQube
",https://portal.productboard.com/sonarsource/3-sonarqube/c/520-support-for-jupyter-notebooks-in-sonarqube,sonarsource
