Name,Description,Source Link,portalSourceName
Lifecycle Stages,"Use lifecycle statuses to indicate what stage of the development process your API is in  then build workflows around transitions between those stages. For example, a transition from ""needs review"" to ""production"" might trigger a workflow to upload your OpenAPI to an API gateway.What kind of workflows would you like to build? What are the lifecycle stages at your company?
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/65-lifecycle-stages,stoplightio
Show Spectral results in Form view,"Studio helps users navigate to the source of result messge (errors  warnings, etc coming from Spectral), but currently it always go to the code view. Should we support for visually tying validation/ruleset results to the appropriate Form input when you're working in form view? 
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/136-show-spectral-results-in-form-view,stoplightio
Create new file from a template,"When creating a new API  model, or article, optionally choose from a list of templates defined by your Workspace. A template for an API might include default security schemes, x-extensions, etc.What kind of templates would you like to add?Does your team already use file templates?
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/77-create-new-file-from-a-template,stoplightio
Hosted Mock Servers for Every Branch,"Design  test, develop, and review APIs faster with hosted mock servers within existing workflows. Create a mock server for each branch in your projects, all powered by Stoplight Prism.
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/156-hosted-mock-servers-for-every-branch,stoplightio
OpenAPI v3.0 Forms Editor,"This feature is available now!Stoplight Next had support for OpenAPI v3.0 in text-edit mode  but the GUI was not up to date. Studio supports OpenAPI v3.0, and is actively working with OpenAPI to plan OpenAPI v3.1, meaning we will stay ahead of the curve. 
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/42-openapi-v3-0-forms-editor,stoplightio
Generate JSON Schema from example JSON,"This feature is available now!API Design first is great and all  but if you already have an API you need to get all the schemas written down and that can be a tedious and laborious manual task. We would love to speed things up for you, by adding a button to Try it Now which will take a look at the real HTTP requests and responses you make, and offers you the ability to turn that into a schema for your models. This same functionality will also be added as an input to the JSON Schema editor, so you can quickly copy-paste-convert any example JSON into a JSON Schema.There's now a ""Generate from JSON"" button above the JSON Schema editor. Click it, paste in your example JSON and click ""Generate"" and you'll end up with an automatically generated schema. Magic!
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/27-generate-json-schema-from-example-json,stoplightio
GraphQL,"Support for GraphQL (https://graphql.org/) in the Stoplight ecosystem. Rank which of the items below are most important to you? Any other ideas related to GraphQL?DocumentationStyle GuidesMocking
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/95-graphql,stoplightio
AsyncAPI,"Support for AsyncAPI (https://www.asyncapi.com) in the Stoplight ecosystem. Rank which of the items below are most important to you. Any other ideas related to AsyncAPI?DocumentationForm based editingStyle Guides (already supported)Mocking
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/15-asyncapi,stoplightio
API Design Reviews,"What tools does your team use to do API design reviews?How would you like to use Stoplight to make that process easier?
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/71-api-design-reviews,stoplightio
Add an option to hide the sign-in button,"This feature is available now!When viewing public documentation on a custom domain  it is confusing to see the sign-in button since most anonymous users won't be able to sign into the Workspace. You can now add an option to hide the sign-in button for documentation loaded from a custom domain! Navigate to your workspace settings to enable this feature.
",https://portal.productboard.com/stoplightio/4-stoplight-platform/c/103-add-an-option-to-hide-the-sign-in-button,stoplightio
