Name,Description,Source Link,portalSourceName
Support Terraform in Data warehouse transfers,"With Terraform  customers could run data warehouse transfers and backfills programmatically and save manual work. With this project, we will provide the necessary APIs to run transfers and backfills programmatically, for example with Terraform.
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/235-support-terraform-in-data-warehouse-transfers,supermetrics
Zoho,"Data source connector for Zoho.Zoho offers beautifully smart software to help you grow your business. With over 80 million users worldwide  Zoho's 55+ products aid your sales and marketing, support and collaboration, finance, and recruitment needs—letting you focus only on your business. Zoho respects user privacy and does not have an ad-revenue model in any part of its business, including its free products. 
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/203-zoho,supermetrics
Tradedoubler,"Data source connector for affiliate marketing platform Tradedoubler.Tradedoubler is a leading international performance marketing company that drives results through high quality traffic  technology and expertise. It is the only company that offers both a network and a technology solution. In 2018 Tradedoubler generated € 1.4 billion incremental revenue for over 2,000 clients across its network of 180,000 online and mobile publishers. Tradedoubler operates performance marketing programmes in more than 80 counties and has 260 employees.Tradedoubler is available to try for free in Google Sheets, Looker Studio, Excel and API products. 
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/106-tradedoubler,supermetrics
Allow path partitioning in Data Lakes,"Data lakes are never the final place for consuming data. Allow Data Lake users to partition the data by values such as Date  Data source or Ad Account, and control the path to move the files to the wanted folders. 
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/159-allow-path-partitioning-in-data-lakes,supermetrics
ShareASale,"Data source connector for ShareASale.For 20 years  ShareASale has been a pure-play affiliate marketing network, successfully growing its business by nurturing relationships, building cutting-edge technology and guiding clients to success in affiliate marketing. As a leading network in the US, ShareASale is known as a fair and ethical business partner with a goal of supporting performance-based partnerships. 
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/239-shareasale,supermetrics
Have an idea for us to develop next? Let us know!,"At Supermetrics  we want to build the best product for our customers, so we want to hear from you. If you feel like there's something our tool is missing, don't hesitate another second to let us know! Participate in the short survey to help us understand what tools you use so that we can begin prioritizing the integrations most valuable to you. -- Click here to take the survey --
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/146-have-an-idea-for-us-to-develop-next-let-us-know,supermetrics
Set timezone for Excel triggers,"To be sure you get your reports on time  we are working on the ability to choose your time zone when setting up scheduled refreshes in your Excel files.
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/182-set-timezone-for-excel-triggers,supermetrics
Mixpanel,"Data source connector for the analytics platform Mixpanel.Mixpanel is a leading product analytics software company  currently helping the world answer 81 million product questions every year. Their pioneering event-based tracking solution gives product teams the ability to gain insights into how to best acquire, convert, and retain their users across web and mobile platforms.
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/123-mixpanel,supermetrics
Hourly transfer frequency for Data Warehouse transfers,"Currently  we transfer data to Data Warehouse and Data lake destinations once per day. Several ad platform APIs don't provide more frequent updates, but some do. We're considering an hourly update frequency so that users would have more up-to-date data available in their Data Warehouse.
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/184-hourly-transfer-frequency-for-data-warehouse-transfers,supermetrics
Supermetrics campaign benchmarking,"Have you ever wondered if your marketing campaigns are truly performing according to industry standards? Benchmarks are widely available  but they typically only cover a snapshot of the industry. Supermetrics processes more cross-platform advertising data than anyone else, and we're now looking into ways to allow our customers to see how their marketing initiatives compare to relevant benchmarks in a completely anonymized fashion. Let us know if this is something you would like to see in Supermetrics and we’ll keep you posted on relevant developments!
",https://portal.productboard.com/supermetrics/8-supermetrics-roadmap/c/230-supermetrics-campaign-benchmarking,supermetrics
