Name,Description,Source Link,portalSourceName
"Support for Sysco ""Red Flag"" substitute feature","No longer deal with blocked transactions while ordering from Sysco with substitute items.
",https://portal.productboard.com/synergysuite/5-customer-portal/c/72-support-for-sysco-red-flag-substitute-feature,synergysuite
Cooking sheet - Production prediction,"Apart from the possibility to predict prep items needed  there will be a separate sheet to predict the amount of the inventory items that should be cooked.
",https://portal.productboard.com/synergysuite/5-customer-portal/c/135-cooking-sheet-production-prediction,synergysuite
Stored Changes on Movement Report,"With our growing additions to the movement report and in-line edit abilities  it can be hard sometimes when you have a number of changes to make, but the movement report takes time to generate. This new update will allow users to stage updates they have made to counts, purchases etc.. and when they are ready they can manually refresh the report all at once. We see this saving time for our users allowing them to batch updates and then pull down an updated report when all the updates have been completed
",https://portal.productboard.com/synergysuite/5-customer-portal/c/54-stored-changes-on-movement-report,synergysuite
Budget Target - Historical Tracking,"A new history option as part of the Budget Target view will allow users to track any changes that have happened to the target. With users  timestamp and what fields were updated from and to. 
",https://portal.productboard.com/synergysuite/5-customer-portal/c/86-budget-target-historical-tracking,synergysuite
Product Deletions,"Ability to archive products so they are removed for good from the inventory module. This is one extra step further from discontinue.The auto-product manager tool will also support auto archive products to ensure your product set is automatically maintained. 
",https://portal.productboard.com/synergysuite/5-customer-portal/c/40-product-deletions,synergysuite
In-App Chat,"Making available an in-app chat feature within the Manager and Cover app's. This will allow for in-store communication and one-to-one communications  including basic features such as:Typing indicatorsRead receiptsDelivery receiptsUser presence indicatorsPush notificationsReactionsUpload of images, GIF's and filesUser Moderation featuresMessage searchLater we will include this in the web platform, along with an admin portal for moderation support, and full admin reporting. 
",https://portal.productboard.com/synergysuite/5-customer-portal/c/42-in-app-chat,synergysuite
Update Inventory Prices,"The existing Inventory Import tool is updated to now allow users to update inventory product prices an-masse. This is especially usefully for our customers that are unable to fully utilize the EDI functionality that we provide. The new tool  provides the template needed, and will only update prices for existing products. 
",https://portal.productboard.com/synergysuite/5-customer-portal/c/63-update-inventory-prices,synergysuite
Bug fixes and stability improvements,"General bug fixes and performance improvements to the HACCP equipment 
",https://portal.productboard.com/synergysuite/5-customer-portal/c/114-bug-fixes-and-stability-improvements,synergysuite
Update Irish working Bank Holidays,"Update to the calculation methods used to define the bank holiday payments for working and non working bank holidays
",https://portal.productboard.com/synergysuite/5-customer-portal/c/87-update-irish-working-bank-holidays,synergysuite
POS Public REST API,"We plan to build a public facing REST API for POS integrations
",https://portal.productboard.com/synergysuite/5-customer-portal/c/26-pos-public-rest-api,synergysuite
