Name,Description,Source Link,portalSourceName
Taskable Version 1.1 - The Free Tier update!,"Finally  the Free Tier update!‍ We know it’s been forever since a major update was released. So here it is. Now, you don’t have to go Pro to sign up for Taskable! ‍
",https://portal.productboard.com/taskable/1-taskable/c/8-taskable-version-1-1-the-free-tier-update,taskable
Outlook Calendar,"We are excited to announce our integration with Outlook calendar is live!Now Outlook users can harness all the power of integrated tasks and calendar in Taskable.To set up Outlook  head to the integrations page, and select it from the integration dropdown list. Once set up, you'll see your Outlook events in Taskable, and be able to drag and drop tasks into Outlook right from Taskable. For more information, please check our Help Center Article.
",https://portal.productboard.com/taskable/1-taskable/c/12-outlook-calendar,taskable
Discord,"Discord integration is coming soon!
",https://portal.productboard.com/taskable/1-taskable/c/22-discord,taskable
Any.do,"Any.do integration
",https://portal.productboard.com/taskable/1-taskable/c/40-any-do,taskable
WhatsApp,"WhatsApp integration
",https://portal.productboard.com/taskable/1-taskable/c/34-whatsapp,taskable
Mobile apps v.1,"We've launched the first version of our mobile apps! We always says this because we are usually working on our most requested features  but this truly is the most requested feature we've ever had! The apps let you add tasks, and view your Today screen and view all your tasks in a list view. Managing your subscription and integrations is only available on the web app at this time. The iOS app is in TestFlight, so you'll need to download that first. And you can get our app here.For Android users, you can download the app directly on Google Play.
",https://portal.productboard.com/taskable/1-taskable/c/43-mobile-apps-v-1,taskable
Viber,"Viber integration
",https://portal.productboard.com/taskable/1-taskable/c/37-viber,taskable
Apple Pay/Google Pay,"We are working on adding Apple Pay/Google Pay for your payment options 
",https://portal.productboard.com/taskable/1-taskable/c/54-apple-pay-google-pay,taskable
Mobile Applications Revamp,"We are improving and adding functionalities to our Android and iOS app. Our goal is to make the mobile experience better through UI and usability improvements. We are adding more functionalities and customizations to make the experience of managing tasks easier on your device.. 
",https://portal.productboard.com/taskable/1-taskable/c/50-mobile-applications-revamp,taskable
Trello,"Trello is added to available integrations!
",https://portal.productboard.com/taskable/1-taskable/c/18-trello,taskable
Slack,"Slack is added to available integrations!
",https://portal.productboard.com/taskable/1-taskable/c/14-slack,taskable
Yahoo Mail,"Yahoo Mail integration is coming soon!
",https://portal.productboard.com/taskable/1-taskable/c/24-yahoo-mail,taskable
Apple Mail,"Apple Mail integration is coming soon!
",https://portal.productboard.com/taskable/1-taskable/c/21-apple-mail,taskable
Taskable Pro for SetSchedule Premium Users,"Taskable Pro will be free for SetSchedule Premium Users. 
",https://portal.productboard.com/taskable/1-taskable/c/49-taskable-pro-for-setschedule-premium-users,taskable
