Name,Description,Source Link,portalSourceName
Option for enabling course banner images,"This functionality allows for site administrators to enable banner images within course homepages.When enabled  a default image will be displayed, however site administrators can upload a default image to be used across all courses. If a course image has been uploaded in the course settings, this will be sued for the banner image.New settings include:Enable course banner images (toggle on/off)Course banner image height (dropdown options)Course image brightness filter A setting to ensure the white text for the course title will be seen even on lighter images.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/53-option-for-enabling-course-banner-images,titus-learning
My courses - Setting to enable/disable statistics panel,"Administrators will be able to enable a statistics panel sitting on the My courses page.The first iteration of this displays the logged in users active course enrolments  course completions, badges awarded and certificates awarded. Please note, the certificate count works off the following certificate plugin only (or Moodle Workplace natively): https://moodle.org/plugins/mod_coursecertificate
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/55-my-courses-setting-to-enable-disable-statistics-panel,titus-learning
Built in avatar generator (SVG),"📝 Summary An investigation piece will occur around how we could look to include an automatic built in avatar/profile picture generator (based on colours chosen in the theme settings).✨ Details Many users often do not upload user profile photos to some learning platforms. This results in the default blank profile photo being used. The implementation of auto generated avatars would be overwritten if users add their own profile photos. These profile photos generated would be fairly basic  ideally incorporating branding selected by administrators.📓 Additional Information We will need to ensure an investigation into existing tools (open source ideally) that exist in the wider landscape.📖 User Story As an... administrator of the platform. I want to... enable and control the branding of automatically generated avatars for my users. So that... profile photos are not all identical for users who haven't uploaded a profile photo and improve the brand awareness across the site.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/59-built-in-avatar-generator-svg,titus-learning
My Courses - starring courses - when courses are starred  they appear at the beginning of the 'my courses' list automatically,"📝 Summary When a user stars a course via a tile  by clicking for star icon, starred courses should show first (primary sort order), in the My courses area.✨ Details When you star a course on Moodle, it is generally just reflected in the starred courses block, which is used very infrequently. This is a proposal to ensure when a course is starred, where you are enrolled, it will show first (primary sort order) on the 'My courses' page.📓 Additional Information There is a consideration here into firstly, can this be a live change (i.e. no refresh) and also, if a user stars a course that they are not enrolled in (from elsewhere), this course will only appear in the starred courses block and not in 'my courses', but this is expected behaviour.📖 User Story As a... user who visits a number of courses for my eLearning. I want to... star certain courses I'm enrolled in on the platform, to indicate their importance. So that... I can navigate to the 'My courses' page and view these at the top of the list so I can access them quickly.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/29-my-courses-starring-courses-when-courses-are-starred-they-appear-at-the-beginning-of-the-my-courses-list-automatically,titus-learning
Site home - add central block region to site home page,"📝 Summary The ability to add blocks onto the Site home will be reintroduced  but in the central region of the page (not side block drawer).✨ Details The theme will re-introduce the ability add blocks onto the 'site home' page. This is key for any organisations using blocks such as the 3rd party ecommerce solution 'IntelliCart', where the shop interface is entirely through a block.A central block region will be added below the slideshow and shortcuts. If these 2 elements are not used, the block region will appear at the top of the page.A second central full width block region will be added below all content on the 'site home' page, to provide more flexibility (e.g. adding calendar block). In addition to this, a 3 column block draw will be added below. Once again, this adds flexibility to adding core or plugin blocks for different uses of the Site home page.📖 User Story As a... site administrator who manages the site home page. I want to... be able to blocks onto the central region of this page. So that... my users can access additional information presented via blocks, such as ecommerce plugins (IntelliCart) through the use of the Product catalog block.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/39-site-home-add-central-block-region-to-site-home-page,titus-learning
Admin quick links - ability to customise admin quick links,"📝 Summary This is a request to be able to decide which admin quick link menu items are shown in the 'admin quick links' menu. ✨ Details This request should consider:The ability to enable/disable key menu items.The ability to re-order menu items.The ability to categorise menu items in the available categories.📓 Additional Information It is unlikely we are able to effectively allow for organisations to add their own custom quick links as this has the potential to cause problems with Moodle permissions against roles. If certain menu items are enabled  they will show for certain users whereas if that same user doesn't have the ability to view one of the areas, the menu item should not show. Each menu item should be linked to the relevant Moodle capabilities.📖 User Story As an... administrator logged into the LMS. I want to... be able to configure the admin quick links menu (enable/disable certain link items). So that... I can make this list more effective by holding only key menu items for my organisation.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/65-admin-quick-links-ability-to-customise-admin-quick-links,titus-learning
Theme V1.0.0 - Dashboard page updates,"See attached doc HERE for a larger screenshot for the first version (minimal lovable product)!We will of course be working on enhancing other key areas of the Moodle LMS 4.0 theme based on customer input.Please note: Any theme design mockups are as true to the end result as can be  before development has taken place. There may be slight variations in the end product.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/20-theme-v1-0-0-dashboard-page-updates,titus-learning
New user menu (replacing dropdown),"✨ DetailsThis proposal is to restyle the user menu dropdown and create a user profile drawer. This would allow users to view a more unified side drawer like other elements; with a focus on being able to edit key parts of your profile.Current user menu:Proposed user menu (not final product - needs additional work):
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/45-new-user-menu-replacing-dropdown,titus-learning
Theme V1.0.0 -  'My Courses' page updates,"See attached doc HERE for a larger screenshot for the first version (minimal lovable product)!We will of course be working on enhancing other key areas of the Moodle LMS 4.0 theme based on customer input.Please note: Any theme design mockups are as true to the end result as can be  before development has taken place. There may be slight variations in the end product.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/14-theme-v1-0-0-my-courses-page-updates,titus-learning
Moodle Workplace - 'My teams' block styling,"As part of v1.2 we are hoping to introduce Moodle Workplace support for our Moodle theme. As a baseline  the tenant selector and Workplace launcher will be introduced into the themes top navigation bar.As part of v1.2 we are also aiming to improve the My Teams page. In Workplace, if you are assigned a team through the organisation structure, you can be granted access to a 'My teams' page. This page contains the Teams block. This block can be added to any site level page where there is the ability to add blocks.This block shows your assigned team members who you manager, along with a host of information such as their current job titles & departments and more crucially, their progress on courses (new in MWP 4), programs and certifications.We are aiming to restyle this block to highlight the most important/key information and bring it to the forefront of this area.
",https://portal.productboard.com/titus-learning/1-moodle-theme-roadmap/c/37-moodle-workplace-my-teams-block-styling,titus-learning
