Name,Description,Source Link,portalSourceName
Strava,"As a coach I can see data from my clients Strava app in TrueCoach.
",https://portal.productboard.com/truecoach/1-product-portal/c/42-strava,truecoach
Make Skeleton plan visible to clients on iOS,"As a client I can see the skeleton structure that my coach has outlined.
",https://portal.productboard.com/truecoach/1-product-portal/c/47-make-skeleton-plan-visible-to-clients-on-ios,truecoach
Admins/Org owner can message all clients within an organization,"As an organization owner I can send a message to all clients in the organization.
",https://portal.productboard.com/truecoach/1-product-portal/c/36-admins-org-owner-can-message-all-clients-within-an-organization,truecoach
Global User model,"Clients can work with multiple coaches.
",https://portal.productboard.com/truecoach/1-product-portal/c/16-global-user-model,truecoach
Custom permissions for coaches on Team accounts,"As an organization owner I would like to set specific permissions for coaches on my team (eg. only view certain clients).
",https://portal.productboard.com/truecoach/1-product-portal/c/46-custom-permissions-for-coaches-on-team-accounts,truecoach
Ability to copy skeletons/planning from client to client,"As a coach I can utilize a skeleton planning template for multiple clients.
",https://portal.productboard.com/truecoach/1-product-portal/c/32-ability-to-copy-skeletons-planning-from-client-to-client,truecoach
Apple Health,"As a coach I can see data from my clients Apple Health in TrueCoach.
",https://portal.productboard.com/truecoach/1-product-portal/c/44-apple-health,truecoach
Support Youtube Short Links,"We now support Youtube short links in the exercise library!
",https://portal.productboard.com/truecoach/1-product-portal/c/55-support-youtube-short-links,truecoach
Calculate Volume and Intensity,"As a client I can enter in my weight lifted and total number of sets and reps.As a coach I can see the total load my clients lifted in a session.
",https://portal.productboard.com/truecoach/1-product-portal/c/14-calculate-volume-and-intensity,truecoach
Subscription & Payments Experience,"As a coach  I want to efficiently add paying clients into my TrueCoach payments ecosystem and manage my business in one place. Currently this is possible but not efficient.
",https://portal.productboard.com/truecoach/1-product-portal/c/56-subscription-payments-experience,truecoach
Referral Code Updates,"Coach referrals payout increased to $100!
",https://portal.productboard.com/truecoach/1-product-portal/c/18-referral-code-updates,truecoach
Ability to organize Programs,"As a coach I have a way to easily find my programs.
",https://portal.productboard.com/truecoach/1-product-portal/c/37-ability-to-organize-programs,truecoach
