Name,Description,Source Link,portalSourceName
Public API,"We used our internal API and exposed specific endpoints that we felt would solve for real world use cases like getting agent activity data  schedule data, and time offs.Early Access Program is now full!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/73-public-api,tymeshift
📈 Forecast vs. Actual Report,"OverviewAn easy way to compare a number of forecasted metrics to reality - aka what actually happened. This enables users to react in real-time and make adjustments to their Schedule as well as plan (Forecast) better in the future. Sign up for the Early Access here!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/57-forecast-vs-actual-report,tymeshift
Automations,"Automations is a new version of our Rules feature that allows customers to automate certain actions based on conditions of a user's activity  their timesheets, or in relation to a schedule assigned to an agent. This new feature will have the following benefits:Bulk management of automationsAutomations that can trigger based on conditions related to both workstreams and general tasksHave the automated actions target our new Teams organization structureNew automation backend service to improve the reliability of running automationsSign up for Early Access here!!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/17-automations,tymeshift
Auto Approvals for Time Off,"We're going to build a way for customers to define rules that allows time off to be automatically approved instead of every request needing to go through a manager. We'll start with the following rules:Auto approve for a given number of agents who can take time off per day  week, monthAt a later point in time we'll introduce other rules like:Define the number of days off an agent has per year associated to a specific time off reason. Example: 22 days of Vacation per year.Defining the number of days in advance in which an agent can request time offDefining the number of consecutive days for time off an agent can take Have specific time off reasons that are auto approvedWant to sign up for Early Access? Click here!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/80-auto-approvals-for-time-off,tymeshift
Add Starting Times to Automatic Shifts,"We heard you might like to have more rules when automatically scheduling your agents so we're going to implement new ones that will give you more flexibility. First up is:Configuring different starting timesYou'll be able to add starting time options to your automatic shifts while relying on us to still do all the heavy lifting. Want to try it out? Sign up for Early Access here! 
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/74-add-starting-times-to-automatic-shifts,tymeshift
🔗 SAML Single Sign On Integration,"As we move upstream and go after larger prospective customers we find that security and identity management becomes a deal-breaker. Companies that manage their users' identity with their own  already established solution, want to be able to use that to allow users to access their tymeshift accounts.This feature is now available in EA! 🥳 Sign up here!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/40-saml-single-sign-on-integration,tymeshift
Team Schedule View,"We're going to provide a way for agents to have access to their team's schedule without the need to leave their Zendesk application. This will help with giving agents an overview of who's working or who's not for the week. Sign up for Early Access here!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/72-team-schedule-view,tymeshift
AHT Forecasting,"We want to give customers the ability to forecast their AHT and to incorporate it into how we're forecasting staffing. There will be two ways to achieve this:Import your own historical AHTUse our historical AHT using Tymeshift data.Sign up for Early Access Here!! 
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/58-aht-forecasting,tymeshift
Localization,"OverviewThis feature introduces a language selection method  so that each user that loads our pages has some additional language options other than the English default.Currently supporting Spanish, Portuguese (BR), and French. The language selection method will be at first via the browser language, with the introduction of a user setting further down the road. This means that if your browser is set to Portuguese (BR) the Tymeshift application will be translated to this language.During this Early Access period, however, there still might be some text that is not properly translated and is still in the original language - English. Only Google Chrome is currently supported for this language selection method.You may sign up for Early Access here!
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/69-localization,tymeshift
Multitasking,"For those of you that have agents that handle multiple queues at once  we'll be introducing the ability to schedule multiple workstreams at the same time and have adherence properly tracked regardless of which workstream the agent is working in.Examples of how you can use multitasking:Schedule an agent's primary channel to be phone and secondary to be email tickets. When the agent isn't on the phone they can handle email tickets in the queue. Forecast unique email queues (e.g. Billing & Tier 1 Support) independently but schedule an agent to handle them at the same time. This way whether an agent is working on Billing or Tier 1 tickets they are tracked as in adherence.Apply for for a closed Early Access here!! 
",https://portal.productboard.com/tymeshift/1-our-roadmap/c/25-multitasking,tymeshift
