Name,Description,Source Link,portalSourceName
Daily Score Match Player Report by Name,"Daily Match Report configuring list of names improperly.For example: (first name of one player and last name of another). 
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1623-daily-score-match-player-report-by-name,usta
Ability to enter a ½ point in the score entry,"ability to enter a ½ point in the score entry  in case the there is a tie in total games (which rarely happens) won for the 9th point.
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/703-ability-to-enter-a-point-in-the-score-entry,usta
TD | Manage Draws | Ability to change doubles partner directly from the draw,"Ability to change doubles partner directly from the draw.
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/833-td-manage-draws-ability-to-change-doubles-partner-directly-from-the-draw,usta
Post the alternate list in the order of selection,"The ability to post these so players know to expect to play. Otherwise  we receive emails from all alternates asking us what number in the alternate list they are.
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1275-post-the-alternate-list-in-the-order-of-selection,usta
Team Selection Tournament Email Revised,"Team Selection Tournament Email Revised
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/878-team-selection-tournament-email-revised,usta
Team | Display win criteria on the scorecard,"Team | Display win criteria on the scorecard
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1218-team-display-win-criteria-on-the-scorecard,usta
Round Robin | RR Playoff | Generate SF Loser Matches,"Allow ST RR Playoff generation to provide a SF loser another match for all flights within a RR playoff.Example: 12 players  4 RR groups of 3 players each. Playoffs for each player/team. Non-elimination. Current situation: Generating playoffs in current system creates Playoff 1, Playoff 2, and Playoff 3. Top finishers in each pool play off in Playoff 1, 2nd place in Playoff 2, etc.Only Playoff 1 provides for a SF loser match. Playoff 2 and Playoff 3 does not generate the extra match for their SF losers.As a result of this, the TDir must manually create draws for the 7-8 match and the 11-12 match. These matches show up in the ""Draw"" section online, not in the ""Draw Stage"" section online - thereby making it confusing and difficult to find. In addition the Playoff 1 SF losers are dropped into a match labeled at ""Playoff 3-4"" which is confusing as well when listed below Playoff 1, Playoff 2 and Playoff 3. I will submit a separate request to allow for renaming and combining the labels on Draw Stage and and Draw.
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1914-round-robin-rr-playoff-generate-sf-loser-matches,usta
Team Events Reset Score Confirmation Message,"The ability to have reset score confirmation message when resetting a team event scores
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1003-team-events-reset-score-confirmation-message,usta
Ability to customize the head tax for singles and doubles,"The ability customize the head tax for singles and doubles
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1487-ability-to-customize-the-head-tax-for-singles-and-doubles,usta
ST | Match Play | Save Column Preferences,"Serve Tennis / Match Play: From the website > ""Contacts"" my displayed column preferences (from ""More columns"" checkboxes) are not being remembered.
",https://portal.productboard.com/usta/2-serve-tennis-tournament-feedback-portal/c/1951-st-match-play-save-column-preferences,usta
