Name,Description,Source Link,portalSourceName
Create Tabs within a Table,"Create tabs or worksheets within a table so you can keep related information close together (without switching tabs and opening other tables).
",https://portal.productboard.com/zapier/3-zapier-tables/c/14-create-tabs-within-a-table,zapier
New Field: Currency,"🗒️ tldrAdd a new field called ""Currency"" which will be used to display... currencies. In the backend we are likely saving a number + the formatting options.For beta  we'll include the most commonly used currencies and add more as requested.🎨 Designs🔬 ScopeNew Field: CurrencyData validation: that it's just a numberAbility to choose number of decimalsAbility to choose currency: ($) - $20.11USD ($) - $20.11Euro (€) - 20.11 €Pound (£) - £20.11Yen (¥) - ¥20.11
",https://portal.productboard.com/zapier/3-zapier-tables/c/101-new-field-currency,zapier
New Field: Formulas,"Create a field type for Formulas so we can do standard spreadsheet-style formulas (edit date  edit strings, math operations, etc).
",https://portal.productboard.com/zapier/3-zapier-tables/c/99-new-field-formulas,zapier
See when Zapier updates the table,"Since Zapier will be running in the background and potentially updating the table while you're working on it  this design shows how you could see what changes are being made. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/22-see-when-zapier-updates-the-table,zapier
Action: Create Table with Fields or by Duplicating existing table,"Enable the creation of a table via a Zap. Could either choose an existing table to use as a template or manually choose which fields to add. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/98-action-create-table-with-fields-or-by-duplicating-existing-table,zapier
Add more icons to field headers,"Add more icons to the field settings so you can further customize the look & feel of your table.
",https://portal.productboard.com/zapier/3-zapier-tables/c/93-add-more-icons-to-field-headers,zapier
Action: Delete record,"Create a new action to delete a record via Zaps. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/100-action-delete-record,zapier
New Field: Team Member,"A column type that enables you to choose team member(s).It would display any team member on your Zapier account.
",https://portal.productboard.com/zapier/3-zapier-tables/c/20-new-field-team-member,zapier
Action: Find Record(s),"Update the Find Record action to be able to return multiple records  potentially in CSV, JSON, or Line Item format so it can be used or looped through in subsequent steps.
",https://portal.productboard.com/zapier/3-zapier-tables/c/97-action-find-record-s,zapier
Connected Zaps,"🗒️ tldrConnected Zaps will display... Zaps that are connected to the table 😛🎨 Designsfigma☑️ ScopeCreate Zap: button opens Editor in a new window with the Tables by Zapier app selected by defaultZap are grouped by Triggers and Actions. If a Zap has both  it appears in Triggers.The more menu (a meatball menu), displays Edit and Task History for the ZapZap displays icons, title, on/off, and last updated datesZaps that are off should also be shown, but at the bottom of the list for their section.📝 NotesThis Connected Zaps component is displayed in the Column Settings as well
",https://portal.productboard.com/zapier/3-zapier-tables/c/27-connected-zaps,zapier
Lock fields,"tldrOften time users want to share a table but they don’t want certain fields editing: introducing  Locked Fields. design
",https://portal.productboard.com/zapier/3-zapier-tables/c/96-lock-fields,zapier
Insert Fields before/after,"tldrUsers want to be able to quickly add new fields to their tables and sometimes have a lot of fields. Let’s enable users to create fields to the left/right of the current field with a single click.DesignFlowUser clicks on a fields menu options“Insert before”Creates a field to the left of the current field“Insert after”Creates a field to the right of the current fieldJust like adding a field  it opens the sidebar and isn’t saved until a user presses Save. The “Insert x” button just opens the sidebar and when they press save the new field is added in the right position.Upon save, the sidebar is closed and the user is horizontally scrolled to the new field
",https://portal.productboard.com/zapier/3-zapier-tables/c/103-insert-fields-before-after,zapier
New Field: Select list (CSV),"🗒️ tldrA new column type for selecting from comma separated lists. 🎨 DesignsfigmaCreationSingle-selectMulti-select
",https://portal.productboard.com/zapier/3-zapier-tables/c/24-new-field-select-list-csv,zapier
See when my team members make changes,"If you've shared your table with your team  display what records they're updating. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/21-see-when-my-team-members-make-changes,zapier
Field type: Checkbox,"🗒️ tldrA boolean column type that users can use to create approval-like Zaps. 🎨 Designsfigma☑️ ScopeNew Column Type: CheckboxUpon creation  users can toggle the checkbox on/off📝 Notes""Text"" continues to be the default column typeCheckboxes are unchecked by defaultIf there are connected Zaps, toggling the checkbox will mark the record as pending. There's a separate ticket for creating and handling the connected Zaps.
",https://portal.productboard.com/zapier/3-zapier-tables/c/23-field-type-checkbox,zapier
Trigger Zap when a specific column changes,"Create Zaps that trigger when specific columns are updated. For example  you may setup a column to keep track of a lead's status. As the lead's status is updated, you can trigger Zaps to automate outreach.
",https://portal.productboard.com/zapier/3-zapier-tables/c/16-trigger-zap-when-a-specific-column-changes,zapier
Show/Hide Fields,"tldrEnable users to show/hide fieldsDesignsFigmaScopeThese settings should be saved with the table schema so if it’s shared the same fields are hidden/visible
",https://portal.productboard.com/zapier/3-zapier-tables/c/106-show-hide-fields,zapier
Status column & pending updates,"🗒️ tldrUsers want to have control over when their automations are triggered. To enable this  we've designed a Status column to indicate which records haven't been ""sent to their Zaps"" yet and a ""Pending updates"" button to trigger them. 🎨 Designsfigma☑️ Scope(1) Status Column: a fixed column on the left that's always present. It has three states:Blank: default state""pending"" tag: when a record has been updated, but not sent to the connected Zaps yetActivity spinner: displayed for 10 seconds after the ""process"" button has been pressed(2) Pending updates button: a button that releases the pending messages and triggers their corresponding Zaps.This button has 5 states:Inactive: when no records are pendingEnabled (nothing selected): when records are pending but no specific records are selectedEnabled (with records selected): shows the number of connected records and the user can process just those messagesHover & Focused: similar to active, depending on whether records are selected the text will change(3) “Ignore pending records”: users can choose to dismiss/ignore the pending messages in order to keep the update, but not trigger the connected Zaps.👱 User StoriesNo Zaps Setup (figma): As a user with no Zaps setup, I should see the Status column and the “Records up to date” button, but it’ll be inactive. When I hover over the button, a tool tip should display with text and a link.New Record (figma):As a user with a Zap setup using the “New Record” trigger, when I create a new record in should enter the pending state. Updated Record (figma):As a user with a Zap setup using the “Updated Record” trigger without the optional Trigger Field defined, when I update a record in should enter the pending state. Updated Field (figma):As a user with a Zap setup using the “Updated Record” trigger with the optional Trigger Field defined, when I update that field the record should enter the pending state. As a user with a Zap setup using the “Updated Record” trigger with the optional Trigger Field defined, when I update any other field the record should not enter the pending state. Ignore Records (figma):As a user with a few pending records, I’d like to select them, then hit the “Ignore Records” button to dismiss their pending state. Process all pending records (figma):As a user with 1 or more pending records (and none selected), I’d like to press “Process” to process all the messages.Process selected updates (figma):As a user with 1 or more pending records selected, I’d like to press “Process” to process the messages.Close computer and come back tomorrow:As a user with a few pending messages, I’d like them to persist when I come back tomorrow. If a colleague opened the same Table, they should see the too (in the future when we support sharing).As a user with multiple Record Updated Zaps (ie: one general one and one that only fires when a specific column is updated), if I edit the whole record and the specific field, both Zaps would be triggered when the record is processed (figma).💡 Misc ScenariosAs a rule of thumb, the latest version of the record is the one that is sent to the Zap when it’s processed. Create a record, edit the record, then press “process” will trigger “New Record”Edit a record, then delete it will not fire a trigger. The “Edit” event was never processed and the delete record doesn’t have a trigger (yet).💡 NotesThe pending button and status column are always presentA record becomes pending if it's edited and there's a Zap with a trigger listening to it (either a New Record or Updated Record Zap).If the trigger is filtered for a specific field/column, then only if that field is changed does the record become pending.When a field is updated, it's immediately saved to the database.We'll have to keep track of the pending state for records between sessions. In the future, when there are multiple users, they'll all see the same pending states.
",https://portal.productboard.com/zapier/3-zapier-tables/c/25-status-column-pending-updates,zapier
Link Records from other Tables,"Link records from other tables so you can avoid duplicating data while creating a no-code relational database. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/17-link-records-from-other-tables,zapier
Share tables with my teams,"Share tables with team members so they can view and edit the information. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/19-share-tables-with-my-teams,zapier
Trigger: Record Updated,"This trigger will enable you to run Zaps when a record is updated. 
",https://portal.productboard.com/zapier/3-zapier-tables/c/13-trigger-record-updated,zapier
Import & export CSVs,"🗒️ tldrUsers want the ability to import and export their data to/from their favourites systems because... A) they already have their data in another system and don't want to do manual data entry B) they want to export their data (or at least know they can) for data portability and creating charts. 🎨 DesignsImport CSVsExport to CSV🔬 ScopeThis epic includes both importing and exporting CSVs since they're tightly related. We could ship them separately. In scopeImporting CSVs:Importing to a new tableImporting and overwriting the current tableData validation: validates it's a valid CSVPreview of the import (first few records and columns)Import itself: creates the table/columns  imports the recordsExport to CSV:User presses download records and it exports to CSV. Exports records based on current sorting/filters (if they exist)File is named with the Table name + a date stamp + .csvFile saved to default location, presented to user via browser's defaults.Out of scopeImporting:Appending records to current table (but worthwhile exploring)Customizing which columns are createdOther file types or delimiters (ie: tabs or pipes)Exporting:Customizing the filenameChoosing which columns to export🤹 User StoriesAs a user...✅ Acceptance Criteria📝 NotesDo we use Transfer APIs?Do we, can we, display progress? How long does a 1k record CSV take to import or export?
",https://portal.productboard.com/zapier/3-zapier-tables/c/26-import-export-csvs,zapier
New Field: Continue Button,"tldrUpdate the Continue button to make it more powerful and user friendly.DesignSection in figmaScopeIn the Integration:Update the action to “Action Button Clicked”Update the helptext to “The Zap will pause until this button is clicked.” (pause? or “be held”?)Update the trigger for the other button to “Trigger Button Clicked”In Tables:Update the description text under Button Type: ”Zaps can be configured to pause until this button is clicked. Use Paths to decide what happens based on which Action button is clicked.”Add a second  optional, action button labelCreate Zap will open the editor with:No trigger definedTables Search Action that retrieves the current recordTables Action StepPaths with two configured Paths: Primary Action & Secondary Action, mapped to the buttons. Ie: if the user put Approve & Reject, the paths would be called Approve & Reject.
",https://portal.productboard.com/zapier/3-zapier-tables/c/102-new-field-continue-button,zapier
"Enable ""Automatic Mode"" in Table Settings","tldrWe’re getting really positive feedback on the pending records functionality  but often users ask for the option to set up auto-playing Zaps as well. With this ticket, we’ll introduce an option for both.DesignLink to figma.ScopeAdd the new radio button options to the Table SettingsPending (Default)AutomaticallyEach one has a separate tool tipAdd the info blurb underneath explaining Buttons.Pending mode: No changes to how it works today.When in pending mode, record changes get queued up and the user gets to choose when the pending records are sent to their Zaps.Pending button appearsIgnore pending records appearsRecord status button appearsAuto mode:The Pending button doesn’t appearThe “Ignore pending records” button doesn’t appear (located in the overflow menu “…”)The Record Status column does appearThe tool tip copy is updated to explain how Automatically worksThere is no queueing of changes. As soon as a record is updated, it triggers the corresponding Zaps.New Record: as soon as a user presses the “+” the record gets created and the Zap would be fired.Updated record: as soon as a user is done editing a field, that edit gets applied to the backend, and the Zap(s) would be fired.
",https://portal.productboard.com/zapier/3-zapier-tables/c/95-enable-automatic-mode-in-table-settings,zapier
