Name,Description,Source Link
Enhanced API access,"DescriptionWith this feature it will be possible to use the FP&A REST API with Unit4 FP&A JWT authentication. In the past  Unit4 IDS authentication was required. Now the API can also be used with Unit4 FP&A JWT authentication.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/1258-enhanced-api-access
French Online Help,"DescriptionCurrently the French product is linked to the English Online Help since no French version currently exists.With this feature FP&A Users who use the French user interface of the Client will be directed to the new French version of the Online Help when opening the Online Help directly from the Client.Value propositionImproved user experience for users of the French Unit4 FP&A.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/1022-french-online-help
Automatic distribution of all available resources,"DescriptionWith this feature the server will automatically determine min./max. threads  based on available resources and handle the distribution of threads for any action which is requiring threads (Calculation and MemoLytics threads) amoung all actions which are in progress. So the system will check how many ressources (processor cores) are in total available and what actions are in progress and will then distribute and balance the available ressources amoung all ongoing actions.Value PropositionThis feature shall insure a stable performance of the system and therefore a improved usability.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/800-automatic-distribution-of-all-available-resources
Data Widget table: Enable data entry in analysis mode,"DescriptionWith this feature the data entry in analysis mode of Data Widget tables will be enabled  same as already possible in view mode.Value propositionflexible data entry by selecting dimension filters and measures
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/839-data-widget-table-enable-data-entry-in-analysis-mode
Improved server performance when loading MemoLytics data of several data cubes,"DescriptionDue this feature the performance of loading MemoLytics data of several data cubes simultaneously will be improved.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/1017-improved-server-performance-when-loading-memolytics-data-of-several-data-cubes
Scheduler: additional schedule settings,"DescriptionWith this feature the additional schedule options ""Repeat task every"" and ""Expire"" for the Scheduler will be available.Value propositionDue this feature it will be easier for the user to schedule macros according to their needs.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/624-scheduler-additional-schedule-settings
Enhanced FP&A iFrame Integration,"DescriptionWith this feature it will be possible: to generate a link to an embedded version of a worksheet or dashboard via context menu command in the OneClient's navigation sidebar for iFrame embedding and copy this link to the clipboard.via the navigation option in the analysis mode to start a Data Widget's Analysis Mode in the same OneClient tab as the dashboard it was started from and return again to the dashboard in the same state as it was before the user launched the analysis mode.Value PropositionQuick  easy, seamless integration of FP&A OneClient worksheets and dashboards into ERP and ERPx.For modelling users it increases ease of use and helps saving time and effort. For consumer users a seamless User Experience with regards to integration of FP&A with ERPx will be offered on the one hand. On the other hand we will enable consumer users to utilize the ad-hoc analytical capabilities of FP&A dashboards, when they are embedded in ERPx.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/450-enhanced-fp-a-iframe-integration
Automatic distribution and balancing of Calculation Threads,"DescriptionWith this feature the server will handle the distribution and balancing of calculation threads amoung the actions which are in progress. So the system will check how many ressources are in total available and what calculations are in progress and will then distribute the ressources amoung this running calculations.Value PropositionThis feature shall insure a stable performance of the system and therefore a improved usability.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/626-automatic-distribution-and-balancing-of-calculation-threads
Improved management of resources for calculations,"DescriptionThis feature shall improve the management and usage of the hardware resources by the FP&A server for calculations to ensure a better stability of the system even if big calculations are started during the day.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/481-improved-management-of-resources-for-calculations
New Action in Worksheet to trigger Extension Kit via Webhook,"DescriptionWith this feature the FP&A worksheet Events & Actions will offer an action to execute a webhook call. This new action will be available for cell and worksheet events in the worksheet and it will be possible to provide parameters for actions which shall be excuted via Extension Kit.Value propositionPart of the Open Solution Initiative that aims at opening FP&A to other Unit4 and also 3rd party applications.Seamless integration of FP&A into leading ETL processes in the cloud.This feature enables users to trigger extension kit events via FP&A.
",https://portal.productboard.com/peopleexperiencesuite/1-fp-a/c/538-new-action-in-worksheet-to-trigger-extension-kit-via-webhook
